ID_kit_api_20E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,ID_strains,ID_reference,manual_annotation,created_20E,modify_in_pgsql_20E,ID_tbl_api_20E,last_change
49,+,-,+,-,+,-,+,+,-,-,+,,,,,,,,,,,,,,,,,15420,18464,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
50,+,+,-,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,15068,18465,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
51,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,16173,18466,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
52,-,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15052,18467,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
53,+,+,+,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,14880,18468,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
54,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13298,18469,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
55,+,+,+,+,+,-,+,-,-,+,-,,,,,,,,,,,,,,,,,14940,18470,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
56,+,-,-,-,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,15205,18471,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
57,+,+,-,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15233,18472,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
58,+,+,+,+,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,14974,18474,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
59,+,-,+,-,-,-,-,+,-,-,-,,,,,,,,,,,,,,,,,15054,18475,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
60,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15216,18476,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
61,+,+,-,-,+,-,+,+,-,-,+,,,,,,,,,,,,,,,,,15217,18477,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
62,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15043,18478,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
63,-,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15269,18479,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
64,-,+,+,-,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,15283,18480,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
65,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,13356,18481,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
66,-,-,-,-,+,-,+,-,-,-,+,,,,,,,,,,,,,,,,,13315,18482,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
67,+,+,-,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,10998,18483,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
68,+,+,+,+,+,-,+,+,-,+,+,,,,,,,,,,,,,,,,,15221,18484,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
69,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,10836,18486,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
70,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,11102,18488,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
71,+,+,+,+,+,-,+,-,-,+,+,,,,,,,,,,,,,,,,,11180,18489,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
