ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
10444,Extracellular polymeric substance,1,,72813.0,10213.0,138,22971,1,2017-02-10 10:00:50
10445,Indole,0,,35581.0,12320.0,140,22887,1,2017-02-10 10:00:50
10446,Indole,0,,35581.0,12321.0,144,23353,1,2017-02-10 10:00:50
10447,Succinic acid,1,,15741.0,24093.0,162,23355,1,2017-02-10 10:00:50
10448,Lactic acid,1,,78320.0,24089.0,162,23355,1,2017-02-10 10:00:50
10449,Formic acid,1,,30751.0,24088.0,162,23355,1,2017-02-10 10:00:50
10450,Acetic acid,1,,15366.0,24087.0,162,23355,1,2017-02-10 10:00:50
10451,Indole,0,,35581.0,12322.0,185,23119,1,2017-02-10 10:00:50
10452,Indole,0,,35581.0,12324.0,187,23121,1,2017-02-10 10:00:50
10453,Acetoin,0,,15688.0,12323.0,187,23121,1,2017-02-10 10:00:50
10454,Indole,0,,35581.0,12326.0,188,23122,1,2017-02-10 10:00:50
10455,Acetoin,0,,15688.0,12325.0,188,23122,1,2017-02-10 10:00:50
10456,Indole,0,,35581.0,12328.0,189,23123,1,2017-02-10 10:00:50
10457,Acetoin,0,,15688.0,12327.0,189,23123,1,2017-02-10 10:00:50
10458,Indole,0,,35581.0,10214.0,194,23264,1,2017-02-10 10:00:50
10459,Hydrogen sulfide,0,,16136.0,10215.0,194,23264,1,2017-02-10 10:00:50
10460,Toluene,1,,17578.0,10216.0,194,23264,1,2017-02-10 10:00:50
10461,Formic acid,1,,30751.0,10217.0,194,23264,1,2017-02-10 10:00:50
10462,Ethanol,1,,16236.0,10218.0,194,23264,1,2017-02-10 10:00:50
10463,Acetic acid,1,,15366.0,24553.0,194,23264,1,2017-02-10 10:00:50
10464,Acetoin,0,,15688.0,10219.0,197,22976,1,2017-02-10 10:00:50
10465,Acetoin,0,,15688.0,10220.0,199,22976,1,2017-02-10 10:00:50
10466,Acetoin,0,,15688.0,10221.0,202,22972,1,2017-02-10 10:00:50
10467,Acetoin,0,,15688.0,10222.0,203,22973,1,2017-02-10 10:00:50
10468,Indole,0,,35581.0,10223.0,206,22975,1,2017-02-10 10:00:50
10469,Elemental sulfur,0,,33403.0,10224.0,206,22975,1,2017-02-10 10:00:50
10470,Indole,0,,35581.0,10225.0,208,22975,1,2017-02-10 10:00:50
10471,Elemental sulfur,0,,33403.0,10226.0,208,22975,1,2017-02-10 10:00:50
10472,Indole,0,,35581.0,10227.0,209,22975,1,2017-02-10 10:00:50
10473,Elemental sulfur,0,,33403.0,10228.0,209,22975,1,2017-02-10 10:00:50
10474,Acetoin,0,,15688.0,10229.0,212,22976,1,2017-02-10 10:00:50
10475,Acetoin,0,,15688.0,10230.0,214,22976,1,2017-02-10 10:00:50
10476,Acetoin,0,,15688.0,10231.0,216,22976,1,2017-02-10 10:00:50
10477,Acetoin,0,,15688.0,10232.0,217,22976,1,2017-02-10 10:00:50
10478,Acetoin,1,,15688.0,10233.0,218,22976,1,2017-02-10 10:00:50
10479,Acetoin,1,,15688.0,10234.0,223,22982,1,2017-02-10 10:00:50
10480,Acetoin,0,,15688.0,10235.0,224,22977,1,2017-02-10 10:00:50
10481,Nitrite,0,,16301.0,10236.0,225,22978,1,2017-02-10 10:00:50
10482,Acetoin,0,,15688.0,10237.0,225,22978,1,2017-02-10 10:00:50
10483,Acetoin,0,,15688.0,10238.0,226,22979,1,2017-02-10 10:00:50
10484,Acetoin,0,,15688.0,10239.0,227,22980,1,2017-02-10 10:00:50
10485,Dextran,0,,52071.0,10240.0,229,23251,1,2017-02-10 10:00:50
10486,Acetoin,0,,15688.0,10241.0,229,23251,1,2017-02-10 10:00:50
10487,Acetoin,0,,15688.0,12329.0,230,23252,1,2017-02-10 10:00:50
10488,Hydrogen sulfide,1,,16136.0,10242.0,234,23374,1,2017-02-10 10:00:50
10489,Acetoin,0,,15688.0,12330.0,235,23253,1,2017-02-10 10:00:50
10490,Hydrogen sulfide,0,,16136.0,10243.0,242,23254,1,2017-02-10 10:00:50
10491,Acetoin,0,,15688.0,12331.0,242,23254,1,2017-02-10 10:00:50
10492,Indole,1,,35581.0,10244.0,242,23254,1,2017-02-10 10:00:50
10493,Hydrogen sulfide,0,,16136.0,10245.0,258,23255,1,2017-02-10 10:00:50
10494,Acetoin,0,,15688.0,12332.0,258,23255,1,2017-02-10 10:00:50
10495,Indole,1,,35581.0,10246.0,258,23255,1,2017-02-10 10:00:50
10496,Acetoin,0,,15688.0,12333.0,261,23256,1,2017-02-10 10:00:50
10497,Hydrogen sulfide,0,,16136.0,10247.0,262,23257,1,2017-02-10 10:00:50
10498,Acetoin,0,,15688.0,12334.0,262,23257,1,2017-02-10 10:00:50
10499,Indole,0,,35581.0,10661.0,271,23258,1,2017-02-10 10:00:50
10500,Hydrogen sulfide,0,,16136.0,10587.0,271,23258,1,2017-02-10 10:00:50
10501,Indole,0,,35581.0,12336.0,279,23259,1,2017-02-10 10:00:50
10502,Acetoin,1,,15688.0,12335.0,279,23259,1,2017-02-10 10:00:50
10503,Hydrogen sulfide,0,,16136.0,10248.0,280,23260,1,2017-02-10 10:00:50
10504,Acetoin,0,,15688.0,12337.0,280,23260,1,2017-02-10 10:00:50
