ID_metabolites,metabolite,ID_strains,last_change
427,Amikacin,285,
428,Aztreonam,285,
429,Cefepime,285,
430,Cefoperazone,285,
431,Cefoxitin,285,
432,Ceftazidime,285,
433,Ceftriaxone,285,
434,Cephotaxime,285,
435,Chloramphenicol,285,
436,Ciprofloxacin,285,
437,Fosfomycin,285,
438,Gentamicin,285,
439,Imipenem,285,
440,Kanamycin,285,
441,Nalidixic acid,285,
442,Piperacillin,285,
443,Tetracycline,285,
444,Tobramycin,285,
445,Trimethoprim,285,
446,Amoxicillin,286,
447,Cefoxitin,286,
448,Cephalothin,286,
449,Erythromycin,286,
450,Ticarcillin,286,
451,Vibriostat,286,
452,Amikacin,286,
453,Aztreonam,286,
454,Cefepime,286,
455,Cefoperazone,286,
456,Ceftazidime,286,
457,Ceftriaxone,286,
458,Cephotaxime,286,
459,Chloramphenicol,286,
460,Ciprofloxacin,286,
461,Fosfomycin,286,
462,Gentamicin,286,
463,Imipenem,286,
464,Kanamycin,286,
465,Nalidixic acid,286,
466,Piperacillin,286,
467,Streptomycin,286,
468,Tetracycline,286,
469,Tobramycin,286,
470,Trimethoprim,286,
471,Vibriostat,288,
472,Amikacin,343,
473,Ampicillin,343,
474,Cefotiam,343,
475,Cefoxitin,343,
476,Ceftazidime,343,
477,Cephotaxime,343,
478,Chloramphenicol,343,
479,Ciprofloxacin,343,
480,Gentamicin,343,
481,Kanamycin,343,
482,Mezlocillin,343,
483,Nalidixic acid,343,
484,Streptomycin,343,
485,Tetracycline,343,
486,Trimethoprim,343,
487,Penicillin,355,
488,Penicillin,356,
489,Tetracycline,360,
490,Carbenicillin,360,
491,Penicillin G,377,
492,Amikacin,394,
493,Kanamycin,394,
494,Neomycin,394,
495,Polymyxin B,394,
496,Ampicillin,450,
497,Cefoxitin,450,
498,Kanamycin,450,
499,Gentamicin,450,
500,Erythromycin,450,
501,Penicillin G,459,
502,Vancomycin,459,
503,Ampicillin,459,
504,Chloramphenicol,459,
505,Kanamycin,459,
506,Streptomycin,459,
507,Tetracycline,459,
508,Penicillin G,465,
509,Streptomycin,465,
510,Vancomycin,465,
511,Ampicillin,465,
512,Chloramphenicol,465,
513,Kanamycin,465,
514,Tetracycline,465,
515,Cephalexin,473,
516,Oxacillin,473,
517,Oleandomycin,473,
518,Vibriostat,473,
519,Lincomycin,473,
520,Pristinamycin,473,
521,Novobiocin,473,
522,Tetracycline,473,
523,Penicillin G,473,
524,Ampicillin,473,
525,Gentamicin,473,
526,Streptomycin,473,
527,Tobramycin,473,
528,Spiramycin,473,
529,Erythromycin,473,
530,Cefaloridine,473,
531,Chloramphenicol,473,
532,Kanamycin,473,
533,Nalidixic acid,473,
534,Clindamycin,492,
535,Ampicillin,492,
536,Novobiocin,492,
537,Penicillin G,492,
538,Gentamicin,492,
539,Erythromycin,492,
540,Chloramphenicol,492,
541,Kanamycin,492,
542,Penicillin G,526,
543,Polymyxin B,526,
544,Ampicillin,526,
545,Bacitracin,526,
546,Colistin,526,
547,Vancomycin,526,
548,Lincomycin,526,
549,Methicillin,526,
550,Furazolidone,526,
551,Erythromycin,526,
552,Fusidic acid,526,
553,Gentamicin,526,
554,Spectinomycin,526,
555,Streptomycin,526,
556,Tetracycline,526,
557,Nitrofurantoin,526,
558,Amoxicillin,526,
559,Chloramphenicol,526,
560,Kanamycin,526,
561,Ciprofloxacin,526,
562,Ampicillin,528,
563,Carbenicillin,528,
564,Cyclodextrin,528,
565,Kanamycin,528,
566,Nalidixic acid,528,
567,Gentamicin,528,
568,Chloramphenicol,528,
569,Erythromycin,528,
570,Penicillin G,528,
571,Puromycin,528,
572,Rifampicin,528,
573,Streptomycin,528,
574,Tetracycline,528,
575,Vancomycin,528,
576,Norfloxacin,532,
577,Streptomycin,532,
578,Carbenicillin,532,
579,Erythromycin,532,
580,Chloramphenicol,532,
581,Nalidixic acid,532,
582,Novobiocin,532,
583,Tetracycline,532,
584,Rifampicin,532,
585,Framycetin,532,
586,Penicillin,534,
587,Bacitracin,534,
588,Vancomycin,534,
589,Polymyxin B,534,
590,Ampicillin,534,
591,Gentamicin,534,
592,Streptomycin,534,
593,Erythromycin,534,
594,Chloramphenicol,534,
595,Kanamycin,534,
596,Nalidixic acid,534,
597,Tetracycline,534,
598,Chloramphenicol,569,
599,Erythromycin,569,
600,Streptomycin,569,
601,Tetracycline,569,
602,Tobramycin,569,
603,Ampicillin,1203,
604,Amoxicillin,1233,
605,Ampicillin,1233,
606,Streptomycin,1233,
607,Chloramphenicol,1233,
608,Kanamycin,1233,
609,Nalidixic acid,1233,
610,Neomycin,1233,
611,Rifampicin,1233,
612,Tetracycline,1233,
613,Nalidixic acid,1251,
614,Colistin,1251,
615,Tetracycline,1251,
616,Ampicillin,1251,
617,Streptomycin,1251,
618,Kanamycin,1251,
619,Chloramphenicol,1251,
620,Nitrofurantoin,1251,
621,Colistin,1256,
622,Tetracycline,1256,
623,Ampicillin,1256,
624,Streptomycin,1256,
625,Kanamycin,1256,
626,Nalidixic acid,1256,
627,Chloramphenicol,1256,
628,Nitrofurantoin,1256,
629,Lincomycin,1263,
630,Ampicillin,1263,
631,Amikacin,1263,
632,Ciprofloxacin,1263,
633,Novobiocin,1263,
634,Norfloxacin,1263,
635,Penicillin,1263,
636,Co-Trimoxazole,1263,
637,Amoxicillin,1263,
638,Cefuroxime,1263,
639,Kanamycin,1263,
640,Nalidixic acid,1263,
641,Tetracycline,1263,
642,Cefoperazone,1263,
643,Streptomycin,1344,
644,Erythromycin,1344,
645,Penicillin G,1344,
646,Ampicillin,1344,
647,Amikacin,1344,
648,Cephalotin,1344,
649,Chloramphenicol,1344,
650,Nalidixic acid,1344,
651,Tetracycline,1344,
652,Rifampicin,1344,
653,Polymyxin B,1353,
654,Streptomycin,1353,
655,Neomycin,1353,
656,Erythromycin,1353,
657,Nalidixic acid,1353,
658,Tetracycline,1353,
659,Bacitracin,1353,
660,Penicillin,1353,
661,Cephalothin,1353,
662,Chloramphenicol,1353,
663,Kanamycin,1353,
664,Novobiocin,1353,
665,Vancomycin,1353,
666,Rifampicin,1353,
667,Neomycin,1354,
668,Polymyxin B,1354,
669,Streptomycin,1354,
670,Ampicillin,1354,
671,Carbenicillin,1354,
672,Cephalothin,1354,
673,Chloramphenicol,1354,
674,Gentamicin,1354,
675,Kanamycin,1354,
676,Lincomycin,1354,
677,Novobiocin,1354,
678,Oleandomycin,1354,
679,Penicillin G,1354,
680,Tetracycline,1354,
681,Nystatin,1355,
682,Streptomycin,1355,
683,Kanamycin,1355,
684,Neomycin,1355,
685,Penicillin,1355,
686,Bacitracin,1355,
687,Chloramphenicol,1355,
688,Fusidic acid,1355,
689,Lincomycin,1355,
690,Ampicillin,1355,
691,Novobiocin,1355,
692,Tetracycline,1355,
693,Vancomycin,1355,
694,Erythromycin,1355,
695,Tobramycin,1356,
696,Nalidixic acid,1356,
697,Nitrofurantoin,1356,
698,Novobiocin,1356,
699,Polymyxin B,1356,
700,Tetracycline,1356,
701,Gentamicin,1356,
702,Streptomycin,1356,
703,Lincomycin,1356,
704,Ampicillin,1356,
705,Carbenicillin,1356,
706,Chloramphenicol,1356,
707,Kanamycin,1356,
708,Rifampicin,1356,
709,Bacitracin,1364,
710,Penicillin G,1364,
711,Norfloxacin,1364,
712,Streptomycin,1364,
713,Chloramphenicol,1364,
714,Kanamycin,1364,
715,Neomycin,1364,
716,Tetracycline,1364,
717,Ampicillin,1364,
718,Erythromycin,1364,
719,Novobiocin,1364,
720,Vancomycin,1364,
721,Ciprofloxacin,1364,
722,Rifampicin,1364,
723,Polymyxin B,1368,
724,Kanamycin,1368,
725,Bacitracin,1368,
726,Streptomycin,1368,
727,Tobramycin,1368,
728,Carbenicillin,1368,
729,Erythromycin,1368,
730,Amikacin,1368,
731,Amoxicillin,1368,
732,Cefoxitin,1368,
733,Chloramphenicol,1368,
734,Gentamicin,1368,
735,Tetracycline,1368,
736,Nitrofurantoin,1368,
737,Novobiocin,1368,
738,Rifampicin,1368,
739,Kanamycin,1374,
740,Bacitracin,1374,
741,Chloramphenicol,1374,
742,Lincomycin,1374,
743,Penicillin G,1374,
744,Ampicillin,1374,
745,Streptomycin,1374,
746,Novobiocin,1374,
747,Vancomycin,1374,
748,Erythromycin,1374,
749,Tetracycline,1374,
750,Tetracycline,1375,
751,Ampicillin,1375,
752,Bacitracin,1375,
753,Chloramphenicol,1375,
754,Gentamicin,1375,
755,Kanamycin,1375,
756,Neomycin,1375,
757,Novobiocin,1375,
758,Penicillin G,1375,
759,Streptomycin,1375,
760,Vancomycin,1375,
761,Polymyxin B,1380,
762,Penicillin,1380,
763,Streptomycin,1380,
764,Nystatin,1380,
765,Cefoxitin,1380,
766,Tetracycline,1380,
767,Amoxicillin,1380,
768,Ampicillin,1380,
769,Carbenicillin,1380,
770,Erythromycin,1380,
771,Cephotaxime,1380,
772,Chloramphenicol,1380,
773,Kanamycin,1380,
774,Neomycin,1380,
775,Novobiocin,1380,
776,Nitrofurantoin,1380,
777,Rifampicin,1380,
778,Lincomycin,1388,
779,Tetracycline,1388,
780,Gentamicin,1388,
781,Streptomycin,1388,
782,Nalidixic acid,1388,
783,Ampicillin,1388,
784,Carbenicillin,1388,
785,Chloramphenicol,1388,
786,Kanamycin,1388,
787,Novobiocin,1388,
788,Polymyxin B,1388,
789,Rifampicin,1388,
790,Nalidixic acid,1389,
791,Novobiocin,1389,
792,Polymyxin B,1389,
793,Tetracycline,1389,
794,Gentamicin,1389,
795,Streptomycin,1389,
796,Lincomycin,1389,
797,Ampicillin,1389,
798,Carbenicillin,1389,
799,Chloramphenicol,1389,
800,Kanamycin,1389,
801,Rifampicin,1389,
802,Tobramycin,1392,
803,Kanamycin,1392,
804,Polymyxin B,1392,
805,Carbenicillin,1392,
806,Amoxicillin,1392,
807,Gentamicin,1392,
808,Tetracycline,1392,
809,Nitrofurantoin,1392,
810,Rifampicin,1392,
811,Penicillin G,1393,
812,Neomycin,1393,
813,Kanamycin,1393,
814,Nalidixic acid,1393,
815,Erythromycin,1393,
816,Cephalothin,1393,
817,Chloramphenicol,1393,
818,Novobiocin,1393,
819,Bacitracin,1407,
820,Polymyxin B,1407,
821,Gentamicin,1407,
822,Nystatin,1407,
823,Amikacin,1407,
824,Nalidixic acid,1407,
825,Oxacillin,1407,
826,Amoxicillin,1407,
827,Ampicillin,1407,
828,Penicillin,1407,
829,Streptomycin,1407,
830,Tobramycin,1407,
831,Carbenicillin,1407,
832,Azithromycin,1407,
833,Erythromycin,1407,
834,Fosfomycin,1407,
835,Cephotaxime,1407,
836,Chloramphenicol,1407,
837,Kanamycin,1407,
838,Neomycin,1407,
839,Novobiocin,1407,
840,Tetracycline,1407,
841,Vancomycin,1407,
842,Cefoxitin,1407,
843,Nitrofurantoin,1407,
844,Rifampicin,1407,
845,Polymyxin B,1439,
846,Ampicillin,1459,
847,Chloramphenicol,1459,
848,Ampicillin,1460,
849,Gentamicin,1460,
850,Kanamycin,1460,
851,Nalidixic acid,1460,
852,Neomycin,1460,
853,Tetracycline,1460,
854,Bacitracin,1460,
855,Carbenicillin,1460,
856,Chloramphenicol,1460,
857,Erythromycin,1460,
858,Novobiocin,1460,
859,Penicillin,1460,
860,Rifampicin,1460,
861,Amoxicillin,1461,
862,Metronidazole,1461,
863,Penicillin,1461,
864,Gentamicin,1463,
865,Streptomycin,1463,
866,Nalidixic acid,1463,
867,Kanamycin,1463,
868,Polymyxin B,1463,
869,Lincomycin,1463,
870,Ampicillin,1463,
871,Chloramphenicol,1463,
872,Novobiocin,1463,
873,Tetracycline,1463,
874,Rifampicin,1463,
875,Ampicillin,1465,
876,Gentamicin,1465,
877,Streptomycin,1465,
878,Tobramycin,1465,
879,Erythromycin,1465,
880,Amikacin,1465,
881,Novobiocin,1465,
882,Vancomycin,1465,
883,Ciprofloxacin,1465,
884,Penicillin,1465,
885,Co-Trimoxazole,1465,
886,Amoxicillin,1465,
887,Neomycin,1465,
888,Norfloxacin,1465,
889,Lincomycin,1465,
890,Chloramphenicol,1465,
891,Netilmycin,1465,
892,Tetracycline,1465,
893,Rifampicin,1465,
894,Bacitracin,1466,
895,Chloramphenicol,1466,
896,Nalidixic acid,1466,
897,Ampicillin,1466,
898,Gentamicin,1466,
899,Kanamycin,1466,
900,Neomycin,1466,
901,Novobiocin,1466,
902,Rifampicin,1466,
903,Streptomycin,1467,
904,Nystatin,1467,
905,Bacitracin,1467,
906,Penicillin G,1467,
907,Amoxicillin,1467,
908,Ampicillin,1467,
909,Tetracycline,1467,
910,Tobramycin,1467,
911,Carbenicillin,1467,
912,Erythromycin,1467,
913,Cefoxitin,1467,
914,Cephotaxime,1467,
915,Chloramphenicol,1467,
916,Kanamycin,1467,
917,Neomycin,1467,
918,Novobiocin,1467,
919,Nitrofurantoin,1467,
920,Rifampicin,1467,
921,Streptomycin,1468,
922,Ampicillin,1468,
923,Kanamycin,1468,
924,Chloramphenicol,1468,
925,Neomycin,1468,
926,Tetracycline,1468,
927,Gentamicin,1468,
928,Gentamicin,1469,
929,Streptomycin,1469,
930,Amikacin,1469,
931,Cycloheximide,1469,
932,Kanamycin,1469,
933,Nalidixic acid,1469,
934,Neomycin,1469,
935,Penicillin G,1469,
936,Polymyxin B,1469,
937,Amoxicillin,1469,
938,Bacitracin,1469,
939,Rifampicin,1469,
940,Erythromycin,1469,
941,Lincomycin,1469,
942,Ampicillin,1469,
943,Chloramphenicol,1469,
944,Tetracycline,1469,
945,Vancomycin,1469,
946,Nystatin,1469,
947,Erythromycin,1476,
948,Nalidixic acid,1476,
949,Polymyxin,1476,
950,Ampicillin,1476,
951,Bacitracin,1476,
952,Carbenicillin,1476,
953,Cephalothin,1476,
954,Chloramphenicol,1476,
955,Novobiocin,1476,
956,Penicillin G,1476,
957,Rifampicin,1476,
958,Nalidixic acid,1477,
959,Neomycin,1477,
960,Novobiocin,1477,
961,Rifampicin,1477,
962,Chloramphenicol,1477,
963,Erythromycin,1477,
964,Penicillin G,1477,
965,Streptomycin,1477,
966,Tetracycline,1477,
967,Amikacin,1485,
968,Clindamycin,1485,
969,Kanamycin,1485,
970,Nalidixic acid,1485,
971,Polymyxin B,1485,
972,Streptomycin,1485,
973,Ampicillin,1485,
974,Cephalotin,1485,
975,Erythromycin,1485,
976,Gentamicin,1485,
977,Penicillin,1485,
978,Rifampicin,1485,
979,Ampicillin,1487,
980,Chloramphenicol,1487,
981,Erythromycin,1487,
982,Rifampicin,1487,
983,Streptomycin,1487,
984,Gentamicin,1488,
985,Streptomycin,1488,
986,Nalidixic acid,1488,
987,Kanamycin,1488,
988,Lincomycin,1488,
989,Ampicillin,1488,
990,Chloramphenicol,1488,
991,Novobiocin,1488,
992,Polymyxin B,1488,
993,Tetracycline,1488,
994,Rifampicin,1488,
995,Gentamicin,1489,
996,Nalidixic acid,1489,
997,Ampicillin,1489,
998,Streptomycin,1489,
999,Lincomycin,1489,
1000,Chloramphenicol,1489,
1001,Kanamycin,1489,
1002,Novobiocin,1489,
1003,Polymyxin B,1489,
1004,Tetracycline,1489,
1005,Rifampicin,1489,
1006,Rifampicin,1538,
1007,Erythromycin,1538,
1008,Tetracycline,1538,
1009,Chloramphenicol,1538,
1010,Streptomycin,1538,
1011,Colistin,1538,
1012,Fusidic acid,1538,
1013,Lincomycin,1538,
1014,Metronidazole,1538,
1015,Oxolinic acid,1538,
1016,Sulfamethoxazole,1538,
1017,Gentamicin,1574,
1018,Kanamycin,1574,
1019,Methicillin,1574,
1020,Nalidixic acid,1574,
1021,Neomycin,1574,
1022,Penicillin,1574,
1023,Streptomycin,1574,
1024,Vancomycin,1574,
1025,Imipenem,1640,
1026,Vancomycin,1640,
1027,Aminoglycoside antibiotic,1640,
1028,Doxycycline,1640,
1029,Macrolide antibiotic,1640,
1030,Rifampicin,1640,
1031,Vancomycin,1641,
1032,Aminoglycoside antibiotic,1641,
1033,Doxycycline,1641,
1034,Macrolide antibiotic,1641,
1035,Rifampicin,1641,
1036,Vancomycin,1642,
1037,Aminoglycoside antibiotic,1642,
1038,Doxycycline,1642,
1039,Macrolide antibiotic,1642,
1040,Rifampicin,1642,
1041,Chloramphenicol,1652,
1042,Streptomycin,1652,
1043,Ampicillin,1652,
1044,Carbenicillin,1652,
1045,Cephalothin,1652,
1046,Gentamicin,1652,
1047,Kanamycin,1652,
1048,Lincomycin,1652,
1049,Neomycin,1652,
1050,Novobiocin,1652,
1051,Oleandomycin,1652,
1052,Penicillin G,1652,
1053,Polymyxin B,1652,
1054,Tetracycline,1652,
1055,Neomycin,1653,
1056,Kanamycin,1653,
1057,Tetracycline,1653,
1058,Nalidixic acid,1653,
1059,Rifampicin,1653,
1060,Streptomycin,1653,
1061,Chloramphenicol,1653,
1062,Ampicillin,1653,
1063,Kanamycin,1654,
1064,Neomycin,1654,
1065,Ampicillin,1654,
1066,Carbenicillin,1654,
1067,Cephalothin,1654,
1068,Chloramphenicol,1654,
1069,Gentamicin,1654,
1070,Lincomycin,1654,
1071,Novobiocin,1654,
1072,Oleandomycin,1654,
