ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
1906,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,3863,1,2005-09-28 00:00:00,2016-01-18 09:02:53,112.0,2019-11-20 07:22:48
1905,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6101,3863,1,2001-10-01 00:00:00,2016-01-18 09:02:53,111.0,2019-11-20 07:22:48
1904,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,2119,3702,1,2006-02-06 00:00:00,2016-01-18 09:02:53,110.0,2019-11-20 07:22:48
2052,-,+,+,-,-,+,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,+,2126,2005,1,2018-02-22 00:00:00,2018-02-23 10:55:03,273.0,2019-11-20 07:22:48
1903,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2119,3702,1,2011-08-03 00:00:00,2016-01-18 09:02:53,109.0,2019-11-20 07:22:48
1902,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,+,+,-,+,-,+,2094,3369,1,2002-04-17 00:00:00,2016-01-18 09:02:53,106.0,2019-11-20 07:22:48
1901,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,+,-,-,-,-,+,2094,3369,1,2006-09-11 00:00:00,2016-01-18 09:02:53,105.0,2019-11-20 07:22:48
1900,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,+,+,-,-,-,+,2094,3369,1,2005-01-25 00:00:00,2016-01-18 09:02:53,104.0,2019-11-20 07:22:48
1899,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+/-,+,+,-,-,-,+/-,2094,3369,1,2008-02-13 00:00:00,2016-01-18 09:02:53,103.0,2019-11-20 07:22:48
1898,-,+,+,-,-,-,-,-,-,+,-,-,-,+/-,-,+/-,+,-,-,-,+,2094,3369,1,2010-03-24 00:00:00,2016-01-18 09:02:53,102.0,2019-11-20 07:22:48
1897,-,+,+,-,-,-,-,-,-,+,-,-,+,+,+/-,+,+,-,-,-,,2094,3369,1,2014-12-09 00:00:00,2016-01-18 09:02:53,101.0,2019-11-20 07:22:48
1896,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6099,3190,1,2007-02-13 00:00:00,2016-01-18 09:02:53,100.0,2019-11-20 07:22:48
1895,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6099,3190,1,2009-12-16 00:00:00,2016-01-18 09:02:53,99.0,2019-11-20 07:22:48
1893,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6099,3190,1,2005-10-31 00:00:00,2016-01-18 09:02:53,97.0,2019-11-20 07:22:48
1892,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,6099,3190,1,2005-09-28 00:00:00,2016-01-18 09:02:53,96.0,2019-11-20 07:22:48
1891,+,-,+/-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6099,3190,1,2005-02-16 00:00:00,2016-01-18 09:02:53,95.0,2019-11-20 07:22:48
1890,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,6103,3189,1,1996-11-11 00:00:00,2016-01-18 09:02:53,94.0,2019-11-20 07:22:48
1889,-,+,+,-,-,+/-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,+,2095,3106,1,1997-07-30 00:00:00,2016-01-18 09:02:53,93.0,2019-11-20 07:22:48
1888,-,+,+,-,-,+,-,-,-,+,-,-,+/-,-,-,+,+,-,-,-,+,2095,3106,1,1997-07-30 00:00:00,2016-01-18 09:02:53,92.0,2019-11-20 07:22:48
1887,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+/-,2095,3106,1,2014-03-05 00:00:00,2016-01-18 09:02:53,91.0,2019-11-20 07:22:48
1886,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,2095,3106,1,2014-03-05 00:00:00,2016-01-18 09:02:53,90.0,2019-11-20 07:22:48
1885,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2095,3106,1,2005-05-02 00:00:00,2016-01-18 09:02:53,89.0,2019-11-20 07:22:48
1884,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2095,3106,1,2010-10-21 00:00:00,2016-01-18 09:02:53,88.0,2019-11-20 07:22:48
1883,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,+/-,2093,3105,1,2005-06-01 00:00:00,2016-01-18 09:02:53,87.0,2019-11-20 07:22:48
1882,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,2092,3103,1,2005-10-24 00:00:00,2016-01-18 09:02:53,86.0,2019-11-20 07:22:48
1881,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,+,+,-,-,-,,2092,3103,1,2010-01-20 00:00:00,2016-01-18 09:02:53,85.0,2019-11-20 07:22:48
1880,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,+/-,-,-,-,+,2092,3103,1,2010-04-30 00:00:00,2016-01-18 09:02:53,84.0,2019-11-20 07:22:48
1879,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,+/-,+,-,+/-,-,,2092,3103,1,2015-03-12 00:00:00,2016-01-18 09:02:53,83.0,2019-11-20 07:22:48
1878,-,+,-,-,-,-,-,-,-,+/-,-,-,-,-,-,+,+,-,-,-,+,2091,3095,1,2002-08-07 00:00:00,2016-01-18 09:02:53,82.0,2019-11-20 07:22:48
1877,-,+,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,+,2091,3095,1,2002-11-05 00:00:00,2016-01-18 09:02:53,81.0,2019-11-20 07:22:48
1876,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,2091,3095,1,2006-04-05 00:00:00,2016-01-18 09:02:53,80.0,2019-11-20 07:22:48
1875,-,+,+,-,-,+,-,-,-,+/-,-,+,-,-,-,+,+,-,+,-,+,2091,3095,1,2011-12-09 00:00:00,2016-01-18 09:02:53,79.0,2019-11-20 07:22:48
1874,-,-,+,+/-,-,-,-,+/-,+,+,+,-,+,-,-,-,-,-,-,-,-,2128,2649,1,2011-04-05 00:00:00,2016-01-18 09:02:53,78.0,2019-11-20 07:22:48
1873,-,+,-,-,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,2120,2002,1,1998-12-02 00:00:00,2016-01-18 09:02:53,77.0,2019-11-20 07:22:48
1872,-,+,-,-,+/-,+/-,-,+,-,+,-,-,+,+/-,-,-,-,-,-,+/-,,2120,2002,1,2003-06-02 00:00:00,2016-01-18 09:02:53,76.0,2019-11-20 07:22:48
1871,-,+,-,-,-,+,-,+,-,-,-,-,+,+,-,-,+/-,-,-,-,+,2120,2002,1,2005-06-22 00:00:00,2016-01-18 09:02:53,75.0,2019-11-20 07:22:48
1870,-,+,-,-,-,+,-,+/-,-,-,-,-,+,+/-,-,-,+/-,-,-,-,,2120,2002,1,2012-08-08 00:00:00,2016-01-18 09:02:53,74.0,2019-11-20 07:22:48
1869,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,2120,2002,1,2011-06-21 00:00:00,2016-01-18 09:02:53,73.0,2019-11-20 07:22:48
1868,-,+,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2120,2002,1,2010-02-17 00:00:00,2016-01-18 09:02:53,72.0,2019-11-20 07:22:48
1867,-,+,-,-,-,+/-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,2120,2002,1,2009-03-23 00:00:00,2016-01-18 09:02:53,71.0,2019-11-20 07:22:48
1866,-,+,+,-,-,-,-,-,+,+,-,,,,,,,,,,-,2126,2005,1,2009-04-23 00:00:00,2016-01-18 09:02:53,70.0,2019-11-20 07:22:48
1865,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,2126,2005,1,1995-12-04 00:00:00,2016-01-18 09:02:53,69.0,2019-11-20 07:22:48
1864,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,2126,2005,1,1996-02-19 00:00:00,2016-01-18 09:02:53,68.0,2019-11-20 07:22:48
1863,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2126,2005,1,1999-08-26 00:00:00,2016-01-18 09:02:53,67.0,2019-11-20 07:22:48
1862,-,+,+,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,2126,2005,1,2006-03-15 00:00:00,2016-01-18 09:02:53,66.0,2019-11-20 07:22:48
1861,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,+,2126,2005,1,2006-03-30 00:00:00,2016-01-18 09:02:53,65.0,2019-11-20 07:22:48
1860,-,+,-,-,-,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2126,2005,1,2010-02-17 00:00:00,2016-01-18 09:02:53,64.0,2019-11-20 07:22:48
1859,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2126,2005,1,2009-10-29 00:00:00,2016-01-18 09:02:53,63.0,2019-11-20 07:22:48
1858,-,+,+/-,+/-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,2126,2005,1,2012-04-25 00:00:00,2016-01-18 09:02:53,62.0,2019-11-20 07:22:48
1857,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,2126,2005,1,2014-11-13 00:00:00,2016-01-18 09:02:53,61.0,2019-11-20 07:22:48
1856,-,+,-,-,-,+,-,-,+,-,+,-,+,-,-,-,-,+,-,-,+,2129,2004,1,2012-12-06 00:00:00,2016-01-18 09:02:53,60.0,2019-11-20 07:22:48
1855,-,+,-,-,-,-,-,-,-,-,+,-,+/-,-,-,-,-,-,-,-,+,2125,2003,1,2005-11-07 00:00:00,2016-01-18 09:02:53,59.0,2019-11-20 07:22:48
1854,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,2125,2003,1,2010-01-26 00:00:00,2016-01-18 09:02:53,58.0,2019-11-20 07:22:48
1853,-,+,-,+/-,-,+,-,+,-,+,-,-,-,-,-,-,+,+/-,+,-,+,6098,2001,1,2005-03-14 00:00:00,2016-01-18 09:02:53,57.0,2019-11-20 07:22:48
1852,-,+,+,-,-,+,+,-,-,-,-,+,-,-,-,+/-,+/-,-,-,-,+,6098,2001,1,2010-03-02 00:00:00,2016-01-18 09:02:53,56.0,2019-11-20 07:22:48
1851,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,6098,2001,1,1996-04-01 00:00:00,2016-01-18 09:02:53,55.0,2019-11-20 07:22:48
1850,-,+,-,-,-,-,-,+/-,-,+,-,-,-,-,-,-,-,-,-,-,+,6098,2001,1,1998-08-10 00:00:00,2016-01-18 09:02:53,54.0,2019-11-20 07:22:48
1849,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,6098,2001,1,2006-01-11 00:00:00,2016-01-18 09:02:53,53.0,2019-11-20 07:22:48
1848,+,-,+,-,+,+,-,+,+,-,-,+,+,-,-,+/-,-,+,+,-,+,367,1875,1,2005-11-16 00:00:00,2016-01-18 09:02:53,52.0,2019-11-20 07:22:48
1847,+,-,+,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,,367,1875,1,2010-11-02 00:00:00,2016-01-18 09:02:53,51.0,2019-11-20 07:22:48
1846,-,+,+,-,-,+,-,+/-,-,+,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,1995-05-29 00:00:00,2016-01-18 09:02:53,50.0,2019-11-20 07:22:48
1845,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,1997-08-06 00:00:00,2016-01-18 09:02:53,49.0,2019-11-20 07:22:48
1844,-,+,+,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,1999-05-19 00:00:00,2016-01-18 09:02:53,48.0,2019-11-20 07:22:48
1843,-,+,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,2004-02-10 00:00:00,2016-01-18 09:02:53,47.0,2019-11-20 07:22:48
1842,-,+,+,+/-,-,+,-,+,-,+,-,-,+,-,+/-,-,+/-,-,-,-,,2103,1684,1,2001-12-07 00:00:00,2016-01-18 09:02:53,46.0,2019-11-20 07:22:48
1841,-,+,+,-,+/-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,2004-10-20 00:00:00,2016-01-18 09:02:53,45.0,2019-11-20 07:22:48
1840,-,+,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,+,2103,1684,1,2004-11-17 00:00:00,2016-01-18 09:02:53,44.0,2019-11-20 07:22:48
1839,-,+,+/-,-,-,+,-,+/-,-,+,-,-,+,-,+,-,+,-,+,-,+,2103,1684,1,2005-04-18 00:00:00,2016-01-18 09:02:53,43.0,2019-11-20 07:22:48
1838,-,+,+,-,-,+,-,+/-,-,+,-,-,+,-,+,-,+,-,+,-,+,2103,1684,1,2005-04-18 00:00:00,2016-01-18 09:02:53,42.0,2019-11-20 07:22:48
1837,-,+,+,-,-,+/-,-,-,-,-,-,-,+,-,+/-,-,+,-,+/-,-,+,2103,1684,1,2005-07-18 00:00:00,2016-01-18 09:02:53,41.0,2019-11-20 07:22:48
1836,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,+,-,+,2103,1684,1,2006-03-20 00:00:00,2016-01-18 09:02:53,40.0,2019-11-20 07:22:48
1835,-,+,+,-,-,+,-,+,-,+,-,-,+/-,-,+,-,+/-,-,-,-,+,2103,1684,1,2007-06-06 00:00:00,2016-01-18 09:02:53,39.0,2019-11-20 07:22:48
1834,-,+,+,-,-,-,-,+/-,-,+/-,-,-,-,-,-,-,-,-,-,-,+,2103,1684,1,2010-02-24 00:00:00,2016-01-18 09:02:53,38.0,2019-11-20 07:22:48
