ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
3904,0,,9,2014-11-21 10:23:52,2014-11-21 10:23:52
3905,0,,9,2014-11-21 10:29:27,2014-11-21 10:29:27
3906,0,,9,2014-11-21 10:31:19,2014-11-21 10:31:19
3907,0,,9,2014-11-21 10:36:12,2014-11-21 10:36:12
3908,0,,9,2014-11-21 10:37:53,2014-11-21 10:37:53
3909,0,,9,2014-11-21 10:56:30,2014-11-21 10:56:30
3910,0,,9,2014-11-21 11:02:27,2014-11-21 11:02:27
3911,0,,9,2014-11-21 11:09:00,2014-11-21 11:09:00
3912,0,,9,2014-11-21 11:16:07,2014-11-21 11:16:07
3913,0,,9,2014-11-21 11:21:31,2014-11-21 11:21:31
3914,0,,9,2014-11-21 11:28:40,2014-11-21 11:28:40
3915,0,,9,2014-11-21 11:34:42,2014-11-21 11:34:42
3916,0,,9,2014-11-21 11:37:32,2014-11-21 11:37:32
3917,0,,9,2014-11-21 11:42:14,2014-11-21 11:42:14
3918,0,,9,2014-11-21 11:44:26,2014-11-21 11:44:26
3919,0,,9,2014-11-21 11:48:34,2014-11-21 11:48:34
3920,0,,9,2014-11-21 12:03:55,2014-11-21 12:03:55
3921,0,,9,2014-11-21 12:12:35,2014-11-21 12:12:35
3922,0,,9,2014-11-21 12:17:48,2014-11-21 12:17:48
3923,0,,9,2014-11-21 12:21:37,2014-11-21 12:21:37
3924,0,,9,2014-11-21 12:22:17,2014-11-21 12:22:17
3925,0,,9,2014-11-21 12:25:14,2014-11-21 12:25:14
3926,0,,9,2014-11-21 12:26:15,2014-11-21 12:26:15
3927,0,,9,2014-11-21 12:26:46,2014-11-21 12:26:46
3928,0,,9,2014-11-21 12:34:26,2014-11-21 12:34:26
3929,0,,9,2014-11-21 12:35:03,2014-11-21 12:35:03
3930,0,,9,2014-11-21 12:35:31,2014-11-21 12:35:31
3931,0,,9,2014-11-21 12:38:53,2014-11-21 12:38:53
3932,0,,9,2014-11-21 12:43:00,2014-11-21 12:43:00
3933,0,,9,2014-11-21 12:43:22,2014-11-21 12:43:22
3934,0,,9,2014-11-21 12:45:46,2014-11-21 12:45:46
3935,0,,9,2014-11-21 12:46:34,2014-11-21 12:46:34
3936,0,,9,2014-11-21 12:50:37,2014-11-21 12:50:37
3937,0,,9,2014-11-21 12:51:02,2014-11-21 12:51:02
3938,0,,9,2014-11-21 12:52:19,2014-11-21 12:52:19
3939,0,,9,2014-11-21 12:52:29,2014-11-21 12:52:29
3940,0,,9,2014-11-21 12:52:56,2014-11-21 12:52:56
3941,0,,9,2014-11-21 12:55:52,2014-11-21 12:55:52
3942,0,,9,2014-11-21 12:56:28,2014-11-21 12:56:28
3943,0,,9,2014-11-21 12:57:59,2014-11-21 12:57:59
3944,0,,9,2014-11-21 12:58:29,2014-11-21 12:58:29
3945,0,,9,2014-11-21 13:02:02,2014-11-21 13:02:02
