ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,manual_annotation,last_change
53,1,,,,,6270,18363,1,2016-03-22 15:24:55
54,1,German classification,,,,7409,18368,1,2016-03-22 15:24:55
55,1,,,,,7763,18369,1,2016-03-22 15:24:55
56,1,,,,,7582,18370,1,2016-03-22 15:24:55
57,1,,,,,7581,18371,1,2016-03-22 15:24:55
58,1,German classification,,,,6295,18372,1,2016-03-22 15:24:55
59,1,German classification,,,,6297,18374,1,2016-03-22 15:24:55
60,1,German classification,,,,6260,18377,1,2016-03-22 15:24:55
61,1,German classification,,,,7320,18378,1,2016-03-22 15:24:55
62,1,,,,,7253,18379,1,2016-03-22 15:24:55
63,1,,,,,1771,18381,1,2016-03-22 15:24:55
64,1,,,,,7631,18382,1,2016-03-22 15:24:55
65,1,,,,,18108,18383,1,2016-03-22 15:24:55
66,2,,,,,7589,18384,1,2016-03-22 15:24:55
67,1,German classification,,,,7249,18385,1,2016-03-22 15:24:55
68,1,German classification,,,,7267,18386,1,2016-03-22 15:24:55
69,1,German classification,,,,7268,18387,1,2016-03-22 15:24:55
70,1,,,,,7269,18388,1,2016-03-22 15:24:55
71,2,,,,,7591,18389,1,2016-03-22 15:24:55
72,1,German classification,,,,7470,18390,1,2016-03-22 15:24:55
73,1,,,,,7494,18391,1,2016-03-22 15:24:55
74,1,German classification,,,,7787,18392,1,2016-03-22 15:24:55
75,1,German classification,,,,12588,18393,1,2016-03-22 15:24:55
76,1,German classification,,,,6239,18394,1,2016-03-22 15:24:55
77,1,,,,,7610,18396,1,2016-03-22 15:24:55
78,1,,,,,7609,18397,1,2016-03-22 15:24:55
79,1,German classification,,,,12611,18398,1,2016-03-22 15:24:55
80,1,German classification,,,,11114,18400,1,2016-03-22 15:24:55
81,1,German classification,,,,7788,18401,1,2016-03-22 15:24:55
82,2,,,,,7605,18402,1,2016-03-22 15:24:55
83,2,,,,,7608,18403,1,2016-03-22 15:24:55
84,1,German classification,,,,5831,18404,1,2016-03-22 15:24:55
85,1,German classification,,,,11058,18405,1,2016-03-22 15:24:55
86,1,German classification,,,,11074,18406,1,2016-03-22 15:24:55
87,1,German classification,,,,12620,18407,1,2016-03-22 15:24:55
88,1,German classification,,,,11061,18408,1,2016-03-22 15:24:55
89,1,German classification,,,,11120,18409,1,2016-03-22 15:24:55
90,1,German classification,,,,7256,18410,1,2016-03-22 15:24:55
91,1,German classification,,,,17628,18411,1,2016-03-22 15:24:55
92,1,German classification,,,,7356,18412,1,2016-03-22 15:24:55
93,1,German classification,,,,7435,18414,1,2016-03-22 15:24:55
94,1,,,,,7673,18415,1,2016-03-22 15:24:55
95,1,,,,,7637,18416,1,2016-03-22 15:24:55
96,1,,,,,2356,18417,1,2016-03-22 15:24:55
97,1,,,,,2350,18418,1,2016-03-22 15:24:55
98,1,,,,,7523,18419,1,2016-03-22 15:24:55
99,1,,,,,7519,18420,1,2016-03-22 15:24:55
100,1,,,,,7521,18421,1,2016-03-22 15:24:55
101,1,,,,,7520,18422,1,2016-03-22 15:24:55
102,1,German classification,,,,7375,18423,1,2016-03-22 15:24:55
103,1,German classification,,,,7376,18424,1,2016-03-22 15:24:55
104,1,German classification,,,,3083,18425,1,2016-03-22 15:24:55
105,1,German classification,,,,7265,18426,1,2016-03-22 15:24:55
106,1,,,,,7566,18427,1,2016-03-22 15:24:55
127,1,German classification,,,,12583,18428,1,2016-03-22 15:24:55
131,2,German classification,,,,14038,18429,1,2016-03-22 15:24:55
132,1,German classification,,,,12621,18430,1,2016-03-22 15:24:55
134,1,German classification,,,,3909,18431,1,2016-03-22 15:24:55
135,1,German classification,,,,3910,18432,1,2016-03-22 15:24:55
136,1,Risk group (German classification),,,,6248,18433,1,2016-03-22 15:24:55
137,1,German classification,,,,1770,18434,1,2016-03-22 15:24:55
141,1,German classification,,,,3921,18435,1,2016-03-22 15:24:55
142,1,hazard group,,,,11109,18436,1,2016-03-22 15:24:55
143,1,Hazard group,,,,7643,18437,1,2016-03-22 15:24:55
144,1,German classification,,,,3080,18438,1,2016-03-22 15:24:55
145,2,German classification,,,,10843,18439,1,2016-03-22 15:24:55
146,1,German classification,,,,18103,18440,1,2016-03-22 15:24:55
147,1,German classification,,,,7373,18441,1,2016-03-22 15:24:55
148,1,German classification,,,,7377,18442,1,2016-03-22 15:24:55
149,1,German classification,,,,7307,18443,1,2016-03-22 15:24:55
150,2,German classification,,,,3108,18444,1,2016-03-22 15:24:55
151,2,German classification,,,,3084,18445,1,2016-03-22 15:24:55
152,1,,,,,7317,18446,1,2016-03-22 15:24:55
153,1,,,,,7531,18447,1,2016-03-22 15:24:55
154,1,German classification,,,,7369,18450,1,2016-03-22 15:24:55
155,2,German classification,,,,3102,18451,1,2016-03-22 15:24:55
156,1,,,,,11099,18452,1,2016-03-22 15:24:55
157,1,,,,,7568,18453,1,2016-03-22 15:24:55
158,2,German classification,,,,3105,18454,1,2016-03-22 15:24:55
159,1,,,,,1834,18455,1,2016-03-22 15:24:55
160,2,German classification,,,,3123,18456,1,2016-03-22 15:24:55
161,2,German classification,,,,3131,18458,1,2016-03-22 15:24:55
162,1,,,,,2385,18460,1,2016-03-22 15:24:55
163,1,German classification,,,,14889,18461,1,2016-03-22 15:24:55
164,1,German classification,,,,15257,18462,1,2016-03-22 15:24:55
165,1,German classification,,,,15092,18463,1,2016-03-22 15:24:55
166,1,German classification,,,,15420,18464,1,2016-03-22 15:24:55
167,1,German classification,,,,15068,18465,1,2016-03-22 15:24:55
168,1,German classification,,,,16173,18466,1,2016-03-22 15:24:55
169,1,German classification,,,,15052,18467,1,2016-03-22 15:24:55
170,1,German classification,,,,14880,18468,1,2016-03-22 15:24:55
171,1,German classification,,,,13298,18469,1,2016-03-22 15:24:55
172,1,German classification,,,,14940,18470,1,2016-03-22 15:24:55
173,1,German classification,,,,15205,18471,1,2016-03-22 15:24:55
174,1,German classification,,,,15233,18472,1,2016-03-22 15:24:55
175,1,German classification,,,,15454,18473,1,2016-03-22 15:24:55
176,1,German classification,,,,14974,18474,1,2016-03-22 15:24:55
177,1,German classification,,,,15054,18475,1,2016-03-22 15:24:55
178,1,German classification,,,,15216,18476,1,2016-03-22 15:24:55
179,1,German classification,,,,15217,18477,1,2016-03-22 15:24:55
180,1,German classification,,,,15043,18478,1,2016-03-22 15:24:55
181,1,German classification,,,,15269,18479,1,2016-03-22 15:24:55
182,1,German classification,,,,15283,18480,1,2016-03-22 15:24:55
183,1,German classification,,,,13356,18481,1,2016-03-22 15:24:55
184,1,German classification,,,,13315,18482,1,2016-03-22 15:24:55
185,1,German classification,,,,10998,18483,1,2016-03-22 15:24:55
186,1,German classification,,,,15221,18484,1,2016-03-22 15:24:55
187,1,German classification,,,,10721,18485,1,2016-03-22 15:24:55
188,1,German classification,,,,10836,18486,1,2016-03-22 15:24:55
189,1,German classification,,,,7994,18487,1,2016-03-22 15:24:55
190,1,,,,,11102,18488,1,2016-03-22 15:24:55
191,1,German classification,,,,11180,18489,1,2016-03-22 15:24:55
192,2,German classification,,,,16950,18490,1,2016-03-22 15:24:55
193,1,,,,,10655,18491,1,2016-03-22 15:24:55
194,2,German classification,,,,10717,18492,1,2016-03-22 15:24:55
195,1,German classification,,,,10763,18493,1,2016-03-22 15:24:55
196,1,German classification,,,,17006,18494,1,2016-03-22 15:24:55
197,1,German classification,,,,16546,18495,1,2016-03-22 15:24:55
198,1,German classification,,,,13362,18496,1,2016-03-22 15:24:55
199,2,German classification,,,,10669,18497,1,2016-03-22 15:24:55
200,1,,,,,6273,18498,1,2016-03-22 15:24:55
201,1,German classification,,,,6275,18499,1,2016-03-22 15:24:55
202,1,German classification,,,,7252,18500,1,2016-03-22 15:24:55
203,1,German classification,,,,12610,18502,1,2016-03-22 15:24:55
204,1,,,,,12613,18503,1,2016-03-22 15:24:55
205,1,German classification,,,,7490,18504,1,2016-03-22 15:24:55
206,1,German classification,,,,7491,18505,1,2016-03-22 15:24:55
207,2,,,,,7585,18506,1,2016-03-22 15:24:55
208,2,,,,,7583,18507,1,2016-03-22 15:24:55
209,1,German classification,,,,7329,18508,1,2016-03-22 15:24:55
210,1,German classification,,,,7473,18509,1,2016-03-22 15:24:55
211,1,,,,,6298,18510,1,2016-03-22 15:24:55
212,1,German classification,,,,7248,18512,1,2016-03-22 15:24:55
213,1,,,,,7650,18513,1,2016-03-22 15:24:55
214,1,Risk group,,,,18107,18514,1,2016-03-22 15:24:55
215,1,Risk group (German classification),,,,3941,18515,1,2016-03-22 15:24:55
216,2,Hazard group,,,,7780,18516,1,2016-03-22 15:24:55
217,1,Risk group,,,,3913,18517,1,2016-03-22 15:24:55
218,1,Risk group (German classification),,,,7266,18518,1,2016-03-22 15:24:55
219,1,Risk group (German classification),,,,7468,18519,1,2016-03-22 15:24:55
220,1,Risk group (German classification),,,,7469,18520,1,2016-03-22 15:24:55
221,1,Hazard group,,,,7592,18521,1,2016-03-22 15:24:55
222,1,Risk group (German classification),,,,6283,18522,1,2016-03-22 15:24:55
223,1,Hazard group,,,,11069,18523,1,2016-03-22 15:24:55
224,1,German classification,,,,15036,18525,1,2016-03-22 15:24:55
225,1,German classification,,,,15387,18526,1,2016-03-22 15:24:55
226,1,German classification,,,,15493,18527,1,2016-03-22 15:24:55
227,1,German classification,,,,15062,18528,1,2016-03-22 15:24:55
228,1,German classification,,,,15077,18529,1,2016-03-22 15:24:55
229,1,German classification,,,,15211,18530,1,2016-03-22 15:24:55
230,1,German classification,,,,15483,18531,1,2016-03-22 15:24:55
231,1,German classification,,,,15509,18532,1,2016-03-22 15:24:55
232,1,German classification,,,,16037,18533,1,2016-03-22 15:24:55
233,1,German classification,,,,16136,18534,1,2016-03-22 15:24:55
234,1,German classification,,,,15042,18535,1,2016-03-22 15:24:55
235,1,German classification,,,,15428,18536,1,2016-03-22 15:24:55
236,1,German classification,,,,16128,18537,1,2016-03-22 15:24:55
237,1,German classification,,,,15140,18538,1,2016-03-22 15:24:55
238,1,German classification,,,,15134,18539,1,2016-03-22 15:24:55
239,1,German classification,,,,15143,18540,1,2016-03-22 15:24:55
240,1,German classification,,,,15234,18541,1,2016-03-22 15:24:55
241,1,German classification,,,,15005,18542,1,2016-03-22 15:24:55
242,1,German classification,,,,15066,18543,1,2016-03-22 15:24:55
243,1,German classification,,,,15104,18544,1,2016-03-22 15:24:55
244,1,German classification,,,,15105,18545,1,2016-03-22 15:24:55
245,1,German classification,,,,15113,18546,1,2016-03-22 15:24:55
246,1,German classification,,,,15120,18547,1,2016-03-22 15:24:55
247,1,German classification,,,,15160,18548,1,2016-03-22 15:24:55
248,1,German classification,,,,15162,18549,1,2016-03-22 15:24:55
249,1,German classification,,,,15342,18550,1,2016-03-22 15:24:55
250,1,German classification,,,,15379,18551,1,2016-03-22 15:24:55
251,1,German classification,,,,15048,18552,1,2016-03-22 15:24:55
252,1,German classification,,,,15133,18553,1,2016-03-22 15:24:55
253,1,German classification,,,,15254,18554,1,2016-03-22 15:24:55
254,1,German classification,,,,15266,18555,1,2016-03-22 15:24:55
255,1,German classification,,,,16034,18556,1,2016-03-22 15:24:55
256,1,German classification,,,,15119,18557,1,2016-03-22 15:24:55
257,1,German classification,,,,15006,18558,1,2016-03-22 15:24:55
258,1,German classification,,,,15343,18559,1,2016-03-22 15:24:55
259,1,German classification,,,,15152,18560,1,2016-03-22 15:24:55
260,1,German classification,,,,14971,18561,1,2016-03-22 15:24:55
261,1,German classification,,,,14883,18562,1,2016-03-22 15:24:55
262,1,German classification,,,,16067,18563,1,2016-03-22 15:24:55
263,1,German classification,,,,15553,18564,1,2016-03-22 15:24:55
264,1,German classification,,,,14892,18565,1,2016-03-22 15:24:55
265,1,German classification,,,,16926,18567,1,2016-03-22 15:24:55
266,1,German classification,,,,16125,18569,1,2016-03-22 15:24:55
267,1,German classification,,,,16170,18568,1,2016-03-22 15:24:55
268,1,German classification,,,,16073,18570,1,2016-03-22 15:24:55
269,1,German classification,,,,15070,18571,1,2016-03-22 15:24:55
270,1,German classification,,,,16058,18573,1,2016-03-22 15:24:55
271,1,German classification,,,,15055,18574,1,2016-03-22 15:24:55
272,1,German classification,,,,15307,18575,1,2016-03-22 15:24:55
273,1,German classification,,,,14933,18576,1,2016-03-22 15:24:55
274,1,German classification,,,,16218,18577,1,2016-03-22 15:24:55
275,1,German classification,,,,15276,18578,1,2016-03-22 15:24:55
276,1,German classification,,,,15498,18579,1,2016-03-22 15:24:55
277,1,German classification,,,,15411,18580,1,2016-03-22 15:24:55
278,1,German classification,,,,15386,18581,1,2016-03-22 15:24:55
279,1,German classification,,,,15402,18582,1,2016-03-22 15:24:55
280,1,German classification,,,,15404,18583,1,2016-03-22 15:24:55
281,1,German classification,,,,15392,18584,1,2016-03-22 15:24:55
282,1,German classification,,,,15435,18585,1,2016-03-22 15:24:55
283,1,German classification,,,,15330,18586,1,2016-03-22 15:24:55
284,1,German classification,,,,14996,18587,1,2016-03-22 15:24:55
285,1,German classification,,,,14903,18588,1,2016-03-22 15:24:55
286,1,German classification,,,,15008,18589,1,2016-03-22 15:24:55
287,1,German classification,,,,15291,18590,1,2016-03-22 15:24:55
288,1,German classification,,,,16049,18591,1,2016-03-22 15:24:55
289,1,German classification,,,,14904,18592,1,2016-03-22 15:24:55
290,1,German classification,,,,15262,18593,1,2016-03-22 15:24:55
291,1,German classification,,,,15391,18594,1,2016-03-22 15:24:55
292,2,German classification,,,,11176,18595,1,2016-03-22 15:24:55
293,1,German classification,,,,15268,18596,1,2016-03-22 15:24:55
294,2,German classification,,,,10727,18597,1,2016-03-22 15:24:55
295,1,German classification,,,,13493,18598,1,2016-03-22 15:24:55
296,1,German classification,,,,15214,18599,1,2016-03-22 15:24:55
297,1,German classification,,,,15333,18601,1,2016-03-22 15:24:55
298,1,German classification,,,,16219,18602,1,2016-03-22 15:24:55
299,1,German classification,,,,15482,18603,1,2016-03-22 15:24:55
300,1,German classification,,,,13444,18604,1,2016-03-22 15:24:55
301,1,German classification,,,,15129,18605,1,2016-03-22 15:24:55
302,1,German classification,,,,15429,18606,1,2016-03-22 15:24:55
303,1,German classification,,,,16036,18607,1,2016-03-22 15:24:55
304,1,Hazard group,,,,11113,18608,1,2016-03-22 15:24:55
305,1,Hazard group,,,,7601,18609,1,2016-03-22 15:24:55
306,2,Hazard group,,,,7604,18610,1,2016-03-22 15:24:55
307,1,Hazard group,,,,11115,18611,1,2016-03-22 15:24:55
308,1,Hazard group,,,,7642,18619,1,2016-03-22 15:24:55
309,1,Hazard group,,,,2354,18620,1,2016-03-22 15:24:55
310,1,Hazard group,,,,2351,18621,1,2016-03-22 15:24:55
311,1,Hazard group,,,,7529,18622,1,2016-03-22 15:24:55
312,1,Hazard group,,,,7524,18623,1,2016-03-22 15:24:55
313,1,Hazard group,,,,7571,18624,1,2016-03-22 15:24:55
314,1,Hazard group,,,,11100,18625,1,2016-03-22 15:24:55
315,1,German classification,,,,3124,18626,1,2016-03-22 15:24:55
316,1,Hazard group,,,,7533,18627,1,2016-03-22 15:24:55
317,1,Hazard group,,,,7619,18628,1,2016-03-22 15:24:55
318,1,German classification,,,,7363,18629,1,2016-03-22 15:24:55
319,1,Risk group (German classification),,,,17087,18633,1,2016-03-22 15:24:55
320,1,Risk group (German classification),,,,7367,18634,1,2016-03-22 15:24:55
321,1,Risk group (German classification),,,,7365,18635,1,2016-03-22 15:24:55
322,1,Risk group (German classification),,,,3128,18636,1,2016-03-22 15:24:55
323,1,Risk group (German classification),,,,3085,18637,1,2016-03-22 15:24:55
324,1,German classification,,,,15280,18657,1,2016-03-22 15:24:55
325,1,German classification,,,,16098,18658,1,2016-03-22 15:24:55
326,1,German classification,,,,14939,18659,1,2016-03-22 15:24:55
327,1,German classification,,,,15479,18660,1,2016-03-22 15:24:55
328,1,German classification,,,,15044,18661,1,2016-03-22 15:24:55
329,1,German classification,,,,16158,18662,1,2016-03-22 15:24:55
330,1,German classification,,,,15426,18664,1,2016-03-22 15:24:55
331,1,German classification,,,,15132,18665,1,2016-03-22 15:24:55
332,1,German classification,,,,15219,18666,1,2016-03-22 15:24:55
333,1,German classification,,,,15248,18674,1,2016-03-22 15:24:55
334,1,German classification,,,,15338,18675,1,2016-03-22 15:24:55
335,1,German classification,,,,15570,18677,1,2016-03-22 15:24:55
336,1,German classification,,,,16142,18678,1,2016-03-22 15:24:55
337,1,German classification,,,,14910,18679,1,2016-03-22 15:24:55
338,1,German classification,,,,16056,18680,1,2016-03-22 15:24:55
339,1,German classification,,,,15215,18681,1,2016-03-22 15:24:55
340,1,German classification,,,,15496,18682,1,2016-03-22 15:24:55
341,1,German classification,,,,16251,18683,1,2016-03-22 15:24:55
342,1,German classification,,,,16177,18684,1,2016-03-22 15:24:55
343,1,German classification,,,,16183,18685,1,2016-03-22 15:24:55
344,1,German classification,,,,16187,18686,1,2016-03-22 15:24:55
345,1,German classification,,,,16189,18687,1,2016-03-22 15:24:55
346,1,German classification,,,,16188,18688,1,2016-03-22 15:24:55
347,1,German classification,,,,16190,18689,1,2016-03-22 15:24:55
348,1,German classification,,,,16304,18690,1,2016-03-22 15:24:55
349,1,German classification,,,,16191,18691,1,2016-03-22 15:24:55
350,1,German classification,,,,16193,18692,1,2016-03-22 15:24:55
351,1,German classification,,,,16196,18693,1,2016-03-22 15:24:55
352,1,German classification,,,,16199,18694,1,2016-03-22 15:24:55
353,1,German classification,,,,16206,18695,1,2016-03-22 15:24:55
354,1,German classification,,,,16186,18696,1,2016-03-22 15:24:55
355,1,German classification,,,,16210,18697,1,2016-03-22 15:24:55
356,1,German classification,,,,16310,18698,1,2016-03-22 15:24:55
357,1,German classification,,,,16312,18699,1,2016-03-22 15:24:55
358,1,German classification,,,,16313,18700,1,2016-03-22 15:24:55
359,1,German classification,,,,15586,18701,1,2016-03-22 15:24:55
360,1,German classification,,,,16314,18705,1,2016-03-22 15:24:55
361,1,German classification,,,,16320,18706,1,2016-03-22 15:24:55
362,1,German classification,,,,16323,18707,1,2016-03-22 15:24:55
363,1,German classification,,,,16330,18710,1,2016-03-22 15:24:55
364,1,German classification,,,,16331,18711,1,2016-03-22 15:24:55
365,1,German classification,,,,16333,18712,1,2016-03-22 15:24:55
366,1,German classification,,,,16335,18713,1,2016-03-22 15:24:55
367,1,German classification,,,,16309,18714,1,2016-03-22 15:24:55
368,1,German classification,,,,14872,18715,1,2016-03-22 15:24:55
369,1,German classification,,,,16351,18716,1,2016-03-22 15:24:55
370,1,German classification,,,,16352,18717,1,2016-03-22 15:24:55
371,1,German classification,,,,16358,18718,1,2016-03-22 15:24:55
372,1,German classification,,,,15253,18719,1,2016-03-22 15:24:55
373,1,German classification,,,,16359,18720,1,2016-03-22 15:24:55
374,1,German classification,,,,16364,18721,1,2016-03-22 15:24:55
375,1,German classification,,,,16384,18722,1,2016-03-22 15:24:55
376,1,German classification,,,,16378,18723,1,2016-03-22 15:24:55
377,1,German classification,,,,16386,18724,1,2016-03-22 15:24:55
378,1,German classification,,,,16403,18725,1,2016-03-22 15:24:55
379,1,German classification,,,,16434,18728,1,2016-03-22 15:24:55
380,1,German classification,,,,13414,18736,1,2016-03-22 15:24:55
381,1,,,,,16589,18737,1,2016-03-22 15:24:55
382,1,,,,,7885,18738,1,2016-03-22 15:24:55
383,1,German classification,,,,15094,18739,1,2016-03-22 15:24:55
384,1,Risk group (German classification),,,,3092,18740,1,2016-03-22 15:24:55
385,1,Risk group (German classification),,,,6285,18741,1,2016-03-22 15:24:55
386,1,Risk group (German classification),,,,7475,18745,1,2016-03-22 15:24:55
387,1,Risk group (German classification),,,,7641,18746,1,2016-03-22 15:24:55
388,1,Risk group (German classification),,,,3922,18747,1,2016-03-22 15:24:55
389,1,Risk group (German classification),,,,7366,18748,1,2016-03-22 15:24:55
390,1,Hazard group,,,,7308,18752,1,2016-03-22 15:24:55
391,1,Risk group (German classification),,,,7371,18753,1,2016-03-22 15:24:55
392,1,Risk group (German classification),,,,7762,18756,1,2016-03-22 15:24:55
393,1,Hazard group,,,,7315,18757,1,2016-03-22 15:24:55
394,1,Risk group (German classification),,,,3928,18758,1,2016-03-22 15:24:55
395,1,Hazard group,,,,7575,18759,1,2016-03-22 15:24:55
396,2,Risk group (German classification),,,,3082,18762,1,2016-03-22 15:24:55
397,2,Risk group (German classification),,,,6314,18763,1,2016-03-22 15:24:55
398,1,Hazard group,,,,1840,18764,1,2016-03-22 15:24:55
399,2,Risk group (German classification),,,,3107,18765,1,2016-03-22 15:24:55
400,1,Risk group (German classification),,,,7380,18766,1,2016-03-22 15:24:55
401,1,Risk group (German classification),,,,7364,18767,1,2016-03-22 15:24:55
402,1+,Hazard group,,,,1838,18768,1,2016-03-22 15:24:55
403,2,Risk group (German classification),,,,3116,18769,1,2016-03-22 15:24:55
404,2,Risk group (German classification),,,,3113,18770,1,2016-03-22 15:24:55
405,1,Risk group (German classification),,,,7299,18771,1,2016-03-22 15:24:55
406,1,Risk group (German classification),,,,7370,18772,1,2016-03-22 15:24:55
38958,1,Risk group (German classification),,,,24673,20634,1,2019-11-08 07:29:11
38957,1,Risk group (German classification),,,,295,16569,1,2019-11-08 07:29:11
38956,1,Risk group (German classification),,,,17380,17429,1,2019-11-08 07:29:11
38955,1,Risk group (German classification),,,,16486,17336,1,2019-11-08 07:29:11
38954,1,Risk group (German classification),,,,16485,16602,1,2019-11-08 07:29:11
38953,1,Risk group (German classification),,,,14089,15531,1,2019-11-08 07:29:11
38952,1,Risk group (German classification),,,,13646,18221,1,2019-11-08 07:29:11
38951,1,Risk group (German classification),,,,13645,16456,1,2019-11-08 07:29:11
38950,1,Risk group (German classification),,,,11659,16677,1,2019-11-08 07:29:11
38949,1,Risk group (German classification),,,,22940,19127,1,2019-11-08 07:29:11
38948,1,Risk group (German classification),,,,23321,19126,1,2019-11-08 07:29:11
38947,1,Risk group (German classification),,,,11241,18195,1,2019-11-08 07:29:11
38946,1,Risk group (German classification),,,,24812,21088,1,2019-11-08 07:29:11
38945,1,Risk group (German classification),,,,7214,17217,1,2019-11-08 07:29:11
38944,1,Risk group (German classification),,,,13568,7704,1,2019-11-08 07:29:11
38943,1,Risk group (German classification),,,,13567,7705,1,2019-11-08 07:29:11
38942,1,Risk group (German classification),,,,5719,16698,1,2019-11-08 07:29:11
38941,1,Risk group (German classification),,,,5583,16785,1,2019-11-08 07:29:11
429,1,Risk group (German classification),,,,2507,23,1,2018-05-31 09:20:07
38940,1,Risk group (German classification),,,,5582,18085,1,2019-11-08 07:29:11
38939,1,Risk group (German classification),,,,17039,15846,1,2019-11-08 07:29:11
38938,1,Risk group (German classification),,,,4407,16851,1,2019-11-08 07:29:11
38937,1,Risk group (German classification),,,,4406,16850,1,2019-11-08 07:29:11
38936,1,Risk group (German classification),,,,4405,16832,1,2019-11-08 07:29:11
38935,1,Risk group (German classification),,,1.0,4384,18181,1,2019-11-08 07:29:11
38934,1,Risk group (German classification),,,,132124,23914,1,2019-11-08 07:29:11
38933,1,Risk group (German classification),,,,24016,20534,1,2019-11-08 07:29:11
38932,1,Risk group (German classification),,,,4177,15709,1,2019-11-08 07:29:11
439,1,Risk group (German classification),,,,2508,33,1,2018-05-31 09:20:07
38931,1,Risk group (German classification),,,,2858,16787,1,2019-11-08 07:29:11
38930,1,Risk group (German classification),,,,1751,15993,1,2019-11-08 07:29:11
38929,1,Risk group (German classification),,,,13661,16089,1,2019-11-08 07:29:11
38928,1,Risk group (German classification),,,,11162,16346,1,2019-11-08 07:29:11
38927,1,Risk group (German classification),,,,23221,19125,1,2019-11-08 07:29:11
38926,1,Risk group (German classification),,,,2905,17264,1,2019-11-08 07:29:11
38925,1,Risk group (German classification),,,,4176,7927,1,2019-11-08 07:29:11
38924,1,Risk group (German classification),,,,17814,17529,1,2019-11-08 07:29:11
38923,2,Risk group (German classification),,,,24145,20626,1,2019-11-08 07:29:11
38922,2,Risk group (German classification),,,,6725,17947,1,2019-11-08 07:29:11
38921,2,Risk group (German classification),,,,6724,17946,1,2019-11-08 07:29:11
38920,2,Risk group (German classification),,,,6723,17945,1,2019-11-08 07:29:11
38919,2,Risk group (German classification),,,,6786,17941,1,2019-11-08 07:29:11
38918,2,Risk group (German classification),,,,6785,17940,1,2019-11-08 07:29:11
38917,2,Risk group (German classification),,,,6784,17937,1,2019-11-08 07:29:11
38916,2,Risk group (German classification),,,,6783,17936,1,2019-11-08 07:29:11
38915,2,Risk group (German classification),,,,6722,17929,1,2019-11-08 07:29:11
38914,2,Risk group (German classification),,,,6782,17928,1,2019-11-08 07:29:11
38913,2,Risk group (German classification),,,,6721,17927,1,2019-11-08 07:29:11
38912,2,Risk group (German classification),,,,6720,17911,1,2019-11-08 07:29:11
38911,2,Risk group (German classification),,,,6719,17838,1,2019-11-08 07:29:11
38910,2,Risk group (German classification),,,,6717,17835,1,2019-11-08 07:29:11
467,1,Risk group (German classification),,,,2476,61,1,2018-05-31 09:20:07
