temp,test_type,ability,temperature_range,ID_strains
25-28,optimum,positive,mesophilic,11215
25-28,optimum,positive,mesophilic,134344
25-28,optimum,positive,mesophilic,16473
25-28,optimum,positive,mesophilic,13207
25-28,optimum,positive,mesophilic,13208
25-28,optimum,positive,mesophilic,13209
25-30,optimum,positive,mesophilic,2877
25-30,optimum,positive,mesophilic,133679
25-30,optimum,positive,mesophilic,134376
25-30,optimum,positive,mesophilic,11279
25-30,optimum,positive,mesophilic,5683
25-30,optimum,positive,mesophilic,5669
25-30,optimum,positive,mesophilic,134184
25-30,optimum,positive,mesophilic,134171
25-30,optimum,positive,mesophilic,13786
25-30,optimum,positive,mesophilic,7620
25-30,optimum,positive,mesophilic,482
25-30,optimum,positive,mesophilic,6051
25-30,optimum,positive,mesophilic,6050
25-30,optimum,positive,mesophilic,24491
25-30,optimum,positive,mesophilic,10620
25-30,optimum,positive,mesophilic,134175
25-30,optimum,positive,mesophilic,11135
25-30,optimum,positive,mesophilic,134334
25-30,optimum,positive,mesophilic,17907
25-30,optimum,positive,mesophilic,2387
25-30,optimum,positive,mesophilic,490
25-30,optimum,positive,mesophilic,13639
25-30,optimum,positive,mesophilic,11126
25-30,optimum,positive,mesophilic,133579
25-30,optimum,positive,mesophilic,6080
25-30,optimum,positive,mesophilic,13166
25-30,optimum,positive,mesophilic,13395
25-30,optimum,positive,mesophilic,14352
25-30,optimum,positive,mesophilic,134242
25-30,optimum,positive,mesophilic,7141
25-30,optimum,positive,mesophilic,17514
25-30,optimum,positive,mesophilic,13857
25-30,optimum,positive,mesophilic,14114
25-30,optimum,positive,mesophilic,2461
25-30,optimum,positive,mesophilic,5740
25-30,optimum,positive,mesophilic,1674
25-30,optimum,positive,mesophilic,11332
25-30,optimum,positive,mesophilic,11333
25-30,optimum,positive,mesophilic,16474
25-30,optimum,positive,mesophilic,16472
25-30,optimum,positive,mesophilic,7427
25-30,optimum,positive,mesophilic,134267
25-30,optimum,positive,mesophilic,14351
25-30,optimum,positive,mesophilic,130527
25-30,optimum,positive,mesophilic,133655
25-30,optimum,positive,mesophilic,7847
25-30,optimum,positive,mesophilic,134080
25-30,optimum,positive,mesophilic,134079
25-30,optimum,positive,mesophilic,134081
25-30,optimum,positive,mesophilic,134082
25-30,optimum,positive,mesophilic,134226
25-30,optimum,positive,mesophilic,134168
25-30,optimum,positive,mesophilic,5372
25-30,optimum,positive,mesophilic,16585
25-30,optimum,positive,mesophilic,16584
25-30,optimum,positive,mesophilic,7358
25-30,optimum,positive,mesophilic,16447
25-30,optimum,positive,mesophilic,134167
25-30,optimum,positive,mesophilic,1968
25-30,optimum,positive,mesophilic,134259
25-30,optimum,positive,mesophilic,134077
25-30,optimum,positive,mesophilic,16914
25-30,optimum,positive,mesophilic,7856
25-30,optimum,positive,mesophilic,2472
25-30,optimum,positive,mesophilic,17873
25-30,optimum,positive,mesophilic,134078
25-30,optimum,positive,mesophilic,14286
25-30,optimum,positive,mesophilic,7282
25-30,optimum,positive,mesophilic,8046
25-30,optimum,positive,mesophilic,7795
25-30,optimum,positive,mesophilic,348
25-30,optimum,positive,mesophilic,3919
25-30,optimum,positive,mesophilic,11442
25-30,optimum,positive,mesophilic,23225
25-30,optimum,positive,mesophilic,24182
25-30,optimum,positive,mesophilic,17711
25-30,optimum,positive,mesophilic,17927
25-30,optimum,positive,mesophilic,23157
25-30,optimum,positive,mesophilic,130450
25-32,optimum,positive,mesophilic,134180
25-35,optimum,positive,mesophilic,6049
25-35,optimum,positive,mesophilic,133673
25-35,optimum,positive,mesophilic,2349
25-35,optimum,positive,mesophilic,10526
25-35,optimum,positive,mesophilic,12581
25-37,optimum,positive,mesophilic,133491
25-37,optimum,positive,mesophilic,133493
25-37,optimum,positive,mesophilic,13272
25-37,optimum,positive,mesophilic,14246
25-37,optimum,positive,mesophilic,6646
25-37,optimum,positive,mesophilic,24609
25.5,optimum,positive,mesophilic,10515
25.5,optimum,positive,mesophilic,5615
25.5,optimum,positive,mesophilic,5166
25.5,optimum,positive,mesophilic,14138
25.5,optimum,positive,mesophilic,23150
25.5,optimum,positive,mesophilic,22899
26-28,optimum,positive,mesophilic,133614
26-30,optimum,positive,mesophilic,13835
26-32,optimum,positive,mesophilic,134186
26-34,optimum,positive,mesophilic,11365
26.5,optimum,positive,mesophilic,133738
26.5,optimum,positive,mesophilic,17918
26.5,optimum,positive,mesophilic,133478
26.5,optimum,positive,mesophilic,23240
26.5,optimum,positive,mesophilic,8187
26.5,optimum,positive,mesophilic,133529
26.5,optimum,positive,mesophilic,6776
26.5,optimum,positive,mesophilic,23832
26.5,optimum,positive,mesophilic,133721
26.5,optimum,positive,mesophilic,23241
26.5,optimum,positive,mesophilic,14259
26.5,optimum,positive,mesophilic,130841
26.5,optimum,positive,mesophilic,13660
26.5,optimum,positive,mesophilic,134091
26.5,optimum,positive,mesophilic,10451
26.5,optimum,positive,mesophilic,23028
26.5,optimum,positive,mesophilic,17519
26.5,optimum,positive,mesophilic,134220
26.5,optimum,positive,mesophilic,17913
26.5,optimum,positive,mesophilic,17916
26.5,optimum,positive,mesophilic,13162
26.5,optimum,positive,mesophilic,17492
26.5,optimum,positive,mesophilic,14861
26.5,optimum,positive,mesophilic,134026
26.5,optimum,positive,mesophilic,24346
26.5,optimum,positive,mesophilic,7183
26.5,optimum,positive,mesophilic,24023
26.5,optimum,positive,mesophilic,14862
26.5,optimum,positive,mesophilic,3837
26.5,optimum,positive,mesophilic,14863
26.5,optimum,positive,mesophilic,24173
26.5,optimum,positive,mesophilic,24030
26.5,optimum,positive,mesophilic,24762
26.5,optimum,positive,mesophilic,133431
26.5,optimum,positive,mesophilic,17661
26.5,optimum,positive,mesophilic,23182
26.5,optimum,positive,mesophilic,24008
26.5,optimum,positive,mesophilic,12619
26.5,optimum,positive,mesophilic,134027
26.5,optimum,positive,mesophilic,24483
26.5,optimum,positive,mesophilic,134045
26.5,optimum,positive,mesophilic,5586
26.5,optimum,positive,mesophilic,14248
26.5,optimum,positive,mesophilic,133480
27-29,optimum,positive,mesophilic,13731
27-30,optimum,positive,mesophilic,13829
