ID_oxygen_tolerance,oxygen_tol,ID_strains
1751,aerobe,6045
1752,aerobe,6046
1753,aerobe,6096
1754,microaerophile,6097
1755,microaerophile,6098
1757,microaerophile,6101
1758,microaerophile,6103
1759,microaerophile,6104
1760,anaerobe,6107
1761,anaerobe,6108
1762,anaerobe,6109
1763,microaerophile,6110
1764,microaerophile,6111
1765,anaerobe,6112
1766,anaerobe,6113
1767,microaerophile,6114
1768,anaerobe,6115
1769,anaerobe,6116
1770,anaerobe,6117
1772,anaerobe,6118
1774,anaerobe,6119
1775,anaerobe,6121
1776,anaerobe,6122
1778,anaerobe,6123
1779,anaerobe,6124
1780,aerobe,6138
1781,anaerobe,6138
1782,"facultative anaerobe",6141
1783,"facultative anaerobe",6142
1784,anaerobe,6143
1785,"facultative anaerobe",6151
1786,microaerophile,6152
1787,anaerobe,6158
1788,anaerobe,6159
1789,anaerobe,6160
1790,anaerobe,6161
1791,anaerobe,6162
1792,anaerobe,6163
1793,aerobe,6165
1794,anaerobe,6187
1795,anaerobe,6188
1796,anaerobe,6189
1797,anaerobe,6190
1798,anaerobe,6192
1799,anaerobe,6193
1800,anaerobe,6194
1801,anaerobe,6195
1803,anaerobe,6338
1804,anaerobe,6339
1805,anaerobe,6340
1806,anaerobe,6341
1807,anaerobe,6342
1808,anaerobe,6343
1809,anaerobe,6344
1810,anaerobe,6345
1811,anaerobe,6346
1812,anaerobe,6347
1813,anaerobe,6348
1814,anaerobe,6349
1815,anaerobe,6350
1816,anaerobe,6351
1817,anaerobe,6353
1818,anaerobe,6354
1819,anaerobe,6355
1821,anaerobe,6356
1822,anaerobe,6357
1823,anaerobe,6358
1824,anaerobe,6359
1826,anaerobe,6360
1827,anaerobe,6361
1828,anaerobe,6362
1829,anaerobe,6363
1830,anaerobe,6364
1831,anaerobe,6365
1832,anaerobe,6367
1833,anaerobe,6368
1834,anaerobe,6369
1835,anaerobe,6370
1836,anaerobe,6371
1837,anaerobe,6372
1838,anaerobe,6373
1839,anaerobe,6374
1840,anaerobe,6375
1841,anaerobe,6376
1842,anaerobe,6377
1843,anaerobe,6378
1844,microaerophile,6379
1845,anaerobe,6382
1846,microaerophile,6382
1847,microaerophile,6383
1848,microaerophile,6384
1849,microaerophile,6396
1850,microaerophile,6397
1851,microaerophile,6398
1852,microaerophile,6399
1853,anaerobe,6404
1854,anaerobe,6405
1855,microaerophile,6405
1856,anaerobe,6406
1857,microaerophile,6406
1858,anaerobe,6407
