ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains
28776,urease,+,3.5.1.5,NULL,NULL,140745
28777,protease,+,NULL,NULL,NULL,140745
28778,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140745
28779,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140745
28780,"valine arylamidase",+,NULL,NULL,NULL,140745
28781,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140745
28782,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,140745
28783,trypsin,+,3.4.21.4,NULL,NULL,140745
28784,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140745
28785,alpha-galactosidase,+,3.2.1.22,NULL,NULL,140745
28786,beta-galactosidase,+,3.2.1.23,NULL,NULL,140745
28787,beta-glucuronidase,+,3.2.1.31,NULL,NULL,140745
28788,alpha-glucosidase,+,3.2.1.20,NULL,NULL,140745
28789,beta-glucosidase,+,3.2.1.21,NULL,NULL,140745
28790,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,140745
28791,alpha-fucosidase,+,3.2.1.51,NULL,NULL,140745
28792,catalase,+,1.11.1.6,NULL,NULL,140745
28793,"lipase (C 14)",-,NULL,NULL,NULL,140745
28794,alpha-mannosidase,-,3.2.1.24,NULL,NULL,140745
28795,urease,+,3.5.1.5,NULL,NULL,140746
28796,beta-galactosidase,+,3.2.1.23,NULL,NULL,140746
28797,gelatinase,+,NULL,NULL,NULL,140746
28798,catalase,+,1.11.1.6,NULL,NULL,140746
28799,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140746
28800,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140746
28801,trypsin,-,3.4.21.4,NULL,NULL,140746
28802,alpha-glucosidase,-,3.2.1.20,NULL,NULL,140746
28803,alpha-galactosidase,-,3.2.1.22,NULL,NULL,140746
28804,"cystine arylamidase",-,3.4.11.3,NULL,NULL,140746
28805,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140746
28806,"valine arylamidase",+,NULL,NULL,NULL,140746
28807,beta-glucosidase,+,3.2.1.21,NULL,NULL,140746
28808,"lipase (C 14)",+/-,NULL,NULL,NULL,140746
28809,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,140747
28810,catalase,-,1.11.1.6,NULL,NULL,140747
28811,lecithinase,-,NULL,NULL,NULL,140747
28812,"lipase (C 14)",-,NULL,NULL,NULL,140747
28813,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140748
28814,catalase,-,1.11.1.6,NULL,NULL,140748
28815,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140748
28816,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140748
28817,"valine arylamidase",+,NULL,NULL,NULL,140748
28818,"acid phosphatase",+,3.1.3.2,NULL,NULL,140748
28819,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140748
28820,"esterase (C 4)",-,NULL,NULL,NULL,140748
28821,"esterase Lipase (C 8)",-,NULL,NULL,NULL,140748
28822,"lipase (C 14)",-,NULL,NULL,NULL,140748
28823,"cystine arylamidase",-,3.4.11.3,NULL,NULL,140748
28824,trypsin,-,3.4.21.4,NULL,NULL,140748
28825,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140748
28826,alpha-galactosidase,-,3.2.1.22,NULL,NULL,140748
