ID_cell_morphology,cell_len,cell_len_unit,cell_width,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains
270,0.1-0.5,µm,NULL,coccus-shaped,1,NULL,positive,1371
271,NULL,NULL,NULL,rod-shaped,1,peritrichous,positive,1373
272,1.2-2.0,µm,0.5-0.8,rod-shaped,1,peritrichous,positive,1374
273,0.8-1.0,µm,1.3-3.0,rod-shaped,1,peritrichous,positive,1375
274,0.8-2.0,µm,0.2-0.4,rod-shaped,1,peritrichous,positive,1376
275,2.0-2.2,µm,0.5-0.6,rod-shaped,1,monotrichous,positive,1377
276,0.8-3.0,µm,0.4-0.5,rod-shaped,1,peritrichous,positive,1378
277,1.5-2.5,µm,0.7-1.2,rod-shaped,1,polar,positive,1380
278,2.0-6.0,µm,0.4,rod-shaped,1,NULL,positive,1381
279,2.0-6.0,µm,0.4,rod-shaped,1,NULL,positive,1382
280,2.0-3.0,µm,0.8-1.0,rod-shaped,0,NULL,positive,1383
281,3.0-5.0,µm,0.4-0.6,rod-shaped,1,peritrichous,positive,1385
282,2.3-3.0,µm,0.6-0.9,rod-shaped,1,peritrichous,positive,1386
283,3.3-4.0,µm,0.4-0.9,rod-shaped,1,peritrichous,positive,1387
284,3.5-4.0,µm,0.6-0.9,rod-shaped,1,peritrichous,positive,1388
285,3.5-5.0,µm,0.4-0.8,rod-shaped,1,peritrichous,positive,1389
286,2.0-4.0,µm,1.0-1.2,rod-shaped,1,NULL,positive,1391
287,1.3-8.5,µm,0.6-0.8,rod-shaped,1,NULL,positive,1392
288,1.5-6.0,µm,1.0,rod-shaped,1,NULL,positive,1393
289,1.0-6.0,µm,0.5-0.7,rod-shaped,1,NULL,negative,1394
290,1.0-6.0,µm,0.5-0.7,rod-shaped,1,NULL,negative,1396
291,1.5-2.0,µm,0.5-0.7,rod-shaped,1,peritrichous,negative,1398
292,2.5-4.0,µm,0.7-0.9,rod-shaped,1,NULL,negative,1400
293,2.5-3.5,µm,0.8-1.2,rod-shaped,1,NULL,negative,1401
294,4.0-5.0,µm,0.2-0.3,rod-shaped,0,NULL,positive,1402
295,0.9-1.9,µm,0.3-0.5,rod-shaped,0,NULL,positive,1403
296,NULL,NULL,NULL,rod-shaped,1,NULL,positive,1404
297,NULL,NULL,NULL,rod-shaped,0,NULL,positive,1406
298,2.0-3.2,µm,0.4-0.6,rod-shaped,1,peritrichous,positive,1407
299,2.0-7.0,µm,0.5-0.6,rod-shaped,1,NULL,variable,1408
300,1.8-3.5,µm,0.7-1.0,rod-shaped,1,peritrichous,positive,1409
301,2.0-3.5,µm,0.6-1.0,rod-shaped,1,peritrichous,NULL,1419
302,6.0-12.0,µm,0.9-1.5,rod-shaped,1,peritrichous,positive,1422
303,3.0-7.0,µm,0.5-1.2,rod-shaped,1,peritrichous,positive,1430
304,2.0-6.0,µm,0.7-1.5,rod-shaped,NULL,NULL,positive,1433
305,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,1437
306,3.0-5.0,µm,0.5-2.0,rod-shaped,1,NULL,positive,1438
307,4.0-7.0,µm,0.6-0.8,rod-shaped,1,NULL,positive,1439
308,4.0-6.0,µm,0.5-1.0,rod-shaped,1,NULL,positive,1440
309,4.7-8.0,µm,0.9-1.3,rod-shaped,1,peritrichous,positive,1446
310,2.0-3.5,µm,0.5-0.9,rod-shaped,1,NULL,positive,1449
311,4.4-5.8,µm,1.1-1.4,rod-shaped,1,peritrichous,positive,1450
312,NULL,NULL,NULL,rod-shaped,1,peritrichous,positive,1452
313,NULL,NULL,NULL,NULL,1,NULL,positive,1459
314,2.0-5.0,µm,0.4-0.6,rod-shaped,1,peritrichous,positive,1460
315,2.0-4.5,µm,0.3-0.9,rod-shaped,1,monotrichous,positive,1461
316,4.0-8.0,µm,0.3-0.5,rod-shaped,1,peritrichous,positive,1463
317,1.0-2.2,µm,0.2-1.0,rod-shaped,1,amphitrichous,positive,1464
318,2.0-10.0,µm,0.7-0.9,rod-shaped,1,NULL,positive,1465
319,3.0-4.0,µm,0.3-0.4,rod-shaped,1,peritrichous,positive,1466
320,1.5-4.5,µm,0.7-1.0,rod-shaped,1,peritrichous,positive,1467
321,1.50-4.00,µm,0.20-1.05,rod-shaped,1,peritrichous,positive,1468
322,2.5-4.0,µm,0.3-0.5,rod-shaped,1,monotrichous,positive,1469
323,2.0-8.0,mm,0.5-0.7,rod-shaped,1,NULL,positive,1474
324,1.5-3.5,µm,0.3-0.6,rod-shaped,1,NULL,positive,1476
325,2.0-3.6,µm,0.5-0.7,rod-shaped,1,NULL,positive,1477
326,2.0-8.0,mm,0.5-0.7,rod-shaped,1,NULL,positive,1480
327,2.0-5.0,µm,0.5-0.7,rod-shaped,1,NULL,positive,1481
328,2.0-7.0,µm,0.5-0.7,rod-shaped,1,NULL,positive,1482
329,1.75,µm,0.5,rod-shaped,1,NULL,positive,1483
330,2.5-5.0,µm,0.6-0.8,rod-shaped,1,peritrichous,variable,1484
331,1.8,µm,0.26,rod-shaped,1,peritrichous,positive,1485
332,1.8-3.5,µm,0.6-0.9,rod-shaped,1,NULL,positive,1486
333,2.0-5.0,µm,0.5-0.8,rod-shaped,1,NULL,positive,1487
334,2.0-3.0,µm,0.3-0.5,rod-shaped,1,NULL,positive,1488
335,2.5-4.0,µm,0.4-0.7,rod-shaped,1,peritrichous,positive,1489
336,5.0,µm,0.5,rod-shaped,1,NULL,variable,1494
337,2.0-4-0,µm,1.0-1.2,rod-shaped,1,peritrichous,variable,1511
338,NULL,NULL,NULL,rod-shaped,1,NULL,positive,1521
339,3.0-5.0,µm,0.8-1.5,rod-shaped,1,NULL,positive,1538
340,NULL,NULL,NULL,NULL,NULL,NULL,negative,1574
341,0.5-0.8,µm,1-2,rod-shaped,NULL,NULL,negative,1634
342,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,1637
343,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,1638
344,NULL,NULL,NULL,NULL,NULL,NULL,negative,1639
345,1-2,µm,0.5,NULL,0,NULL,negative,1640
346,1-2,µm,0.5,NULL,0,NULL,negative,1641
347,1-2,µm,0.5,NULL,0,NULL,negative,1642
348,0.74,µm,0.36,rod-shaped,NULL,NULL,negative,1643
349,1.16,µm,0.43,rod-shaped,NULL,NULL,negative,1644
350,NULL,NULL,NULL,coccus-shaped,0,NULL,NULL,1652
351,2.3-2.7,µm,0.8-1.0,rod-shaped,1,polar,negative,1653
352,1.0-4.0,µm,0.3-0.6,rod-shaped,NULL,NULL,negative,1654
353,0.7-1.0,µm,0.8-1.2,coccus-shaped,0,NULL,negative,1656
354,1.8-3.1,µm,0.7-1.2,rod-shaped,0,NULL,negative,1657
355,1.2-1.5,µm,0.6-0.8,rod-shaped,0,NULL,negative,1658
356,3.25,µm,1.0,rod-shaped,0,NULL,negative,1672
357,1.2-2.5,µm,0.3-0.65,rod-shaped,0,NULL,negative,1673
358,1.2-3.1,µm,0.4-0.7,rod-shaped,NULL,NULL,positive,1680
359,3.0-6.0,µm,NULL,rod-shaped,0,NULL,positive,1723
360,2.0-5.0,µm,NULL,rod-shaped,0,NULL,positive,1726
361,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,1740
362,1.0-2.5,µm,0.5-0.8,rod-shaped,0,NULL,positive,1770
363,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,1771
364,1.4-2.0,µm,0.5-0.8,rod-shaped,1,NULL,positive,1773
365,NULL,NULL,NULL,rod-shaped,1,"monotrichous, polar",negative,1781
366,NULL,NULL,NULL,rod-shaped,0,NULL,negative,1782
367,1.4-1.6,µm,0.85,rod-shaped,1,"monotrichous, polar",negative,1786
368,1.5-2.0,µm,0.5,rod-shaped,1,"monotrichous, polar",negative,1787
369,NULL,NULL,NULL,rod-shaped,1,"monotrichous, polar",negative,1788
370,NULL,NULL,NULL,rod-shaped,1,"monotrichous, polar",negative,1789
371,NULL,NULL,NULL,rod-shaped,1,"monotrichous, polar",negative,1790
372,1.2-2.0,µm,0.6-0.8,rod-shaped,1,NULL,negative,1791
