PK_IS_link,Cat1_link,Cat2_link,Cat3_link,ID_strains,ID_origin
424,5,41.0,,196,14985
425,3,20.0,123.0,198,13690
426,4,31.0,161.0,199,2568
427,5,41.0,225.0,199,2568
428,4,31.0,161.0,200,2569
429,5,41.0,225.0,200,2569
430,4,31.0,161.0,201,2570
431,5,41.0,225.0,201,2570
432,4,36.0,189.0,202,3749
433,4,31.0,163.0,202,3749
434,5,40.0,221.0,202,3749
435,4,31.0,164.0,203,4644
436,5,43.0,251.0,203,4644
437,6,45.0,,203,4644
438,4,31.0,161.0,204,15028
439,5,40.0,209.0,204,15028
440,3,21.0,128.0,205,815
441,4,29.0,,205,815
442,5,43.0,251.0,205,815
443,3,18.0,,206,23466
444,4,29.0,149.0,206,23466
445,5,43.0,251.0,206,23466
446,3,21.0,128.0,207,816
447,4,29.0,,207,816
448,5,43.0,251.0,207,816
449,3,18.0,,208,23467
450,4,29.0,149.0,208,23467
451,5,43.0,251.0,208,23467
452,3,18.0,,209,23468
453,4,29.0,149.0,209,23468
454,5,43.0,251.0,209,23468
455,4,29.0,148.0,210,4769
456,5,44.0,253.0,210,4769
457,5,40.0,209.0,210,4769
458,3,18.0,,211,7457
459,4,31.0,160.0,211,7457
460,5,40.0,216.0,211,7457
461,4,31.0,169.0,212,7488
462,3,18.0,,212,23469
463,4,,,212,23469
464,4,29.0,,212,23469
465,5,44.0,253.0,213,2350
466,5,44.0,255.0,213,2350
467,4,29.0,,214,2351
468,6,45.0,258.0,214,2351
469,3,21.0,127.0,215,2352
470,4,31.0,160.0,216,5443
471,5,43.0,,216,5443
472,4,31.0,160.0,217,5444
473,5,43.0,,217,5444
474,4,31.0,169.0,218,6770
475,5,43.0,,218,6770
476,6,49.0,285.0,218,6770
477,3,18.0,,219,2546
478,3,22.0,,219,2546
479,3,21.0,,219,2546
480,6,45.0,258.0,219,2546
481,3,18.0,,220,7164
482,4,25.0,140.0,220,7164
483,2,13.0,,221,7293
484,4,31.0,164.0,222,7294
485,6,45.0,265.0,222,7294
486,3,18.0,,223,2112
487,5,43.0,,223,2112
488,4,29.0,,224,4578
489,6,45.0,258.0,224,4578
490,4,29.0,,225,4579
491,6,45.0,265.0,225,4579
492,3,21.0,128.0,226,4776
493,4,29.0,,226,4776
494,5,43.0,251.0,226,4776
495,3,18.0,121.0,227,12895
496,4,31.0,169.0,227,12895
497,5,40.0,208.0,227,12895
498,1,5.0,19.0,228,14375
499,3,18.0,,229,4748
500,4,29.0,148.0,229,4748
501,5,40.0,214.0,229,4748
502,6,45.0,258.0,229,4748
503,4,31.0,164.0,230,4717
504,5,43.0,251.0,230,4717
505,6,45.0,,230,4717
506,3,18.0,,231,2113
507,3,21.0,127.0,231,2113
508,3,18.0,,232,2114
509,3,21.0,127.0,232,2114
510,3,18.0,,233,2115
511,5,43.0,,233,2115
512,4,31.0,160.0,234,4746
513,5,40.0,214.0,234,4746
514,4,29.0,,235,4716
515,5,44.0,256.0,235,4716
516,1,5.0,19.0,236,14384
517,1,8.0,47.0,237,7649
518,1,7.0,29.0,239,7587
519,6,45.0,261.0,239,7587
520,2,14.0,89.0,240,7588
521,6,45.0,261.0,241,7648
522,1,7.0,26.0,242,1254
523,1,10.0,,242,1254
524,4,27.0,,242,1254
525,1,7.0,29.0,243,7408
526,6,45.0,261.0,243,7408
527,2,14.0,89.0,244,7409
528,5,44.0,253.0,245,1255
529,2,14.0,89.0,246,1616
530,2,14.0,89.0,247,1733
531,4,29.0,,248,1617
532,6,46.0,268.0,248,1617
533,4,29.0,,249,2077
534,6,46.0,268.0,249,2077
535,4,29.0,,250,2417
536,6,46.0,268.0,250,2417
537,4,29.0,,251,2418
538,6,46.0,268.0,251,2418
539,3,18.0,118.0,253,1976
540,4,31.0,169.0,253,1976
541,3,21.0,,254,2076
542,4,29.0,,254,2076
543,6,46.0,268.0,254,2076
544,6,45.0,263.0,255,2096
545,4,25.0,137.0,256,5763
546,5,38.0,,256,5763
547,4,27.0,,257,3077
548,2,14.0,74.0,258,3078
549,4,27.0,,258,3078
550,2,14.0,,259,3480
551,3,18.0,,260,3882
552,4,27.0,,260,3882
555,4,31.0,170.0,261,23484
556,6,46.0,268.0,261,23484
557,4,30.0,157.0,262,5399
558,3,21.0,131.0,263,5528
559,6,46.0,268.0,263,5528
560,3,21.0,,264,5529
561,6,46.0,268.0,264,5529
562,4,27.0,,265,5692
563,1,5.0,306.0,266,5530
564,1,5.0,306.0,267,5531
565,4,27.0,,267,5531
566,2,14.0,74.0,268,5532
567,3,21.0,131.0,269,5775
568,6,46.0,268.0,269,5775
569,3,18.0,,270,5624
570,4,24.0,,270,5624
571,5,40.0,213.0,270,5624
572,2,14.0,90.0,271,5631
573,1,5.0,23.0,272,6076
574,2,14.0,,272,6076
575,4,27.0,,272,6076
576,3,22.0,,273,12828
577,4,27.0,,273,12828
578,4,27.0,142.0,274,13132
579,5,40.0,211.0,274,13132
580,6,45.0,258.0,274,13132
581,4,27.0,142.0,275,6848
582,4,27.0,,276,6579
583,1,10.0,61.0,277,14843
584,4,27.0,142.0,278,12824
587,1,8.0,48.0,279,23487
588,2,14.0,74.0,279,23487
589,4,30.0,157.0,280,6528
590,4,30.0,157.0,281,6529
591,4,27.0,142.0,282,14412
592,2,14.0,85.0,283,14379
593,4,29.0,,284,15159
594,5,44.0,256.0,284,15159
595,5,39.0,207.0,284,15159
596,3,21.0,129.0,285,14680
597,5,44.0,256.0,285,14680
598,3,21.0,,286,14678
599,4,29.0,149.0,286,14678
600,5,44.0,256.0,286,14678
601,2,14.0,,287,13585
603,2,14.0,85.0,288,23492
604,2,17.0,105.0,288,23492
605,2,14.0,81.0,289,1934
606,2,14.0,69.0,290,4567
607,2,17.0,108.0,290,4567
608,2,17.0,112.0,291,4457
609,2,14.0,81.0,292,5720
610,2,14.0,87.0,292,5720
611,1,7.0,26.0,293,15257
612,2,14.0,81.0,293,15257
613,2,14.0,87.0,293,15257
614,4,30.0,157.0,293,15257
615,2,14.0,74.0,294,2368
616,2,17.0,108.0,294,2368
617,2,14.0,74.0,295,13768
618,2,14.0,87.0,295,13768
619,7,53.0,,295,13768
620,2,14.0,72.0,296,6881
621,2,14.0,80.0,296,6881
622,2,14.0,87.0,296,6881
623,5,40.0,209.0,297,704
624,6,45.0,,297,704
625,1,9.0,51.0,298,1612
626,4,32.0,172.0,298,1612
627,2,17.0,113.0,299,3244
628,3,18.0,120.0,300,15324
629,4,29.0,149.0,300,15324
630,6,47.0,277.0,300,15324
631,3,18.0,120.0,301,15325
632,4,29.0,149.0,301,15325
633,6,47.0,277.0,301,15325
634,3,18.0,120.0,302,15326
635,3,21.0,,302,15326
636,4,29.0,148.0,302,15326
637,6,47.0,277.0,302,15326
638,3,18.0,120.0,303,15329
639,3,21.0,,303,15329
640,4,29.0,,303,15329
641,6,47.0,277.0,303,15329
642,3,18.0,120.0,304,15330
643,3,21.0,,304,15330
644,4,29.0,149.0,304,15330
645,6,47.0,277.0,304,15330
646,3,18.0,120.0,305,15332
647,3,21.0,,305,15332
648,4,29.0,,305,15332
649,6,47.0,277.0,305,15332
650,3,18.0,120.0,306,15333
651,3,21.0,,306,15333
652,4,29.0,,306,15333
653,6,47.0,277.0,306,15333
654,3,18.0,120.0,307,15334
655,3,21.0,,307,15334
656,4,29.0,149.0,307,15334
657,6,47.0,277.0,307,15334
658,3,18.0,120.0,308,15346
659,3,21.0,,308,15346
660,4,29.0,149.0,308,15346
661,6,47.0,277.0,308,15346
662,2,17.0,113.0,309,166
663,1,7.0,29.0,311,7590
664,2,16.0,,311,7590
665,2,17.0,113.0,312,7626
666,1,10.0,61.0,313,13097
667,1,10.0,65.0,313,13097
668,2,17.0,113.0,315,13817
669,2,17.0,113.0,317,3243
671,3,21.0,323.0,320,2682
672,5,41.0,,320,2682
673,2,17.0,113.0,321,3087
674,4,29.0,,322,14569
675,5,44.0,256.0,322,14569
