ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
986,+,-,-,+,-,+,-,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,+,+,+,+,-,-,144809,48527,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
987,+,-,-,+,-,+,-,-,-,+,+,+,-,+,-,-,+,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,144810,48528,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
988,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,+,-,-,+,+,-,-,144811,48529,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
989,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,-,+,+,+,+,+,-,-,+,-,+,+,+,-,-,144812,48530,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
990,+,-,-,+,-,+,+,-,-,+,+,+,-,+,-,-,+,-,+,+,+,+,-,-,-,+,-,+,+,+,-,-,144813,48531,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
991,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,-,+,+,+,-,+,+,-,-,-,+,-,-,+,-,+,-,144815,48533,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
992,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,-,-,+,+,+,+,-,-,-,+,+,-,+,-,-,-,144816,48534,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
993,+,+,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,+,-,-,+,+,+,+,+,-,-,144818,48536,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
994,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144820,48538,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
995,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,144822,48540,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
996,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,144823,48541,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
997,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144825,48543,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
998,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,144829,48548,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
999,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,+,-,-,-,144830,48549,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1000,+,-,+,+,-,-,-,-,+,+,+,+,+,+,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,144834,48553,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1001,+,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,144835,48554,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1002,+,-,+,+,-,-,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,144836,48555,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1003,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,144840,48562,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1004,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+,+,-,+,144853,48576,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1005,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+,+,-,+,144856,48579,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1006,-,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,144860,48584,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1007,+,+,-,-,-,+,-,-,+,+,+,+,-,+,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,-,-,-,144863,48592,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1008,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,144866,48595,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1009,-,+,-,-,-,-,-,+,-,+,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,+,-,144873,48602,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1010,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,144878,48607,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1011,-,-,-,+,-,+,+,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,+,+,+,+,-,-,144879,48608,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1012,+,-,+,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,-,-,141177,44098,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1013,-,+,-,-,-,+,+,-,-,+,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,+,+,-,+,144905,48637,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1014,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144913,48645,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1015,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144915,48647,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1016,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,141536,44584,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1017,+,-,-,-,+,+,-,+,-,+,+,+,+,+,-,+,-,+,+,+,+,+,+,-,+,+,+,+,-,+,-,+,144943,48686,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1018,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,144980,48732,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
