ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
1280,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,+,+,+,+,-,-,-,-,+,147183,51320,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1281,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147193,51336,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1282,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,147196,51339,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1283,+,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,147217,51365,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1284,+,-,-,-,-,+,+,-,+,-,+,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,+,-,+,+,-,+,147228,51379,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1285,+,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,+,+,+,-,-,+,+,-,+,-,+,+,+,147247,51398,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1286,+,+,-,-,-,+,-,-,-,-,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,-,+,+,-,-,147254,51407,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1287,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,147262,51415,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1288,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,-,-,+,+,+,+,-,+,+,+,+,+,+,+,-,-,147301,51458,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1289,+,+,-,-,-,+,-,-,-,-,+,+,+,-,-,+,-,-,+,+,+,+,+,-,+,+,+,-,+,-,-,+,147305,51462,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1290,-,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+,+,147312,51469,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1291,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,147316,51473,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1292,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,147329,51486,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1293,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,147332,51489,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1294,-,-,-,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,+,+,-,+,-,-,+,+,-,-,-,-,-,-,147333,51490,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1295,-,-,+,-,-,+,+,-,+,+,+,+,+,+,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,147343,51501,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1296,-,-,+,+,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,147344,51502,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1297,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,-,+,-,147375,51545,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1298,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,147381,51551,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1299,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,147470,51646,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1300,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,-,147475,51656,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1301,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,141235,44167,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1302,+,-,+,+,-,+,+,-,-,+,+,+,-,-,-,+,-,-,+,+,+,+,+,-,+,+,+,-,+,-,-,-,147513,51694,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1303,-,-,+,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,+,-,+,147519,51700,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1304,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-,-,-,-,+,+,+,+,+,-,-,-,4363,51730,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1305,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,-,+,-,-,147547,51734,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1306,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,147557,51745,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1307,+,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+,-,+,+,-,+,147561,51749,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1308,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,-,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,147579,51767,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1309,+,-,+,-,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,147672,51872,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1310,+,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,+,+,+,+,-,-,+,+,+,-,+,-,-,-,147673,51873,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1311,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,147674,51874,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1312,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,+,-,-,-,+,147675,51875,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1313,-,+,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,-,-,-,-,-,147693,51894,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1314,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,147699,51900,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1315,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,147748,51953,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1316,+,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,147786,51995,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1317,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,147787,52001,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1318,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147789,52003,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1319,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,5060,52038,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1320,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,147821,52039,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1321,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,+,+,+,-,-,+,-,+,147880,52102,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1322,+,-,-,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,147883,52105,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1323,-,-,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,147972,52202,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1324,-,+,-,-,-,+,-,-,+,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,+,+,+,+,+,+,-,+,147976,52206,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1325,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,148001,52234,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1326,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,148002,52235,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1327,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,148028,52266,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1328,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,148029,52267,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1329,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,148038,52276,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1330,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,148050,52288,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1331,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,148052,52290,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1332,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,148056,52294,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1333,-,-,-,+,-,+,-,-,+,+,+,+,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,+,+,-,-,+,148061,52299,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1334,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,148073,52311,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1335,+,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,148074,52312,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1336,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,148142,52390,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1337,+,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,148144,52392,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1338,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,148145,52393,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1339,-,+,-,-,-,+,-,-,+,+,+,+,-,-,-,-,+,-,+,+,+,+,+,-,-,+,-,-,-,-,-,-,148146,52394,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1340,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,148149,52397,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1341,+,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,148195,52458,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1342,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,148201,52465,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1343,-,-,-,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,148222,52488,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1344,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,148254,52521,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1345,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,148255,52522,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1346,+,-,+,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,148278,52547,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1347,-,-,+,-,-,+,-,-,+,-,+,+,+,-,-,-,+,-,-,+,-,+,+,-,+,+,-,-,-,-,-,-,148287,52559,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1348,-,-,+,-,-,+,+,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,148291,52563,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1349,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,148303,52579,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1350,+,-,+,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,148343,52629,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1351,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,148360,52646,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1352,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,-,-,-,-,+,148362,52648,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1353,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,-,148365,52651,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1354,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,+,+,+,+,+,+,-,+,-,+,+,-,-,-,+,-,148367,52653,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,148373,52660,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1356,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,+,-,-,+,-,-,-,148390,52678,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1357,+,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,+,+,-,+,-,-,148408,52697,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1358,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,+,-,-,148409,52698,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1359,+,+,-,-,-,+,-,-,-,+,+,+,-,+,-,+,-,+,+,-,+,+,-,-,+,+,-,-,+,-,-,-,148432,52728,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1360,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,+,+,148449,52747,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1361,-,-,+,-,-,+,-,-,-,+,+,+,+,+,-,+,-,-,+,+,-,+,+,-,+,+,+,+,+,+,+,-,148516,52834,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1362,+,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,+,-,-,148555,52875,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1363,-,-,+,-,-,+,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,+,+,-,+,+,+,-,-,-,-,-,148557,52877,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1364,+,+,+,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,148558,52878,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1365,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,148566,52886,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1366,+,-,+,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,148576,52896,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1367,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,+,148587,52907,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1368,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,+,+,+,-,-,+,+,-,+,+,-,-,-,-,+,148588,52908,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1369,+,+,-,-,-,+,+,-,+,+,+,+,+,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,-,148610,52932,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1370,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,148723,53051,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1371,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,148737,53065,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1372,+,+,+,-,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,148738,53066,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1373,+,-,+,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,148768,53096,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1374,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,141238,44176,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1375,-,-,-,-,-,+,-,-,+,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,148876,53208,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1376,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,148931,53263,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1377,+,-,-,-,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,+,+,+,+,-,+,-,+,148933,53265,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1378,+,-,-,-,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,+,+,+,+,-,+,-,+,148934,53266,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1379,+,-,-,-,+,+,-,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,+,+,+,+,-,+,-,+,148935,53267,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1380,+,-,+,-,-,+,-,-,+,-,-,-,-,-,+,-,+,-,+,+,+,+,-,-,+,+,+,-,-,-,+,-,148937,53269,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1381,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,148949,53283,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1382,-,-,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-,-,149000,53337,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1383,-,-,-,-,-,+,-,-,+,-,+,+,+,-,+,-,-,-,+,+,-,+,+,-,+,+,+,-,-,-,-,-,149051,53390,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1384,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,141243,44181,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1385,-,+,-,-,-,-,-,+,-,-,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,-,+,-,149067,53409,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1386,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,149071,53418,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1387,+,+,-,-,-,+,-,-,-,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,-,+,+,-,+,-,-,-,149083,53430,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1388,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,149086,53433,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1389,-,-,-,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,+,149111,53460,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1390,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141244,44182,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1391,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149170,53527,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1392,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,149171,53528,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1393,-,-,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,149186,53544,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1394,-,-,-,+,-,-,-,-,+,+,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,+,+,-,+,+,-,-,149197,53557,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1395,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,+,-,-,+,-,149254,53622,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1396,-,-,+,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,149266,53635,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1397,+,-,+,-,-,+,+,-,+,-,+,+,-,-,+,-,+,-,+,+,+,+,-,-,+,-,+,-,-,+,-,-,149267,53636,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1398,-,-,+,-,-,+,-,-,-,+,+,+,+,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,-,-,149272,53641,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
