ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
64,-,+,-,-,-,-,+,-,-,+,-,,-,-,-,-,-,-,+,-,,6260,18377,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
65,-,-,-,-,-,+,+,-,+,+,-,,-,-,-,-,-,-,-,-,,7320,18378,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
66,+,-,+,-,-,-,+,-,-,+,+,,+,+,-,-,+,-,-,-,,7253,18379,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
67,-,-,-,+,-,-,+,-,-,+,+,,-,-,-,-,-,-,-,-,,7517,18380,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
68,-,+,+,+,+,+,+,-,+,+,+,,-,-,-,-,-,-,+,-,,1771,18381,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
69,-,+,+,+,-,-,+,-,-,+,-,,-,-,-,-,-,-,-,-,,7631,18382,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
70,+,+,-,+,-,+,+,-,+,+,+/-,,+,+,-,+,+,-,-,+,,18108,18383,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
71,,+,+,+,-,+,-,-,+/-,+,+,,,,,,,,-,,,7589,18384,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
72,,-,-,-,-,+,+,-,+,+,-,,,,,,,,-,,,7249,18385,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
73,-,-,-,+,-,-,-,-,-,-,-,,+,-,-,-,+,-,+,-,,7268,18387,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
74,-,-,+,-,-,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,7269,18388,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
75,,+,-,+,-,+,+,-,+,+,-,,,,,,,,+,,,7591,18389,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
76,,+,+,-,-,+,+,-,+,-,-,,,,,,,,-,,,7470,18390,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
77,,-,-,-,-,+,+,-,+,-,-,,,,,,,,-,,,7494,18391,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
78,,-,-,+/-,-,-,-,-,-,+,-,,,,,,,,-,,,7787,18392,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
79,,+,-,-,-,+,+,+,+,-,+,,,,,,,,-,,,12588,18393,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
80,,+,+,-,-,-,+,+,+,-,-,,,,,,,,-,,,7270,18395,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
81,,+,+,+,-,-,+,-,-,+,+,,,,,,,,+,,,7610,18396,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
82,,+,+,-,-,+,+,-,+,+,+,,,,,,,,-,,,7609,18397,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
83,+,+,+,-,-,+,+,+,+,+,-,,+,-,+,-,+,+,+,+,,12611,18398,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
84,,+,+,-,+,+,+,+,+,+,-,,,,,,,,+,,,7272,18399,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
85,-,-,-,+,-,-,-,-,-,+,+,,-,-,-,-,-,-,-,-,,11114,18400,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
86,+,+,-,-,-,+,+,+,+,+,-,,+,-,+,-,-,-,+,-,,7788,18401,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
87,,-,-,+,+,+,+,-,-,-,+/-,,,,,,,,+,,,7605,18402,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
88,,-,-,+,-,-,-,+,-,+,-,,,,,,,,-,,,7608,18403,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
89,,-,+,+,-,-,+,-,-,+,-,,,,,,,,+,,,11058,18405,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
90,-,-,+,-,-,+,-,+,+,+,+,,-,-,-,-,-,-,+,-,,11074,18406,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
91,-,+,-,+,-,-,-,-,-,+/-,-,,-,-,-,-,-,-,-,-,,11061,18408,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
92,-,+/-,+,-,-,-,+,-,-,+,+,,-,-,-,-,-,-,-,-,,7256,18410,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
93,-,-,-,+,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,17628,18411,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
94,-,-,-,-,-,-,-,-,-,+,-,,-,-,-,-,-,-,-,-,,7356,18412,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
95,-,+,-,-,-,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,7471,18413,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
96,-,-,+,+,-,-,+,-,-,-,-,,+,-,-,-,-,-,-,-,,7673,18415,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
97,+,-,+,-,-,-,+,-,-,-,-,,+,-,-,-,+,-,-,-,,7637,18416,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
98,-,+,+,-,+,+,+,+,+,+,+,,+,+,-,+,+,+,+,-,,2356,18417,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
99,-,-,+,-,+,+,+,+,-,-,+,,+,+,-,+,+,+,+,-,,2350,18418,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
100,+,+,+,-,+,+,+,+,+,+,+,,+,+,-,+,+,+,+,+,,7523,18419,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
101,+,-,+,-,+,+,+,+,-,+,+,,+,+,-,+,+,+,+,-,,7519,18420,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
102,+,+,-,-,+,+,-,-,-,-,+,,-,-,-,+,-,-,+,-,,7521,18421,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
103,-,+,+,-,+,+,+,-,-,+,+/-,,+,-,-,-,-,-,+,-,,7520,18422,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
104,-,+,+,-,+,+,+,+,-,+,+,,-,-,-,+,+,+,+,-,,7375,18423,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
105,-,-,-,-,-,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7376,18424,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
106,-,+,+,+,+,+,-,-,-,-,+,,-,-,-,-,-,-,+,-,,3083,18425,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
107,-,+,+,+,-,+,+,-,+,+,-,,-,-,-,-,-,-,-,-,,7265,18426,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
108,-,-,+,-,+,+,+,+,-,+,+,,-,-,-,+,-,-,+,-,,7566,18427,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
109,+,-,-,+,-,+,+,+,+,+,+,,+,-,+,-,+,+,+,+,,12583,18428,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
110,+,-,+,+,+/-,+,+,+,+,+,-,,+,+,+,+,+,+,+,+,,14038,18429,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
111,+,-,+,+,-,+,+,+,+,+/-,-,,+,-,-,+,+,-,-,-,,12621,18430,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
112,-,-,+,-,-,+,+,+,+,+,-,,-,-,-,-,-,-,-,-,,3910,18432,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
113,-,+,-,-,-,-,+,-,-,+,-,,-,-,-,-,-,-,+,-,,6248,18433,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
114,-,+,+,+,-,-,+,-,-,-,+,,-,-,-,-,-,-,-,-,,3921,18435,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
115,-,-,+,+,-,-,+,-,-,-,+,,-,-,-,-,-,-,+,-,,11109,18436,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
116,+,+,-,+,-,+,+,-,-,+,-,,+,-,-,-,+,+,+,-,,7643,18437,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
117,-,-,-,-,-,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,18103,18440,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
118,-,+,+,-,+,+,+,+,-,+,+,,+,+,-,-,-,-,-,-,,7373,18441,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
119,-,-,-,-,-,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,7377,18442,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
120,-,+,+,-,+,-,-,-,-,+,+,,-,-,+,-,-,-,+,-,,7307,18443,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
121,-,-,-,-,+,-,-,-,-,+,-,,+,-,-,-,-,-,+,-,,3108,18444,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
122,+,-,-,-,+,-,-,-,-,+,-,,-,-,-,-,-,-,-,-,,3084,18445,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
123,-,+,+,+,+,+,+,+,+,-,-,,-,-,-,-,-,-,-,-,,7317,18446,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
124,-,+,+,-,+,+,+,-,-,-,+/-,,-,+,-,+,-,-,-,-,,7531,18447,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
125,+,-,+,+,-,+,+,+,+,-,-,,+,+,+,+,+,+,+,+,,2378,18449,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
126,-,-,-,-,-,-,+,-,+,+,+,,-,-,-,-,-,-,-,-,,7369,18450,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
127,+,+,+,-,-,-,+,-,-,-,-,,+,+,-,-,-,-,+,-,,3102,18451,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
128,+,+,+,-,+,+,+,-,-,+,+,,-,-,-,+,+,-,+,-,,7568,18453,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
129,-,-,-,+,-,-,-,-,-,+,-,,-,-,-,-,-,-,-,-,,3105,18454,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
130,-,+,+,-,+,+,-,-,-,+,+,,-,-,-,+,+,-,+,-,,1834,18455,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
131,-,-,-,+,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,3123,18456,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
132,+,-,-,+,-,-,+,-,+,-,-,,+,+,-,-,-,-,+,-,,3131,18458,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
133,+,-,-,-,-,-,+,-,+,+,-,,+,-,-,-,+,-,-,-,,3101,18459,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
134,-,+,+,-,+,-,-,-,-,-,-,,-,-,-,-,-,+,-,-,,2385,18460,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
135,-,-,+,+,+/-,+,-,-,-,+,+,,-,-,-,-,-,-,-,-,,13315,18482,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
136,-,-,-,-,-,+,+,-,-,+,-,,-,-,-,-,-,-,+,-,,10998,18483,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
137,-,-,+,+,-,+,+,-,+,+,-,,-,-,-,-,-,-,+,-,,10763,18493,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
138,-,-,+,-,-,-,+,-,+,-,+,,-,-,-,-,-,-,+,-,,6273,18498,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
139,-,-,+,+,-,-,+,-,-,-,-,,-,-,-,-,-,-,+,-,,6275,18499,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
140,-,-,+,-,-,-,+,-,+/-,+,+,,-,-,-,-,-,-,-,-,,7252,18500,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
141,-,-,-,-,-,-,-,-,-,+,+,,-,-,-,-,-,-,-,-,,7408,18501,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
142,-,-,+,+,-,+,+,-,+,-,-,,-,-,-,-,-,-,+,-,,12613,18503,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
143,-,+,-,+,-,-,+,-,+,+,+,,-,-,-,-,-,-,+,-,,7585,18506,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
144,-,+,+,-,-,-,-,-,-,+,-,,-,-,-,-,-,-,-,-,,7583,18507,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
145,,+,+,+,-,-,-,-,+,+,-,,,,,,,,+,,,7329,18508,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
146,-,-,-,+,+,+,+,-,+,-,-,,-,-,-,-,-,-,-,-,,7473,18509,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
147,-,-,-,-,-,-,+,-,+,+,-,,-,-,-,-,-,-,+,-,,6298,18510,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
148,+,-,-,-,-,-,+,-,+,+,-,,+,+,-,-,+,-,+,-,,7412,18511,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
149,-,-,-,+,-,-,-,-,+,+,-,,-,-,-,-,-,-,-,-,,7248,18512,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
150,+,-,-,+,-,+,+,-,+,+,-,,+,+,-,-,+,-,-,+,,18107,18514,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
151,-,-,+,-,-,+,+,+,+,+,-,,-,-,-,-,-,-,+,-,,3913,18517,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
152,-,-,-,-,-,+,+,-,+/-,-,-,,-,-,-,-,-,-,-,-,,7266,18518,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
153,,+,+,-,-,+,+,-,+,+/-,-,,,,,,,,-,,,7468,18519,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
154,,+,+,-,-,+,+,-,-,+/-,-,,,,,,,,-,,,7469,18520,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
155,,+,+,+,-,-,-,-,+,+,-,,,,,,,,+,,,7592,18521,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
156,,-,+,-,-,-,+,-,+,-,+,,,,,,,,-,,,6283,18522,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
157,,+,-,-,-,+,+,-,+/-,+,+,,,,,,,,+,,,7597,18298,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
158,,+,+,+,-,+,+,+,+,+,-,,,,,,,,-,,,11069,18523,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
159,,+,+,-,-,+,+,+,+,-,+,,,,,,,,+,,,6315,18524,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
160,-,-,-,+,-,-,+,-,+,-,-,,-,-,-,-,-,-,-,-,,10727,18597,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
