ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
1665,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,153941,59291,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1666,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,153942,59292,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1667,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+,-,+,153943,59293,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1668,-,+,+,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,153945,59295,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1669,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,153946,59296,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1670,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,153947,59297,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1671,-,+,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,153948,59298,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1672,-,+,+,+,-,+,+,+,+,-,-,-,,-,+,+,+,+,+,-,+,141723,44848,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1673,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154019,59398,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1674,+,+,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,+,154026,59407,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1675,-,+,-,+,-,+,+,-,+,-,+,-,+,+,-,+,+,-,+,+,+,154027,59408,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1676,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154055,59441,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1677,-,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154057,59443,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1678,-,+,-,+,-,+,+,+,+,-,-,-,+,-,+,+,+,+,+,-,-,7406,59517,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1679,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154100,59524,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1680,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,+,154131,59569,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1681,+,+,-,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-,+,-,+,154134,59572,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1682,+,+,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,154171,59620,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1683,-,+,-,-,-,+,+,+,+,-,+,-,+,-,+,+,+,-,+,-,+,154180,59629,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1684,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,154188,59637,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1685,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,154202,59652,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1686,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,154259,59725,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1687,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154263,59730,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1688,-,+,+,+,-,-,-,+,+,-,-,-,+,+,-,-,+,-,+,-,+,154324,59797,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1689,+,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,-,-,+,-,+,154355,59836,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1690,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,154370,59854,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1691,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154381,59865,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1692,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154386,59873,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1693,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,154387,59874,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1694,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154395,59884,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1695,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154400,59889,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1696,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154401,59890,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1697,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,154419,59917,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1698,-,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,22984,65638,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1699,+,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154481,60013,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1700,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,-,+,154495,60043,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1701,-,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154505,60086,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1702,+,+,-,+,-,-,+,-,-,+,+,-,+,-,-,-,+,+,+,-,+,154526,60108,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1703,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,154531,60116,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1704,-,-,+,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,-,+,154557,60166,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1705,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154560,60170,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1706,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154578,60189,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1707,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154579,60190,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1708,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154580,60191,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1709,+,+,-,+,-,-,+,-,+,-,-,-,+,+,-,-,+,-,+,-,+,154581,60192,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1710,+,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154582,60193,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1711,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,154599,60224,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1712,+,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,154667,60328,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1713,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,+,-,+,-,+,154678,60341,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1714,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,154687,60352,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1715,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,154688,60353,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1716,-,-,+,+,-,+,+,+,+,-,-,-,+,+,-,-,+,+,+,-,+,154691,60356,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1717,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,154708,60377,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1718,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,4252,60411,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1719,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154718,60414,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1720,+,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154788,60494,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1721,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,154807,60518,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1722,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,154808,60519,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1723,-,+,-,+,-,+,+,+,+,-,+,-,+,-,-,-,-,-,+,-,+,154848,60566,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1724,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,154850,60569,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1725,-,+,-,+,-,+,+,-,+,+,+,-,+,+,-,+,+,-,+,+,+,18118,60607,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1726,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,154885,60637,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1727,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,+,154889,60641,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1728,+,+,+,+,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,-,+,154890,60642,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1729,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,154924,60707,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1730,+,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154925,60708,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1731,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,154948,60747,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1732,+,+,-,-,-,+,+,-,+,+,+,-,+,-,-,-,+,+,+,-,+,154951,60751,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1733,+,+,+,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,154956,60767,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1734,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,154973,60788,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1735,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154980,60796,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1736,+,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,154984,60804,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1737,+,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,155049,60900,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1738,+,-,+,+,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,155060,60923,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1739,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,155092,60967,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1740,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,155106,60990,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1741,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,155109,60993,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1742,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,155114,60998,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1743,+,+,+,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,155169,61063,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1744,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,155216,61136,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1745,-,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,155244,61178,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1746,-,-,-,+,-,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,+,155246,61180,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1747,+,+,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,+,+,+,+,155289,61245,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1748,-,+,+,+,-,+,+,+,+,-,+,-,+,+,-,+,+,-,+,-,+,155294,61251,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1749,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,155295,61252,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1750,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,155334,61299,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1751,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,+,-,+,155344,61311,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1752,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,155376,61359,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1753,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,+,155377,61360,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1754,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,155392,61377,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1755,-,+,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,155444,61454,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1756,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,155445,61455,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1757,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,155447,61457,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1758,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,155448,61458,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1759,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,+,155450,61460,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1760,+,-,-,+,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,-,+,155451,61461,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1761,+,+,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,155515,61538,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1762,+,+,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,155516,61540,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1763,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,+,155537,61564,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1764,+,+,+,+,-,+,+,+,+,-,-,-,+,+,+,-,+,+,+,+,+,2350,61575,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1765,-,-,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,7369,61577,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1766,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,7770,61581,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1767,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,155544,61585,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1768,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,155550,61599,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1769,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,155576,61629,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1770,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,+,155600,61661,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1771,-,+,-,-,-,+,+,+,+,-,-,-,,+,-,-,+,+,+,+,-,141735,44864,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1772,+,-,-,+,-,-,+,-,-,-,-,-,,+,-,-,+,-,-,+,+,141736,44865,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1773,-,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,155646,61726,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1774,-,-,-,-,-,-,+,-,-,-,-,-,,+,-,-,+,-,-,-,+,141738,44867,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1775,-,-,+,+,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,-,+,155688,61795,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1776,-,-,-,+,-,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,+,155701,61810,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1777,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,155704,61813,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1778,-,-,+,+,-,+,+,+,+,-,-,-,+,+,+,-,+,+,+,-,+,155711,61821,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1779,-,+,-,-,-,+,-,-,+,-,-,-,,-,-,-,+,-,+,-,-,6404,44877,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1780,+,+,-,-,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,-,-,155744,61856,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1781,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,155882,62007,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1782,-,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,+,155902,62033,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1783,-,+,+,+,-,-,+,-,-,+,+,-,-,-,-,-,+,-,+,-,+,155932,62071,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1784,-,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,+,-,+,-,+,155951,62095,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1785,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,155956,62104,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1786,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,155958,62108,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1787,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,155971,62122,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1788,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,155972,62123,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1789,-,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,7760,62139,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1790,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,3240,62141,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1791,+,+,-,+,-,-,-,-,+,-,-,-,+,+,-,-,+,-,+,-,+,155980,62147,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1792,+,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,+,-,+,156041,62229,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1793,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,+,156058,62251,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1794,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,156095,62290,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1795,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,156105,62301,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1796,-,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,156116,62312,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1797,-,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,156126,62323,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1798,-,-,+,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,156196,62403,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1799,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,+,156284,62521,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1800,-,-,+,+,-,+,+,+,+,-,-,-,+,+,+,-,+,+,+,-,+,156304,62543,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1801,+,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,156325,62564,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1802,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,+,-,+,-,+,156359,62604,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1803,+,-,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,+,156373,62620,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1804,+,-,-,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+,156389,62641,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1805,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,156398,62655,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1806,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,156420,62681,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1807,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,156432,62699,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1808,+,+,+,+,-,+,+,+,+,-,+,-,+,+,+,-,+,-,+,+,+,156459,62737,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1809,+,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,+,-,+,24108,65623,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1810,+,-,+,+,-,+,+,+,-,-,+,-,,+,-,-,-,-,-,-,+,133242,44892,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1811,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,156698,63100,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
1812,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,156742,63155,1,2019-11-19 10:04:39,2019-11-19 09:04:39,,2019-11-19 09:04:39
