ID_pigmentation,pigment_name,pigment_color,pigment_production,ID_strains,ID_reference,manual_annotation,last_change
56,,yellow,1,1771,23156,1,2017-01-20 11:51:10
57,Bacteriochlorophyll a,,1,1801,23326,1,2017-01-20 11:51:10
58,"carotenoids Rhodopin, Rhodopinal, Lycopene, Rhodopinol, Lycopenal, Rhodopinal glucoside, Lycopenal glucoside",,1,1801,23326,1,2017-01-20 11:51:10
59,,yellow,1,1986,23365,1,2017-01-20 11:51:10
60,,yellow,1,1987,23365,1,2017-01-20 11:51:10
61,,yellow,1,1989,23366,1,2017-01-20 11:51:10
62,,yellow or yellow-purple,1,1990,23366,1,2017-01-20 11:51:10
63,no pigments,,1,1993,23159,1,2017-01-20 11:51:10
64,no pigments,,1,2076,23163,1,2017-01-20 11:51:10
65,no pigments,,1,2079,23164,1,2017-01-20 11:51:10
66,no pigments,,1,2080,23165,1,2017-01-20 11:51:10
67,no pigments,,1,2081,23166,1,2017-01-20 11:51:10
68,,greenish yellow non-fluorescent,1,2339,23073,1,2017-01-20 11:51:10
69,,nondiffusible yellow,1,2965,23086,1,2017-01-20 11:51:10
70,,nondiffusible yellow,1,2966,23086,1,2017-01-20 11:51:10
71,,nondiffusible yellow,1,2968,23086,1,2017-01-20 11:51:10
72,carotenoids,,1,2992,23092,1,2017-01-20 11:51:10
73,Bacteriochlorophyll c,,1,2992,23092,1,2017-01-20 11:51:10
74,,yellow,1,3180,23178,1,2017-01-20 11:51:10
75,no pigments,,1,3184,23182,1,2017-01-20 11:51:10
76,lemon-pigmented,,1,3203,23190,1,2017-01-20 11:51:10
77,,yellow,1,3206,23371,1,2017-01-20 11:51:10
78,no pigments,,1,4239,23230,1,2017-01-20 11:51:10
79,Bacteriochlorophyll a,,1,5381,23246,1,2017-01-20 11:51:10
80,carotenoids,,1,5381,23246,1,2017-01-20 11:51:10
81,Bacteriorubixanthinal,,1,5381,23246,1,2017-01-20 11:51:10
82,Erythroxanthin sulfate,,1,5381,23246,1,2017-01-20 11:51:10
83,Bacteriochlorophyll a,,1,5387,23246,1,2017-01-20 11:51:10
84,carotenoids,,1,5387,23246,1,2017-01-20 11:51:10
85,,cream,1,22931,23056,1,2017-01-20 11:51:10
86,,pink,1,5810,24981,1,2017-08-25 13:47:50
87,,pink to orange,1,5813,24981,1,2017-08-25 13:47:50
88,Flexirubin-type,,0,133125,25248,1,2017-08-25 13:47:50
89,melanin,,0,15311,25185,1,2017-08-25 13:47:50
90,,orange,1,133262,25046,1,2017-08-25 13:47:50
91,,apricot,1,5814,24981,1,2017-08-25 13:47:50
92,,white to pink to black,1,24054,24981,1,2017-08-25 13:47:50
93,Carotenoid pigments,orange–yellow,1,24046,25239,1,2017-08-25 13:47:50
94,Flexirubin-type,,0,24046,25239,1,2017-08-25 13:47:50
95,soluble Pigements,greyish yellow,1,132630,24892,1,2017-08-25 13:47:50
96,no pigments,,0,132633,24899,1,2017-08-25 13:47:50
