ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
5993,-,-,-,+,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18083,17449,1,2017-11-29 00:00:00,2017-12-05 09:30:04,1009.0,2019-11-20 06:22:51
5992,-,-,-,+,+/-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,12512,16821,1,2017-11-22 00:00:00,2017-11-22 13:15:05,1008.0,2019-11-20 06:22:51
5991,-,-,-,+,+,+/-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+/-,-,-,-,17680,7119,1,2017-11-02 00:00:00,2017-11-21 10:00:04,1007.0,2019-11-20 06:22:51
5990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,12511,16823,1,2017-10-18 00:00:00,2017-10-25 08:10:03,1006.0,2019-11-20 06:22:51
5989,-,-,-,-,-,-,+/-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,24842,1394,1,2017-10-24 00:00:00,2017-10-25 08:00:04,1005.0,2019-11-20 06:22:51
5988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,17994,1566,1,2017-09-07 00:00:00,2017-09-18 12:05:03,1003.0,2019-11-20 06:22:51
5987,-,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131527,22754,1,2017-08-29 00:00:00,2017-09-13 08:00:04,1002.0,2019-11-20 06:22:51
5986,-,-,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,131527,22754,1,2015-01-08 00:00:00,2017-09-13 08:00:03,1001.0,2019-11-20 06:22:51
5985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,131528,22755,1,2017-08-29 00:00:00,2017-09-12 07:55:03,1000.0,2019-11-20 06:22:51
5984,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,131528,22755,1,2014-12-09 00:00:00,2017-09-12 07:55:03,999.0,2019-11-20 06:22:51
5983,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,158192,64791,1,2017-09-07 00:00:00,2017-09-11 10:45:03,997.0,2019-11-20 06:22:51
5982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,5760,15948,1,2017-09-05 00:00:00,2017-09-05 13:15:03,996.0,2019-11-20 06:22:51
5981,-,-,+,+,-,+,+,+,-,+,+,+,+,-,-,-,+,-,-,+,-,-,-,+,+,+,-,+,-,1610,6977,1,2017-08-16 00:00:00,2017-08-22 10:50:03,989.0,2019-11-20 06:22:51
5980,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+/-,-,-,-,-,-,-,-,22963,18803,1,2017-08-15 00:00:00,2017-08-21 11:00:03,988.0,2019-11-20 06:22:51
5979,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,23853,20942,1,2017-07-20 00:00:00,2017-08-03 16:25:03,985.0,2019-11-20 06:22:51
5978,-,-,-,-,-,-,+,-,-,+/-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,139939,42547,1,2017-07-03 00:00:00,2017-07-20 09:50:03,982.0,2019-11-20 06:22:51
5977,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,139938,42546,1,2017-06-29 00:00:00,2017-07-20 09:45:04,981.0,2019-11-20 06:22:51
5976,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,140326,42933,1,2017-07-03 00:00:00,2017-07-06 06:45:04,980.0,2019-11-20 06:22:51
5975,-,-,-,-,-,-,+/-,-,-,+/-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,139940,42548,1,2017-07-03 00:00:00,2017-07-06 06:40:03,979.0,2019-11-20 06:22:51
5974,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,-,140245,42852,1,2016-01-25 00:00:00,2017-07-05 13:25:03,978.0,2019-11-20 06:22:51
5973,-,-,+,+,-,+,+/-,+/-,-,+,+,+,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,132467,24256,1,2017-06-28 00:00:00,2017-07-03 13:05:03,977.0,2019-11-20 06:22:51
5972,-,-,+,+,-,+,+/-,-,-,+,-,-,+,+,-,-,+,-,-,+,+/-,-,-,+/-,+,+/-,-,-,-,12519,15518,1,2017-06-26 00:00:00,2017-07-03 12:45:03,976.0,2019-11-20 06:22:51
5971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,5776,8249,1,2017-06-27 00:00:00,2017-07-03 12:25:04,975.0,2019-11-20 06:22:51
5970,-,-,+,+,-,+,+,+,+/-,+,+,+,-,+,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,132942,24730,1,2017-05-17 00:00:00,2017-06-20 08:55:03,974.0,2019-11-20 06:22:51
5969,-,-,+/-,+,+,+,-,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,+,+,-,12534,2979,1,2017-06-12 00:00:00,2017-06-13 09:15:04,973.0,2019-11-20 06:22:51
5968,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+/-,-,12547,7429,1,2017-06-12 00:00:00,2017-06-12 10:40:03,972.0,2019-11-20 06:22:51
5967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132967,24755,1,2012-09-18 00:00:00,2017-06-08 11:50:03,971.0,2019-11-20 06:22:51
5966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,132910,24698,1,2017-04-26 00:00:00,2017-05-30 11:30:03,970.0,2019-11-20 06:22:51
5965,-,-,+,+,-,+,+,-,-,+,+,+/-,-,+/-,-,+,+,-,-,+,-,-,+/-,-,+,-,-,+,-,132892,24680,1,2017-04-20 00:00:00,2017-05-30 07:45:04,969.0,2019-11-20 06:22:51
5964,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,-,+,+,-,+,+/-,+,-,+/-,+,-,+/-,+,-,1617,7844,1,2017-05-23 00:00:00,2017-05-29 09:10:04,968.0,2019-11-20 06:22:51
5963,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,5765,6013,1,2017-05-23 00:00:00,2017-05-29 08:55:03,967.0,2019-11-20 06:22:51
5962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+/-,-,+,-,-,+,-,132848,24636,1,2017-03-08 00:00:00,2017-03-27 13:35:03,963.0,2019-11-20 06:22:51
