ID_halophily,halophily,salt,salt_concentration,rgStart,rgEnd,salt_concentration_unit,ability,test_type,ID_strains,ID_reference,manual_annotation,last_change
104,,NaCl,5,5.0,5.0,%,positive,maximum,7531,18447,1,2016-08-15 08:37:37
105,,NaCl,7.5,7.5,7.5,%,positive,maximum,7533,18627,1,2016-08-15 08:37:37
106,,NaCl,7.5,7.5,7.5,%,positive,maximum,7566,18427,1,2016-08-15 08:37:37
107,,NaCl,7.5,7.5,7.5,%,positive,maximum,7568,18453,1,2016-08-15 08:37:37
108,,NaCl,0,0.0,0.0,%,positive,growth,7571,18624,1,2016-12-15 08:14:08
109,,NaCl,7.5,7.5,7.5,%,positive,maximum,7573,20200,1,2016-08-15 08:37:37
110,,NaCl,5,5.0,5.0,%,positive,maximum,7575,18759,1,2016-08-15 08:37:37
111,,NaCl,5,5.0,5.0,%,positive,maximum,7576,19535,1,2016-08-15 08:37:37
112,,NaCl,7.5,7.5,7.5,%,positive,maximum,7582,18370,1,2016-08-15 08:37:37
113,,NaCl,5,5.0,5.0,%,positive,maximum,7619,18628,1,2016-08-15 08:37:37
114,,NaCl,10,10.0,10.0,%,positive,maximum,7634,21374,1,2016-08-15 08:37:37
115,,NaCl,10,10.0,10.0,%,positive,maximum,7665,21417,1,2016-08-15 08:37:37
116,,NaCl,5,5.0,5.0,%,positive,maximum,7666,21378,1,2016-08-15 08:37:37
117,,NaCl,5,5.0,5.0,%,positive,maximum,7673,18415,1,2016-08-15 08:37:37
118,,NaCl,15,15.0,15.0,%(w/v),no,growth,7673,22934,1,2016-08-15 08:38:02
119,,NaCl,5,5.0,5.0,%,positive,maximum,7798,19538,1,2016-08-15 08:37:37
120,,NaCl,2.5,2.5,2.5,%,positive,maximum,7799,19590,1,2016-08-15 08:37:37
121,,NaCl,0,0.0,0.0,%,positive,growth,7801,19940,1,2016-12-15 08:14:08
122,,NaCl,2.5,2.5,2.5,%,positive,maximum,7802,19591,1,2016-08-15 08:37:37
123,,NaCl,2.5,2.5,2.5,%,positive,maximum,7804,19592,1,2016-08-15 08:37:37
124,,NaCl,2.5,2.5,2.5,%,positive,maximum,7808,19548,1,2016-08-15 08:37:37
125,,NaCl,2.5,2.5,2.5,%,positive,maximum,7809,19539,1,2016-08-15 08:37:37
126,,NaCl,2.5,2.5,2.5,%,positive,maximum,7812,19549,1,2016-08-15 08:37:37
127,,NaCl,2.5,2.5,2.5,%,positive,maximum,7816,20192,1,2016-08-15 08:37:37
128,,NaCl,7.5,7.5,7.5,%,positive,maximum,7818,19610,1,2016-08-15 08:37:37
129,,NaCl,2.5,2.5,2.5,%,positive,maximum,7831,19989,1,2016-08-15 08:37:37
130,,NaCl,2.5,2.5,2.5,%,positive,maximum,7834,19988,1,2016-08-15 08:37:37
131,,NaCl,2.5,2.5,2.5,%,positive,maximum,7839,19609,1,2016-08-15 08:37:37
132,,NaCl,0,0.0,0.0,%,positive,growth,7844,21401,1,2016-12-15 08:14:08
133,,NaCl,0,0.0,0.0,%,positive,growth,7848,19996,1,2016-12-15 08:14:08
134,,NaCl,5,5.0,5.0,%,positive,maximum,7852,21430,1,2016-08-15 08:37:37
135,,NaCl,0,0.0,0.0,%,positive,growth,7861,20001,1,2016-12-15 08:14:08
136,,NaCl,2.5,2.5,2.5,%,positive,maximum,7862,20100,1,2016-08-15 08:37:37
137,,NaCl,0,0.0,0.0,%,positive,growth,7863,19692,1,2016-12-15 08:14:08
138,,NaCl,0,0.0,0.0,%,positive,growth,7864,20101,1,2016-12-15 08:14:08
139,,NaCl,0,0.0,0.0,%,positive,growth,7865,20102,1,2016-12-15 08:14:08
140,,NaCl,2.5,2.5,2.5,%,positive,maximum,7866,19693,1,2016-08-15 08:37:37
141,,NaCl,0,0.0,0.0,%,positive,growth,7870,19942,1,2016-12-15 08:14:08
142,,NaCl,2.5,2.5,2.5,%,positive,maximum,7871,19958,1,2016-08-15 08:37:37
143,,NaCl,2.5,2.5,2.5,%,positive,maximum,7872,19980,1,2016-08-15 08:37:37
144,,NaCl,0,0.0,0.0,%,positive,growth,7873,19616,1,2016-12-15 08:14:08
145,,NaCl,2.5,2.5,2.5,%,positive,maximum,7874,19960,1,2016-08-15 08:37:37
146,,NaCl,2.5,2.5,2.5,%,positive,maximum,7885,18738,1,2016-08-15 08:37:37
147,,NaCl,5,5.0,5.0,%,positive,maximum,7889,19545,1,2016-08-15 08:37:37
148,,NaCl,2.5,2.5,2.5,%,positive,maximum,7893,20202,1,2016-08-15 08:37:37
149,,NaCl,2.5,2.5,2.5,%,positive,maximum,7964,19553,1,2016-08-15 08:37:37
150,,NaCl,5,5.0,5.0,%,positive,maximum,7965,19595,1,2016-08-15 08:37:37
151,,NaCl,0,0.0,0.0,%,positive,growth,7972,19959,1,2016-12-15 08:14:08
152,,NaCl,2.5,2.5,2.5,%,positive,maximum,7974,19597,1,2016-08-15 08:37:37
153,,NaCl,0,0.0,0.0,%,positive,growth,7976,19598,1,2016-12-15 08:14:08
154,,NaCl,0,0.0,0.0,%,positive,growth,7977,19611,1,2016-12-15 08:14:08
155,,NaCl,2.5,2.5,2.5,%,positive,maximum,7981,19635,1,2016-08-15 08:37:37
156,,NaCl,5,5.0,5.0,%,positive,maximum,8008,21386,1,2016-08-15 08:37:37
157,,NaCl,7.5,7.5,7.5,%,positive,maximum,8015,21389,1,2016-08-15 08:37:37
158,,NaCl,2.5,2.5,2.5,%,positive,maximum,8017,21397,1,2016-08-15 08:37:37
159,,NaCl,2.5,2.5,2.5,%,positive,maximum,8023,19930,1,2016-08-15 08:37:37
160,,NaCl,0,0.0,0.0,%,positive,growth,8028,20045,1,2016-12-15 08:14:08
161,,NaCl,5,5.0,5.0,%,positive,maximum,8031,21434,1,2016-08-15 08:37:37
162,,NaCl,0,0.0,0.0,%,positive,growth,8044,19997,1,2016-12-15 08:14:08
163,,NaCl,0,0.0,0.0,%,positive,growth,8046,21398,1,2016-12-15 08:14:08
164,,NaCl,2.5,2.5,2.5,%,positive,maximum,10542,19562,1,2016-08-15 08:37:37
165,,NaCl,5,5.0,5.0,%,positive,maximum,10548,19563,1,2016-08-15 08:37:37
166,,NaCl,7.5,7.5,7.5,%,positive,maximum,10559,19559,1,2016-08-15 08:37:37
167,,NaCl,0,0.0,0.0,%,positive,growth,10578,19990,1,2016-12-15 08:14:08
168,,NaCl,7.5,7.5,7.5,%,positive,maximum,10579,19992,1,2016-08-15 08:37:37
169,,NaCl,5,5.0,5.0,%,positive,maximum,10580,20004,1,2016-08-15 08:37:37
170,,NaCl,5,5.0,5.0,%,positive,maximum,10585,19655,1,2016-08-15 08:37:37
171,,NaCl,10,10.0,10.0,%,positive,maximum,10623,21403,1,2016-08-15 08:37:37
172,,NaCl,2.5,2.5,2.5,%,positive,maximum,10650,19585,1,2016-08-15 08:37:37
173,,NaCl,2.5,2.5,2.5,%,positive,maximum,10654,19537,1,2016-08-15 08:37:37
174,,NaCl,7.5,7.5,7.5,%,positive,maximum,10655,18491,1,2016-08-15 08:37:37
175,,NaCl,2.5,2.5,2.5,%,positive,maximum,10669,18497,1,2016-08-15 08:37:37
176,,NaCl,2.5,2.5,2.5,%,positive,maximum,10679,19561,1,2016-08-15 08:37:37
177,,NaCl,5,5.0,5.0,%,positive,maximum,10695,21423,1,2016-08-15 08:37:37
178,,NaCl,2.5,2.5,2.5,%,positive,maximum,10717,18492,1,2016-08-15 08:37:37
179,,NaCl,2.5,2.5,2.5,%,positive,maximum,10721,18485,1,2016-08-15 08:37:37
180,,NaCl,0,0.0,0.0,%,positive,growth,10725,20002,1,2016-12-15 08:14:08
181,,NaCl,0,0.0,0.0,%,positive,growth,10726,19646,1,2016-12-15 08:14:08
182,,NaCl,2.5,2.5,2.5,%,positive,maximum,10742,20062,1,2016-08-15 08:37:37
183,,NaCl,5,5.0,5.0,%,positive,maximum,10836,18486,1,2016-08-15 08:37:37
184,,NaCl,5,5.0,5.0,%,positive,maximum,10842,19790,1,2016-08-15 08:37:37
185,,NaCl,5,5.0,5.0,%,positive,maximum,10843,18439,1,2016-08-15 08:37:37
186,,NaCl,5,5.0,5.0,%,positive,maximum,10866,19935,1,2016-08-15 08:37:37
187,,NaCl,5,5.0,5.0,%,positive,maximum,10881,19681,1,2016-08-15 08:37:37
188,,NaCl,5,5.0,5.0,%,positive,maximum,10893,19567,1,2016-08-15 08:37:37
189,,NaCl,0,0.0,0.0,%,positive,growth,10927,19568,1,2016-12-15 08:14:08
190,,NaCl,0,0.0,0.0,%,positive,growth,10991,19622,1,2016-12-15 08:14:08
191,,NaCl,7.5,7.5,7.5,%,positive,maximum,10998,18483,1,2016-08-15 08:37:37
192,,NaCl,10,10.0,10.0,%,positive,maximum,11023,19998,1,2016-08-15 08:37:37
193,,NaCl,5,5.0,5.0,%,positive,maximum,11024,19999,1,2016-08-15 08:37:37
194,,NaCl,5,5.0,5.0,%,positive,maximum,11090,19541,1,2016-08-15 08:37:37
195,,NaCl,5,5.0,5.0,%,positive,maximum,11099,18452,1,2016-08-15 08:37:37
196,,NaCl,10,10.0,10.0,%,positive,maximum,11108,18359,1,2016-08-15 08:37:37
197,,NaCl,10,10.0,10.0,%,positive,maximum,11115,18611,1,2016-08-15 08:37:37
198,,NaCl,5,5.0,5.0,%,positive,maximum,11147,21353,1,2016-08-15 08:37:37
199,,NaCl,5,5.0,5.0,%,positive,maximum,11148,21372,1,2016-08-15 08:37:37
200,,NaCl,2.5,2.5,2.5,%,positive,maximum,11150,21367,1,2016-08-15 08:37:37
201,,NaCl,0,0.0,0.0,%,positive,growth,11151,21355,1,2016-12-15 08:14:08
202,,NaCl,0,0.0,0.0,%,positive,growth,11163,21369,1,2016-12-15 08:14:08
203,,NaCl,10,10.0,10.0,%,positive,maximum,11165,19819,1,2016-08-15 08:37:37
204,,NaCl,10,10.0,10.0,%,positive,maximum,11175,19434,1,2016-08-15 08:37:37
205,,NaCl,2.5,2.5,2.5,%,positive,maximum,11176,18595,1,2016-08-15 08:37:37
206,,NaCl,2.5,2.5,2.5,%,positive,maximum,11180,18489,1,2016-08-15 08:37:37
207,,NaCl,10,10.0,10.0,%,positive,maximum,11185,19966,1,2016-08-15 08:37:37
208,,NaCl,10,10.0,10.0,%,positive,maximum,11194,19634,1,2016-08-15 08:37:37
209,,NaCl,10,10.0,10.0,%,positive,maximum,11215,19667,1,2016-08-15 08:37:37
210,,NaCl,10,10.0,10.0,%,positive,maximum,11222,19880,1,2016-08-15 08:37:37
211,,NaCl,10,10.0,10.0,%,positive,maximum,11238,21425,1,2016-08-15 08:37:37
212,,NaCl,10,10.0,10.0,%,positive,maximum,11240,21426,1,2016-08-15 08:37:37
213,,NaCl,2.5,2.5,2.5,%,positive,maximum,11256,19588,1,2016-08-15 08:37:37
214,,NaCl,5,5.0,5.0,%(w/v),positive,growth,11256,22957,1,2016-08-15 08:37:37
215,,NaCl,10,10.0,10.0,%,positive,maximum,12584,19740,1,2016-08-15 08:37:37
216,,NaCl,7.5,7.5,7.5,%,positive,maximum,12586,21363,1,2016-08-15 08:37:37
217,,NaCl,7.5,7.5,7.5,%,positive,maximum,12590,21364,1,2016-08-15 08:37:37
218,,NaCl,2.5,2.5,2.5,%,positive,maximum,12591,19938,1,2016-08-15 08:37:37
219,,NaCl,5,5.0,5.0,%,positive,maximum,12612,18358,1,2016-08-15 08:37:37
220,,NaCl,0,0.0,0.0,%,positive,growth,12616,21358,1,2016-12-15 08:14:08
221,,NaCl,0,0.0,0.0,%,positive,growth,12617,21357,1,2016-12-15 08:14:08
222,,NaCl,7.5,7.5,7.5,%,positive,maximum,12629,21361,1,2016-08-15 08:37:37
223,,NaCl,5,5.0,5.0,%,positive,maximum,12672,21370,1,2016-08-15 08:37:37
224,,NaCl,5,5.0,5.0,%(w/v),positive,maximum,12800,22938,1,2016-08-15 08:37:37
225,,NaCl,0,0.0,0.0,%(w/v),positive,minimum,12800,22938,1,2016-08-15 08:37:37
226,,NaCl,10,10.0,10.0,%(w/v),no,growth,12800,22938,1,2016-08-15 08:38:02
227,,NaCl,4,4.0,4.0,%(w/v),positive,growth,12800,22939,1,2016-08-15 08:37:37
228,,NaCl,5,5.0,5.0,%(w/v),inconsistent,growth,12800,22939,1,2016-08-15 08:38:17
229,,NaCl,5,5.0,5.0,%,positive,maximum,13195,21437,1,2016-08-15 08:37:37
230,,NaCl,2.5,2.5,2.5,%,positive,maximum,13199,19639,1,2016-08-15 08:37:37
231,,NaCl,5,5.0,5.0,%,positive,maximum,13200,19640,1,2016-08-15 08:37:37
232,,NaCl,10,10.0,10.0,%,positive,maximum,13202,19641,1,2016-08-15 08:37:37
233,,NaCl,0,0.0,0.0,%,positive,growth,13203,20033,1,2016-12-15 08:14:08
234,,NaCl,2.5,2.5,2.5,%,positive,maximum,13204,19857,1,2016-08-15 08:37:37
235,,NaCl,5,5.0,5.0,%,positive,maximum,13211,19599,1,2016-08-15 08:37:37
236,,NaCl,5,5.0,5.0,%,positive,maximum,13213,19633,1,2016-08-15 08:37:37
237,,NaCl,5,5.0,5.0,%,positive,maximum,13214,19542,1,2016-08-15 08:37:37
238,,NaCl,5,5.0,5.0,%,positive,maximum,13215,19392,1,2016-08-15 08:37:37
239,,NaCl,5,5.0,5.0,%,positive,maximum,13222,19607,1,2016-08-15 08:37:37
240,,NaCl,5,5.0,5.0,%,positive,maximum,13229,19637,1,2016-08-15 08:37:37
241,,NaCl,5,5.0,5.0,%,positive,maximum,13230,20035,1,2016-08-15 08:37:37
242,,NaCl,2.5,2.5,2.5,%,positive,maximum,13231,19636,1,2016-08-15 08:37:37
