ID_cell_morphology,cell_len,rgStart_len,rgEnd_len,cell_len_unit,cell_width,rgStart_wid,rgEnd_wid,cell_width_unit,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains,ID_reference,manual_annotation,api_import,last_change
4738,,,,,,,,,,1.0,,positive,11263,29062,1,,2017-12-01 12:54:15
4739,,,,,,,,,rod-shaped,1.0,,negative,133651,29939,1,,2017-12-01 12:54:15
4740,5,5.0,5.0,µm,0.6,0.6,0.6,µm,rod-shaped,0.0,,negative,16733,30212,1,,2017-12-01 12:54:15
4741,,,,,,,,,,,,positive,11160,29289,1,,2017-12-01 12:54:15
4742,,,,,0.65,0.65,0.65,µm,coccus-shaped,0.0,,positive,14673,29110,1,,2017-12-01 12:54:15
4743,5.5,5.5,5.5,µm,0.4,0.4,0.4,µm,rod-shaped,1.0,,negative,133741,30368,1,,2017-12-01 12:54:15
4744,0.8-1,0.8,1.0,µm,0.4-0.6,0.4,0.6,µm,rod-shaped,1.0,,positive,17631,30266,1,,2017-12-01 12:54:15
4745,3.15,3.15,3.15,µm,0.5,0.5,0.5,µm,rod-shaped,1.0,,positive,11772,29004,1,,2017-12-01 12:54:15
4746,2.95,2.95,2.95,µm,0.4,0.4,0.4,µm,rod-shaped,0.0,,negative,5806,29004,1,,2017-12-01 12:54:15
4747,4,4.0,4.0,µm,0.6,0.6,0.6,µm,rod-shaped,0.0,,negative,17750,29045,1,,2017-12-01 12:54:15
4748,7,7.0,7.0,µm,0.65,0.65,0.65,µm,rod-shaped,0.0,,negative,17751,29045,1,,2017-12-01 12:54:15
4749,1.25,1.25,1.25,µm,0.5,0.5,0.5,µm,rod-shaped,1.0,,negative,133475,29115,1,,2017-12-01 12:54:15
4750,6,6.0,6.0,µm,1.5,1.5,1.5,µm,rod-shaped,1.0,,negative,17775,29319,1,,2017-12-01 12:54:15
4751,0.8-2.4,0.8,2.4,µm,0.3-0.6,0.3,0.6,µm,rod-shaped,1.0,,negative,6238,29985,1,,2017-12-01 12:54:15
4752,0.9,0.9,0.9,µm,0.45,0.45,0.45,µm,rod-shaped,0.0,,negative,133889,30779,1,,2017-12-01 12:54:15
4753,1,1.0,1.0,µm,1,1.0,1.0,µm,rod-shaped,1.0,,negative,133547,29453,1,,2017-12-01 12:54:15
4754,1.1,1.1,1.1,µm,0.4,0.4,0.4,µm,rod-shaped,0.0,,negative,133493,29187,1,,2017-12-01 12:54:15
4755,1.7,1.7,1.7,µm,0.7,0.7,0.7,µm,rod-shaped,0.0,,negative,133490,29178,1,,2017-12-01 12:54:15
4756,1.95,1.95,1.95,µm,0.45,0.45,0.45,µm,rod-shaped,1.0,gliding,negative,133461,29068,1,,2017-12-01 12:54:15
4757,3.25,3.25,3.25,µm,0.65,0.65,0.65,µm,rod-shaped,0.0,,positive,14025,29326,1,,2017-12-01 12:54:15
4758,1.45,1.45,1.45,µm,0.4,0.4,0.4,µm,rod-shaped,0.0,,negative,133460,29067,1,,2017-12-01 12:54:15
4759,2.6,2.6,2.6,µm,0.8,0.8,0.8,µm,rod-shaped,0.0,,negative,13854,29353,1,,2017-12-01 12:54:15
4760,0.9,0.9,0.9,µm,0.4,0.4,0.4,µm,rod-shaped,1.0,,negative,17788,29053,1,,2017-12-01 12:54:15
4761,2.55,2.55,2.55,µm,0.85,0.85,0.85,µm,rod-shaped,1.0,,positive,11647,29392,1,,2017-12-01 12:54:15
4762,1.75,1.75,1.75,µm,0.55,0.55,0.55,µm,rod-shaped,1.0,,,13751,29512,1,,2017-12-01 12:54:15
4763,1.75,1.75,1.75,µm,0.6,0.6,0.6,µm,rod-shaped,1.0,,,133763,30429,1,,2017-12-01 12:54:15
4764,1.0-3.0,1.0,3.0,µm,0.5,0.5,0.5,µm,rod-shaped,1.0,,negative,17624,29058,1,,2017-12-01 12:54:15
4765,1.35,1.35,1.35,µm,0.35,0.35,0.35,µm,rod-shaped,0.0,,negative,133527,29337,1,,2017-12-01 12:54:15
4766,2,2.0,2.0,µm,0.3,0.3,0.3,µm,rod-shaped,0.0,,negative,16732,29134,1,,2017-12-01 12:54:15
4767,2.15,2.15,2.15,µm,1,1.0,1.0,µm,rod-shaped,0.0,,negative,14195,29322,1,,2017-12-01 12:54:15
4768,15.65,15.65,15.65,µm,0.55,0.55,0.55,µm,rod-shaped,1.0,gliding,negative,14140,29145,1,,2017-12-01 12:54:15
4769,1.2,1.2,1.2,µm,0.53,0.53,0.53,µm,rod-shaped,1.0,,negative,13172,29099,1,,2017-12-01 12:54:15
4770,2.75,2.75,2.75,µm,0.7,0.7,0.7,µm,rod-shaped,1.0,,negative,11335,29130,1,,2017-12-01 12:54:15
4771,2.7,2.7,2.7,µm,0.75,0.75,0.75,µm,rod-shaped,1.0,,negative,11334,29130,1,,2017-12-01 12:54:15
4772,0.85,0.85,0.85,µm,0.65,0.65,0.65,µm,ovoid-shaped,,,positive,16461,29221,1,,2017-12-01 12:54:15
4773,0.75,0.75,0.75,µm,0.65,0.65,0.65,µm,,,,positive,16462,29221,1,,2017-12-01 12:54:15
4774,,,,,,,,,,,,positive,5846,31211,1,,2017-12-01 12:54:15
4775,2-6,2.0,6.0,µm,1,1.0,1.0,µm,rod-shaped,1.0,,negative,442,29144,1,,2017-12-01 12:54:15
4776,3.5,3.5,3.5,µm,0.75,0.75,0.75,µm,,0.0,,positive,2271,29280,1,,2017-12-01 12:54:15
4777,1.2-3.5,1.2,3.5,µm,0.3-0.7,0.3,0.7,µm,rod-shaped,1.0,,positive,23740,29576,1,,2017-12-01 12:54:15
4778,1.3,1.3,1.3,µm,0.85,0.85,0.85,µm,rod-shaped,0.0,,negative,133491,29185,1,,2017-12-01 12:54:15
4779,1.6,1.6,1.6,µm,0.8,0.8,0.8,µm,rod-shaped,1.0,,negative,133533,29363,1,,2017-12-01 12:54:15
4780,1.95,1.95,1.95,µm,0.85,0.85,0.85,µm,rod-shaped,1.0,,negative,3030,29123,1,,2017-12-01 12:54:15
4781,,,,,,,,,rod-shaped,1.0,,negative,133619,29796,1,,2017-12-01 12:54:15
4782,,,,,,,,,rod-shaped,0.0,,negative,17499,29611,1,,2017-12-01 12:54:15
4783,,,,,,,,,rod-shaped,,,,8581,29220,1,,2017-12-01 12:54:15
4784,1.55,1.55,1.55,µm,0.7,0.7,0.7,µm,rod-shaped,0.0,,positive,7785,29148,1,,2017-12-01 12:54:15
4785,1-2.5,1.0,2.5,µm,0.3-0.6,0.3,0.6,µm,rod-shaped,1.0,,negative,130527,29713,1,,2017-12-01 12:54:15
4786,,,,,,,,,rod-shaped,0.0,,positive,12586,29424,1,,2017-12-01 12:54:15
4787,0.5-0.6,0.5,0.6,µm,0.4-0.5,0.4,0.5,µm,rod-shaped,0.0,,positive,133534,29380,1,,2017-12-01 12:54:15
4788,5,5.0,5.0,µm,1.25,1.25,1.25,µm,rod-shaped,1.0,,positive,1297,29227,1,,2017-12-01 12:54:15
4789,2.75,2.75,2.75,µm,0.35,0.35,0.35,µm,spiral-shaped,1.0,,negative,133789,30508,1,,2017-12-01 12:54:15
4790,0.9,0.9,0.9,µm,0.4,0.4,0.4,µm,rod-shaped,0.0,,positive,1843,29171,1,,2017-12-01 12:54:15
4791,2.55,2.55,2.55,µm,1,1.0,1.0,µm,rod-shaped,0.0,,negative,5704,29135,1,,2017-12-01 12:54:15
4792,,,,,0.2,0.2,0.2,µm,rod-shaped,0.0,,positive,8031,29617,1,,2017-12-01 12:54:15
4793,5.15,5.15,5.15,µm,0.3,0.3,0.3,µm,rod-shaped,1.0,,positive,549,29431,1,,2017-12-01 12:54:15
4794,0.7-3.5,0.7,3.5,µm,0.2-0.4,0.2,0.4,µm,rod-shaped,1.0,,negative,133497,29200,1,,2017-12-01 12:54:15
4795,4.9,4.9,4.9,µm,0.55,0.55,0.55,µm,rod-shaped,1.0,,variable,1513,29194,1,,2017-12-01 12:54:15
4796,4.4,4.4,4.4,µm,0.3,0.3,0.3,µm,rod-shaped,0.0,,negative,133496,29197,1,,2017-12-01 12:54:15
4797,18,18.0,18.0,µm,0.35,0.35,0.35,µm,rod-shaped,0.0,,negative,133537,29390,1,,2017-12-01 12:54:15
4798,11,11.0,11.0,µm,0.55,0.55,0.55,µm,rod-shaped,1.0,gliding,negative,133503,29214,1,,2017-12-01 12:54:15
4799,2.5,2.5,2.5,µm,0.425,0.42,0.42,µm,rod-shaped,0.0,,negative,13849,29131,1,,2017-12-01 12:54:15
4800,1.45,1.45,1.45,µm,0.45,0.45,0.45,µm,rod-shaped,0.0,,positive,6311,29129,1,,2017-12-01 12:54:15
4801,1.5,1.5,1.5,µm,1.5,1.5,1.5,µm,ovoid-shaped,1.0,,negative,133561,29526,1,,2017-12-01 12:54:15
4802,,,,,,,,,ovoid-shaped,1.0,,negative,133592,29678,1,,2017-12-01 12:54:15
4803,,,,,1.25,1.25,1.25,µm,coccus-shaped,0.0,,negative,133566,29563,1,,2017-12-01 12:54:15
4804,,,,,,,,,ovoid-shaped,1.0,,negative,133607,29723,1,,2017-12-01 12:54:15
4805,3,3.0,3.0,µm,0.35,0.35,0.35,µm,rod-shaped,0.0,,negative,133485,29164,1,,2017-12-01 12:54:15
4806,1.9,1.9,1.9,µm,0.45,0.45,0.45,µm,rod-shaped,1.0,,negative,13176,29181,1,,2017-12-01 12:54:15
