ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains,ID_reference,manual_annotation,last_change
102,esterase (C 4),+/-,,,,3166,22911,1,2016-05-19 11:19:30
103,esterase Lipase (C 8),+,,,,3166,22911,1,2016-05-19 11:19:30
104,leucine arylamidase,+,3.4.11.1,,,3166,22911,1,2016-05-19 11:19:30
105,lipase (C 14),+,,,,3166,22911,1,2016-05-19 11:19:30
106,pyrazinamidase,-,3.5.1.B15,,,3166,22911,1,2016-05-19 11:19:30
107,pyrrolidonyl arylamidase,+,3.4.19.3,,,3166,22911,1,2016-05-19 11:19:30
108,trypsin,+/-,3.4.21.4,,,3166,22911,1,2016-05-19 11:19:30
109,valine arylamidase,-,,,,3166,22911,1,2016-05-19 11:19:30
110,urease,-,3.5.1.5,,,3166,22911,1,2016-05-19 11:19:30
111,urease,+,3.5.1.5,,,3092,22912,1,2016-05-19 11:19:30
112,catalase,-,1.11.1.6,,,1757,22917,1,2016-05-19 11:19:30
113,cytochrome oxidase,-,1.9.3.1,,,1757,22917,1,2016-05-19 11:19:30
114,urease,-,3.5.1.5,,,1757,22917,1,2016-05-19 11:19:30
115,beta-galactosidase,-,3.2.1.23,,,1419,22918,1,2016-05-19 11:19:30
116,catalase,+,1.11.1.6,,,1419,22918,1,2016-05-19 11:19:30
117,gelatinase,+,,,,1419,22918,1,2016-05-19 11:19:30
118,cytochrome oxidase,-,1.9.3.1,,,1419,22918,1,2016-05-19 11:19:30
119,catalase,+,1.11.1.6,,,40,22919,1,2016-05-19 11:19:30
120,cytochrome oxidase,-,1.9.3.1,,,40,22919,1,2016-05-19 11:19:30
121,alkaline phosphatase,-,3.1.3.1,,,6102,22920,1,2016-05-19 11:19:30
122,catalase,+,1.11.1.6,,,6102,22920,1,2016-05-19 11:19:30
123,leucine arylamidase,+/-,3.4.11.1,,,6102,22920,1,2016-05-19 11:19:30
124,cytochrome oxidase,+,1.9.3.1,,,6102,22920,1,2016-05-19 11:19:30
125,urease,+,3.5.1.5,,,6102,22920,1,2016-05-19 11:19:30
126,alpha-glucosidase,+,3.2.1.20,,,12583,22921,1,2016-05-19 11:19:30
127,arginine Dihydrolase,-,3.5.3.6,,,12583,22921,1,2016-05-19 11:19:30
128,beta-galactosidase,+,3.2.1.23,,,12583,22921,1,2016-05-19 11:19:30
129,beta-glucosidase,+,3.2.1.21,,,12583,22921,1,2016-05-19 11:19:30
130,catalase,+,1.11.1.6,,,12583,22921,1,2016-05-19 11:19:30
131,lipase (C 14),+,,,,12583,22921,1,2016-05-19 11:19:30
132,lysine decarboxylase,+,4.1.1.18,,,12583,22921,1,2016-05-19 11:19:30
133,ornithine decarboxylase,-,4.1.1.17,,,12583,22921,1,2016-05-19 11:19:30
134,cytochrome oxidase,-,1.9.3.1,,,12583,22921,1,2016-05-19 11:19:30
135,urease,-,3.5.1.5,,,12583,22921,1,2016-05-19 11:19:30
136,"L-aspartate arylamidase
",+,3.4.11.21,,,12583,22921,1,2016-05-19 11:19:30
137,urease,+,3.5.1.5,,,16741,22923,1,2016-05-19 11:19:30
138,gelatinase,-,,,,16741,22924,1,2016-05-19 11:19:30
139,gelatinase,-,,,,16741,22926,1,2016-05-19 11:19:30
140,catalase,-,1.11.1.6,,,6655,22929,1,2016-05-19 11:19:30
141,catalase,-,1.11.1.6,,,6596,22931,1,2016-05-19 11:19:30
142,alpha-galactosidase,+,3.2.1.22,,,6596,22932,1,2016-05-19 11:19:30
143,alpha-glucosidase,+,3.2.1.20,,,6596,22932,1,2016-05-19 11:19:30
144,beta-glucosidase,+,3.2.1.21,,,6596,22932,1,2016-05-19 11:19:30
145,alpha-mannosidase,+,3.2.1.24,,,6875,22933,1,2016-05-19 11:19:30
146,urease,+,3.5.1.5,,,7673,22934,1,2016-05-19 11:19:30
147,urease,-,3.5.1.5,,,7748,22934,1,2016-05-19 11:19:30
148,beta-galactosidase,-,3.2.1.23,,,11874,22935,1,2016-05-19 11:19:30
149,gelatinase,-,,,,11874,22935,1,2016-05-19 11:19:30
150,cytochrome oxidase,+,1.9.3.1,,,11874,22935,1,2016-05-19 11:19:30
151,DNase,-,,,,11874,22935,1,2016-05-19 11:19:30
152,urease,+,3.5.1.5,,,11874,22935,1,2016-05-19 11:19:30
153,arginine dihydrolase,+,3.5.3.6,,,12800,22938,1,2016-05-19 11:19:30
154,catalase,+,1.11.1.6,,,12800,22938,1,2016-05-19 11:19:30
155,cytochrome oxidase,+,1.9.3.1,,,12800,22938,1,2016-05-19 11:19:30
156,gelatinase,+,,,,12800,22938,1,2016-05-19 11:19:30
157,urease,-,3.5.1.5,,,12800,22938,1,2016-05-19 11:19:30
158,catalase,+,1.11.1.6,,,12800,22939,1,2016-05-19 11:19:30
159,gelatinase,+,,,,12800,22939,1,2016-05-19 11:19:30
160,cytochrome oxidase,+,1.9.3.1,,,12800,22939,1,2016-05-19 11:19:30
161,urease,+/-,3.5.1.5,,,12800,22939,1,2016-05-19 11:19:30
162,arginine dihydrolase,+,3.5.3.6,,,12851,22942,1,2017-12-05 14:13:15
163,gelatinase,+,,,,12851,22942,1,2017-12-05 14:13:15
164,cytochrome oxidase,+,1.9.3.1,,,12851,22942,1,2017-12-05 14:13:15
165,lysine decarboxylase,-,4.1.1.18,,,12851,22941,1,2016-05-19 11:19:30
166,catalase,+,1.11.1.6,,,12851,22941,1,2016-05-19 11:19:30
167,phenylalanine deaminase,-,4.3.1.5,,,12851,22941,1,2016-05-19 11:19:30
168,arginine dihydrolase,+,3.5.3.6,,,12871,22942,1,2016-05-19 11:19:30
169,gelatinase,-,,,,12871,22942,1,2016-05-19 11:19:30
170,cytochrome oxidase,+,1.9.3.1,,,12871,22942,1,2016-05-19 11:19:30
171,catalase,-,1.11.1.6,,,2085,22943,1,2016-05-19 11:19:30
172,cystine arylamidase,-,3.4.11.3,,,2085,22943,1,2016-05-19 11:19:30
173,esterase (C 4),+/-,,,,2085,22943,1,2016-05-19 11:19:30
174,lipase (C 14),+,,,,2085,22943,1,2016-05-19 11:19:30
175,cytochrome oxidase,-,1.9.3.1,,,2085,22943,1,2016-05-19 11:19:30
176,urease,+/-,3.5.1.5,,,2085,22943,1,2016-05-19 11:19:30
177,phosphoamidase,+/-,3.9.1.1,,,2085,22943,1,2016-05-19 11:19:30
178,alkaline phosphatase,-,3.1.3.1,,,2085,22944,1,2016-05-19 11:19:30
179,catalase,+,1.11.1.6,,,2085,22944,1,2016-05-19 11:19:30
180,cytochrome oxidase,+,1.9.3.1,,,2085,22944,1,2016-05-19 11:19:30
181,pyrrolidonyl arylamidase,+,3.4.19.3,,,2085,22944,1,2016-05-19 11:19:30
182,urease,+,3.5.1.5,,,2085,22944,1,2016-05-19 11:19:30
183,phenylalanine deaminase,+,4.3.1.5,,,2085,22944,1,2016-05-19 11:19:30
184,beta-galactosidase,-,3.2.1.23,,,5117,22945,1,2016-05-19 11:19:30
185,beta-glucuronidase,-,3.2.1.31,,,5117,22945,1,2016-05-19 11:19:30
186,catalase,+,1.11.1.6,,,5117,22945,1,2016-05-19 11:19:30
187,gelatinase,-,,,,5117,22945,1,2016-05-19 11:19:30
188,lysine decarboxylase,+,4.1.1.18,,,5117,22945,1,2016-05-19 11:19:30
189,ornithine decarboxylase,+,4.1.1.17,,,5117,22945,1,2016-05-19 11:19:30
190,cytochrome oxidase,-,1.9.3.1,,,5117,22945,1,2016-05-19 11:19:30
191,urease,-,3.5.1.5,,,5117,22945,1,2016-05-19 11:19:30
192,alpha-chymotrypsin,-,3.4.21.1,,,17532,22947,1,2016-05-19 11:19:30
193,alpha-galactosidase,-,3.2.1.22,,,17532,22947,1,2016-05-19 11:19:30
194,alpha-glucosidase,+,3.2.1.20,,,17532,22947,1,2016-05-19 11:19:30
195,beta-glucosidase,+,3.2.1.21,,,17532,22947,1,2016-05-19 11:19:30
196,esterase (C 4),+,,,,17532,22947,1,2016-05-19 11:19:30
197,gelatinase,+,,,,17532,22947,1,2016-05-19 11:19:30
198,lysine decarboxylase,+,4.1.1.18,,,17532,22947,1,2016-05-19 11:19:30
199,cytochrome oxidase,-,1.9.3.1,,,17532,22947,1,2016-05-19 11:19:30
200,valine arylamidase,-,,,,17532,22947,1,2016-05-19 11:19:30
201,DNase,+,,,,17532,22947,1,2016-05-19 11:19:30
202,acid phosphatase,-,3.1.3.2,,,17569,22949,1,2016-05-19 11:19:30
203,alkaline phosphatase,-,3.1.3.1,,,17569,22949,1,2016-05-19 11:19:30
204,arginine dihydrolase,+,3.5.3.6,,,17569,22949,1,2016-05-19 11:19:30
205,beta-glucosidase,+,3.2.1.21,,,17569,22949,1,2016-05-19 11:19:30
206,catalase,+,1.11.1.6,,,17569,22949,1,2016-05-19 11:19:30
207,esterase (C 4),+/-,,,,17569,22949,1,2016-05-19 11:19:30
208,gelatinase,+,,,,17569,22949,1,2016-05-19 11:19:30
209,leucine arylamidase,+/-,3.4.11.1,,,17569,22949,1,2016-05-19 11:19:30
210,N-acetyl-beta-glucosaminidase,-,3.2.1.52,,,17569,22949,1,2016-05-19 11:19:30
211,naphthol-AS-BI-phosphohydrolase,+/-,,,,17569,22949,1,2016-05-19 11:19:30
212,trypsin,-,3.4.21.4,,,17569,22949,1,2016-05-19 11:19:30
213,urease,+,3.5.1.5,,,17569,22949,1,2016-05-19 11:19:30
214,arginine dihydrolase,+,3.5.3.6,,,17561,22950,1,2016-05-19 11:19:30
215,beta-glucosidase,+,3.2.1.21,,,17561,22950,1,2016-05-19 11:19:30
216,catalase,+,1.11.1.6,,,17561,22950,1,2016-05-19 11:19:30
217,gelatinase,+,,,,17561,22950,1,2016-05-19 11:19:30
218,cytochrome oxidase,-,1.9.3.1,,,17561,22950,1,2016-05-19 11:19:30
219,urease,+,3.5.1.5,,,17561,22950,1,2016-05-19 11:19:30
220,pyrrolidonyl arylamidase,+,3.4.19.3,,,14758,22952,1,2016-05-19 11:19:30
221,gelatinase,-,,,,17584,22958,1,2016-05-19 11:19:30
222,catalase,+,1.11.1.6,,,78,18067,1,2016-06-01 13:08:03
223,catalase,-,1.11.1.6,,,131,4255,1,2016-06-01 13:08:03
224,catalase,+,1.11.1.6,,,132,7394,1,2016-06-01 13:08:03
225,catalase,+,1.11.1.6,,,133,8075,1,2016-06-01 13:08:03
