ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
436,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,154595,60207,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
437,-,-,+,-,-,-,-,-,+,-,-,-,+,+,+,+,+,-,+,-,+,154619,60253,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
438,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,154634,60284,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
439,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,154670,60333,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
440,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,+,154706,60375,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
441,-,-,+,+,-,+,-,-,+,-,-,-,-,+,+,-,+,+,+,-,+,154707,60376,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
442,+,-,+,-,+,+,+,-,+,+,+,-,-,-,+,-,-,-,-,-,-,154713,60384,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
443,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,154722,60419,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
444,-,-,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,154739,60436,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
445,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,+,154743,60444,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
446,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-,+,154744,60445,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
447,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,+,154745,60446,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
448,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,+,154746,60447,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
449,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,154747,60448,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
450,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,154748,60449,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
451,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,154749,60450,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
452,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,154750,60451,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
453,-,-,-,-,+,-,-,-,+,-,+,-,-,-,+,-,-,+,+,-,+,154751,60452,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
454,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,154752,60453,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
455,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,+,154753,60454,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
456,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,154754,60455,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
457,-,+,-,-,+,-,-,+,+,-,-,-,-,-,+,+,-,+,-,-,+,154755,60456,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
