ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
319,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,-,+,+,-,+,148670,52998,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
320,-,-,+,+,+,-,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,148672,53000,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
321,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,149063,53405,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
322,+,+,+,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,137682,53434,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
323,-,-,+,+,+,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-,+,149239,53604,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
324,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,149482,53894,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
325,+,-,+,+,-,-,-,+,-,-,+,-,+,-,+,+,-,+,-,-,+,149502,53917,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
326,+,+,-,-,-,+,+,+,+,-,+,-,+,+,+,+,-,-,-,-,+,149503,53920,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
327,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,149563,53985,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
328,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,-,-,-,136389,53997,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
329,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,149661,54095,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
330,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,149694,54134,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
331,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,149695,54135,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
332,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,+,+,-,-,149863,54334,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
333,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,138336,54402,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
334,+,-,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,-,-,-,149980,54466,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
335,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,+,,136500,54627,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
336,+,-,+,+,+,-,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,150272,54800,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
337,-,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,134554,54816,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
338,+,-,+,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,+,+,+,150405,54959,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
339,+,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,-,150453,55014,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
340,+,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,-,+,-,-,+,150462,55027,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
341,+,+,-,+,-,+,+,+,+,-,+,-,-,-,+,-,-,-,-,-,+,141249,44187,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
342,+,-,+,-,-,-,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+,150511,55082,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
343,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,150530,55101,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
344,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,14800,44716,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
345,+,-,+,-,+,-,+,-,+,-,-,+,-,-,+,-,+,+,+,+,+,137714,44719,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
346,-,-,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,141638,44721,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
347,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,150764,55372,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
348,-,+,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,,150886,55503,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
349,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,+,151051,55700,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
350,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,151052,55701,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
351,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,6386,55765,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
352,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,151115,55778,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
353,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,151133,55800,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
354,+,-,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,151140,55809,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
355,+,+,+,-,-,-,+,-,+,-,+,-,+,-,+,+,-,-,-,-,-,137324,65630,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
356,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,+,-,-,151372,56073,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
357,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,151387,56089,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
358,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,+,+,-,-,151388,56090,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
