ID_oxygen_tolerance,oxygen_tol,ID_strains,ID_reference,manual_annotation,last_change
49,microaerophile,177,5820,1,2016-05-17 11:40:41
51,microaerophile,178,5819,1,2016-05-17 11:40:41
53,microaerophile,179,5821,1,2016-05-17 11:40:41
55,microaerophile,180,5985,1,2016-05-17 11:40:41
57,microaerophile,181,5986,1,2016-05-17 11:40:41
59,microaerophile,182,5987,1,2016-05-17 11:40:41
60,anaerobe,183,5918,1,2016-05-17 11:40:41
62,anaerobe,184,6113,1,2016-05-17 11:40:41
63,anaerobe,185,6114,1,2016-05-17 11:40:41
64,microaerophile,185,6114,1,2016-05-17 11:40:41
66,anaerobe,187,6830,1,2016-05-17 11:40:41
67,anaerobe,188,7915,1,2016-05-17 11:40:41
68,anaerobe,189,7902,1,2016-05-17 11:40:41
69,anaerobe,190,16664,1,2016-05-17 11:40:41
70,anaerobe,192,16669,1,2016-05-17 11:40:41
71,anaerobe,193,17395,1,2016-05-17 11:40:41
72,microaerophile,194,16130,1,2016-05-17 11:40:41
73,anaerobe,195,18274,1,2016-05-17 11:40:41
74,anaerobe,196,17796,1,2016-05-17 11:40:41
75,microaerophile,196,17796,1,2016-05-17 11:40:41
76,anaerobe,197,8943,1,2016-05-17 11:40:41
77,anaerobe,198,16491,1,2016-05-17 11:40:41
78,microaerophile,198,16491,1,2016-05-17 11:40:41
80,microaerophile,203,5988,1,2016-05-17 11:40:41
82,anaerobe,204,17844,1,2016-05-17 11:40:41
83,anaerobe,205,1210,1,2016-05-17 11:40:41
84,anaerobe,206,17992,1,2016-05-17 11:40:41
85,anaerobe,207,1211,1,2016-05-17 11:40:41
87,anaerobe,208,16682,1,2016-05-17 11:40:41
88,anaerobe,209,15870,1,2016-05-17 11:40:41
90,anaerobe,210,6116,1,2016-05-17 11:40:41
91,anaerobe,211,8942,1,2016-05-17 11:40:41
92,anaerobe,212,8977,1,2016-05-17 11:40:41
93,microaerophile,216,6797,1,2016-05-17 11:40:41
94,aerobe,216,6797,1,2016-05-17 11:40:41
95,microaerophile,217,6798,1,2016-05-17 11:40:41
96,aerobe,217,6798,1,2016-05-17 11:40:41
97,anaerobe,218,8143,1,2016-05-17 11:40:41
98,anaerobe,219,3744,1,2016-05-17 11:40:41
100,microaerophile,225,5921,1,2016-05-17 11:40:41
102,microaerophile,226,6123,1,2016-05-17 11:40:41
103,microaerophile,227,15679,1,2016-05-17 11:40:41
104,aerobe,227,15679,1,2016-05-17 11:40:41
106,microaerophile,229,6094,1,2016-05-17 11:40:41
108,microaerophile,230,6062,1,2016-05-17 11:40:41
110,microaerophile,234,6091,1,2016-05-17 11:40:41
112,microaerophile,235,6061,1,2016-05-17 11:40:41
113,microaerophile,236,17187,1,2016-05-17 11:40:41
114,aerobe,270,6979,1,2016-05-17 11:40:41
115,anaerobe,294,3506,1,2016-05-17 11:40:41
116,aerobe,347,4618,1,2016-05-17 11:40:41
117,anaerobe,347,4618,1,2016-05-17 11:40:41
118,anaerobe,348,4168,1,2016-05-17 11:40:41
119,microaerophile,356,7461,1,2016-05-17 11:40:41
120,microaerophile,366,4030,1,2016-05-17 11:40:41
121,aerobe,383,6757,1,2016-05-17 11:40:41
122,aerobe,470,6690,1,2016-05-17 11:40:41
123,anaerobe,501,5283,1,2016-05-17 11:40:41
124,anaerobe,502,6506,1,2016-05-17 11:40:41
125,anaerobe,503,6508,1,2016-05-17 11:40:41
126,anaerobe,504,6507,1,2016-05-17 11:40:41
127,anaerobe,505,7213,1,2016-05-17 11:40:41
128,anaerobe,506,17386,1,2016-05-17 11:40:41
129,anaerobe,507,1337,1,2016-05-17 11:40:41
130,microaerophile,520,8154,1,2016-05-17 11:40:41
131,microaerophile,521,8155,1,2016-05-17 11:40:41
132,microaerophile,524,5375,1,2016-05-17 11:40:41
133,microaerophile,525,8174,1,2016-05-17 11:40:41
134,anaerobe,552,4714,1,2016-05-17 11:40:41
135,facultative anaerobe,1068,1294,1,2016-05-17 11:40:41
136,anaerobe,1147,3875,1,2016-05-17 11:40:41
137,anaerobe,1148,3876,1,2016-05-17 11:40:41
138,anaerobe,1211,5847,1,2016-05-17 11:40:41
139,anaerobe,1229,6397,1,2016-05-17 11:40:41
140,aerobe,1244,6458,1,2016-05-17 11:40:41
141,anaerobe,1295,16279,1,2016-05-17 11:40:41
142,microaerophile,1357,6740,1,2016-05-17 11:40:41
143,microaerophile,1358,6741,1,2016-05-17 11:40:41
144,aerobe,1391,6676,1,2016-05-17 11:40:41
145,anaerobe,1402,5451,1,2016-05-17 11:40:41
146,anaerobe,1404,5182,1,2016-05-17 11:40:41
147,aerobe,1405,5183,1,2016-05-17 11:40:41
148,anaerobe,1405,5183,1,2016-05-17 11:40:41
149,facultative anaerobe,1408,17354,1,2016-05-17 11:40:41
150,anaerobe,1557,16459,1,2016-05-17 11:40:41
151,anaerobe,1558,5855,1,2016-05-17 11:40:41
152,anaerobe,1559,16380,1,2016-05-17 11:40:41
153,microaerophile,1569,16334,1,2016-05-17 11:40:41
154,anaerobe,1579,9000,1,2016-05-17 11:40:41
155,anaerobe,1580,8988,1,2016-05-17 11:40:41
156,anaerobe,1581,1253,1,2016-05-17 11:40:41
157,anaerobe,1582,8782,1,2016-05-17 11:40:41
160,anaerobe,1583,9017,1,2016-05-17 11:40:41
162,anaerobe,1584,762,1,2016-05-17 11:40:41
165,anaerobe,1585,979,1,2016-05-17 11:40:41
166,anaerobe,1586,3679,1,2016-05-17 11:40:41
168,anaerobe,1587,3680,1,2016-05-17 11:40:41
169,anaerobe,1588,3681,1,2016-05-17 11:40:41
171,anaerobe,1589,3682,1,2016-05-17 11:40:41
172,anaerobe,1590,1536,1,2016-05-17 11:40:41
174,anaerobe,1591,8961,1,2016-05-17 11:40:41
176,anaerobe,1592,918,1,2016-05-17 11:40:41
178,anaerobe,1593,8247,1,2016-05-17 11:40:41
180,anaerobe,1594,8959,1,2016-05-17 11:40:41
182,anaerobe,1595,8960,1,2016-05-17 11:40:41
183,anaerobe,1596,1717,1,2016-05-17 11:40:41
184,anaerobe,1597,1718,1,2016-05-17 11:40:41
186,anaerobe,1598,3030,1,2016-05-17 11:40:41
188,anaerobe,1599,714,1,2016-05-17 11:40:41
189,anaerobe,1600,1004,1,2016-05-17 11:40:41
192,anaerobe,1601,769,1,2016-05-17 11:40:41
193,anaerobe,1602,1346,1,2016-05-17 11:40:41
195,anaerobe,1603,1474,1,2016-05-17 11:40:41
197,anaerobe,1604,2742,1,2016-05-17 11:40:41
198,anaerobe,1605,3600,1,2016-05-17 11:40:41
200,anaerobe,1606,6174,1,2016-05-17 11:40:41
202,anaerobe,1607,6782,1,2016-05-17 11:40:41
204,anaerobe,1608,6783,1,2016-05-17 11:40:41
205,anaerobe,1609,6945,1,2016-05-17 11:40:41
207,anaerobe,1610,6977,1,2016-05-17 11:40:41
208,anaerobe,1611,7121,1,2016-05-17 11:40:41
209,anaerobe,1612,7141,1,2016-05-17 11:40:41
210,anaerobe,1613,7330,1,2016-05-17 11:40:41
211,anaerobe,1614,7343,1,2016-05-17 11:40:41
213,anaerobe,1615,7344,1,2016-05-17 11:40:41
214,anaerobe,1616,7409,1,2016-05-17 11:40:41
216,anaerobe,1617,7844,1,2016-05-17 11:40:41
218,anaerobe,1618,8172,1,2016-05-17 11:40:41
220,anaerobe,1619,7686,1,2016-05-17 11:40:41
221,anaerobe,1620,8062,1,2016-05-17 11:40:41
223,anaerobe,1621,15423,1,2016-05-17 11:40:41
225,anaerobe,1622,7443,1,2016-05-17 11:40:41
227,anaerobe,1623,5571,1,2016-05-17 11:40:41
229,anaerobe,1624,8354,1,2016-05-17 11:40:41
230,anaerobe,1625,9078,1,2016-05-17 11:40:41
232,anaerobe,1626,7732,1,2016-05-17 11:40:41
234,anaerobe,1627,16058,1,2016-05-17 11:40:41
236,anaerobe,1628,16376,1,2016-05-17 11:40:41
237,anaerobe,1629,16382,1,2016-05-17 11:40:41
239,anaerobe,1630,16383,1,2016-05-17 11:40:41
240,anaerobe,1631,17776,1,2016-05-17 11:40:41
241,microaerophile,1632,5074,1,2016-05-17 11:40:41
242,microaerophile,1633,15707,1,2016-05-17 11:40:41
243,microaerophile,1634,15703,1,2016-05-17 11:40:41
244,microaerophile,1635,15812,1,2016-05-17 11:40:41
245,microaerophile,1636,15722,1,2016-05-17 11:40:41
246,microaerophile,1637,15723,1,2016-05-17 11:40:41
247,microaerophile,1638,15668,1,2016-05-17 11:40:41
248,microaerophile,1639,15702,1,2016-05-17 11:40:41
249,microaerophile,1640,17242,1,2016-05-17 11:40:41
250,microaerophile,1641,17241,1,2016-05-17 11:40:41
251,microaerophile,1642,17243,1,2016-05-17 11:40:41
252,microaerophile,1643,17325,1,2016-05-17 11:40:41
253,microaerophile,1644,17324,1,2016-05-17 11:40:41
254,microaerophile,1645,17826,1,2016-05-17 11:40:41
255,aerobe,1656,5202,1,2016-05-17 11:40:41
256,anaerobe,1682,8510,1,2016-05-17 11:40:41
257,anaerobe,1683,8512,1,2016-05-17 11:40:41
258,anaerobe,1684,8513,1,2016-05-17 11:40:41
259,anaerobe,1685,8524,1,2016-05-17 11:40:41
260,anaerobe,1686,8642,1,2016-05-17 11:40:41
261,anaerobe,1687,8530,1,2016-05-17 11:40:41
262,anaerobe,1688,8515,1,2016-05-17 11:40:41
263,anaerobe,1689,8807,1,2016-05-17 11:40:41
264,anaerobe,1690,8484,1,2016-05-17 11:40:41
265,anaerobe,1691,8509,1,2016-05-17 11:40:41
266,anaerobe,1692,8650,1,2016-05-17 11:40:41
267,anaerobe,1693,8828,1,2016-05-17 11:40:41
268,anaerobe,1694,8808,1,2016-05-17 11:40:41
269,anaerobe,1695,8482,1,2016-05-17 11:40:41
270,anaerobe,1696,8517,1,2016-05-17 11:40:41
271,anaerobe,1697,6595,1,2016-05-17 11:40:41
272,anaerobe,1698,8641,1,2016-05-17 11:40:41
273,anaerobe,1699,8810,1,2016-05-17 11:40:41
274,anaerobe,1700,8610,1,2016-05-17 11:40:41
275,anaerobe,1701,8811,1,2016-05-17 11:40:41
276,anaerobe,1702,8511,1,2016-05-17 11:40:41
277,anaerobe,1703,8639,1,2016-05-17 11:40:41
278,anaerobe,1704,8812,1,2016-05-17 11:40:41
279,anaerobe,1705,8992,1,2016-05-17 11:40:41
280,anaerobe,1706,8518,1,2016-05-17 11:40:41
281,anaerobe,1707,8483,1,2016-05-17 11:40:41
282,anaerobe,1708,8523,1,2016-05-17 11:40:41
283,anaerobe,1709,8612,1,2016-05-17 11:40:41
284,anaerobe,1710,8613,1,2016-05-17 11:40:41
285,anaerobe,1711,8640,1,2016-05-17 11:40:41
286,anaerobe,1712,8528,1,2016-05-17 11:40:41
287,anaerobe,1713,8813,1,2016-05-17 11:40:41
288,anaerobe,1714,8814,1,2016-05-17 11:40:41
289,anaerobe,1715,8520,1,2016-05-17 11:40:41
290,anaerobe,1716,8521,1,2016-05-17 11:40:41
291,anaerobe,1717,8525,1,2016-05-17 11:40:41
292,anaerobe,1718,8809,1,2016-05-17 11:40:41
293,anaerobe,1719,8522,1,2016-05-17 11:40:41
294,anaerobe,1720,8478,1,2016-05-17 11:40:41
295,anaerobe,1721,8479,1,2016-05-17 11:40:41
296,anaerobe,1722,8481,1,2016-05-17 11:40:41
297,anaerobe,1723,2694,1,2016-05-17 11:40:41
298,anaerobe,1724,2695,1,2016-05-17 11:40:41
299,anaerobe,1725,2696,1,2016-05-17 11:40:41
300,anaerobe,1726,2697,1,2016-05-17 11:40:41
301,anaerobe,1727,2698,1,2016-05-17 11:40:41
302,anaerobe,1728,2699,1,2016-05-17 11:40:41
303,anaerobe,1729,2717,1,2016-05-17 11:40:41
304,anaerobe,1730,2718,1,2016-05-17 11:40:41
305,anaerobe,1731,2719,1,2016-05-17 11:40:41
306,anaerobe,1732,8519,1,2016-05-17 11:40:41
307,anaerobe,1733,3817,1,2016-05-17 11:40:41
308,anaerobe,1734,5133,1,2016-05-17 11:40:41
309,anaerobe,1735,6050,1,2016-05-17 11:40:41
310,anaerobe,1736,8529,1,2016-05-17 11:40:41
311,anaerobe,1737,7169,1,2016-05-17 11:40:41
312,anaerobe,1738,16188,1,2016-05-17 11:40:41
314,anaerobe,1739,8255,1,2016-05-17 11:40:41
315,anaerobe,1740,7181,1,2016-05-17 11:40:41
316,anaerobe,1741,7182,1,2016-05-17 11:40:41
317,anaerobe,1742,7183,1,2016-05-17 11:40:41
318,anaerobe,1743,8514,1,2016-05-17 11:40:41
319,anaerobe,1744,8516,1,2016-05-17 11:40:41
320,anaerobe,1745,8611,1,2016-05-17 11:40:41
321,anaerobe,1746,8480,1,2016-05-17 11:40:41
322,anaerobe,1747,15674,1,2016-05-17 11:40:41
323,anaerobe,1748,17786,1,2016-05-17 11:40:41
324,anaerobe,1749,16505,1,2016-05-17 11:40:41
325,anaerobe,1750,16506,1,2016-05-17 11:40:41
326,anaerobe,1751,15993,1,2016-05-17 11:40:41
327,anaerobe,1752,17458,1,2016-05-17 11:40:41
328,anaerobe,1753,17466,1,2016-05-17 11:40:41
329,anaerobe,1754,17464,1,2016-05-17 11:40:41
330,anaerobe,1755,17459,1,2016-05-17 11:40:41
331,anaerobe,1756,17460,1,2016-05-17 11:40:41
332,anaerobe,1757,1884,1,2016-05-17 11:40:41
333,microaerophile,1757,1884,1,2016-05-17 11:40:41
334,anaerobe,1758,7178,1,2016-05-17 11:40:41
335,anaerobe,1759,7179,1,2016-05-17 11:40:41
336,anaerobe,1760,7180,1,2016-05-17 11:40:41
337,anaerobe,1761,3798,1,2016-05-17 11:40:41
338,anaerobe,1762,3799,1,2016-05-17 11:40:41
339,anaerobe,1763,3800,1,2016-05-17 11:40:41
340,anaerobe,1764,3801,1,2016-05-17 11:40:41
342,obligate anaerobe,1765,16388,1,2016-05-17 11:40:41
343,anaerobe,1766,16187,1,2016-05-17 11:40:41
344,anaerobe,1767,15682,1,2016-05-17 11:40:41
345,anaerobe,1768,16621,1,2016-05-17 11:40:41
346,anaerobe,1769,18105,1,2016-05-17 11:40:41
347,microaerophile,1789,15546,1,2016-05-17 11:40:41
348,anaerobe,1798,2116,1,2016-05-17 11:40:41
349,anaerobe,1799,2117,1,2016-05-17 11:40:41
350,anaerobe,1800,2118,1,2016-05-17 11:40:41
351,anaerobe,1801,6680,1,2016-05-17 11:40:41
352,microaerophile,1801,6680,1,2016-05-17 11:40:41
353,anaerobe,1819,2110,1,2016-05-17 11:40:41
354,anaerobe,1820,2111,1,2016-05-17 11:40:41
355,anaerobe,1821,2112,1,2016-05-17 11:40:41
356,anaerobe,1822,3224,1,2016-05-17 11:40:41
357,anaerobe,1823,3131,1,2016-05-17 11:40:41
358,anaerobe,1824,3253,1,2016-05-17 11:40:41
359,anaerobe,1825,3768,1,2016-05-17 11:40:41
360,anaerobe,1826,4411,1,2016-05-17 11:40:41
361,anaerobe,1827,4793,1,2016-05-17 11:40:41
362,anaerobe,1828,2108,1,2016-05-17 11:40:41
363,anaerobe,2090,6178,1,2016-05-17 11:40:41
364,microaerophile,2091,3095,1,2016-05-17 11:40:41
365,microaerophile,2092,3103,1,2016-05-17 11:40:41
366,microaerophile,2093,3105,1,2016-05-17 11:40:41
368,microaerophile,2094,3369,1,2016-05-17 11:40:41
369,microaerophile,2095,3106,1,2016-05-17 11:40:41
370,microaerophile,2096,7122,1,2016-05-17 11:40:41
371,microaerophile,2098,17185,1,2016-05-17 11:40:41
372,microaerophile,2099,16820,1,2016-05-17 11:40:41
373,microaerophile,2101,18040,1,2016-05-17 11:40:41
374,anaerobe,2102,8781,1,2016-05-17 11:40:41
375,microaerophile,2103,1684,1,2016-05-17 11:40:41
377,anaerobe,2119,3702,1,2016-05-17 11:40:41
378,microaerophile,2120,2002,1,2016-05-17 11:40:41
379,microaerophile,2121,1683,1,2016-05-17 11:40:41
381,facultative anaerobe,2124,2715,1,2016-05-17 11:40:41
382,microaerophile,2125,2003,1,2016-05-17 11:40:41
383,microaerophile,2126,2005,1,2016-05-17 11:40:41
384,anaerobe,2127,1331,1,2016-05-17 11:40:41
386,anaerobe,2128,2649,1,2016-05-17 11:40:41
387,microaerophile,2129,2004,1,2016-05-17 11:40:41
388,microaerophile,2130,3970,1,2016-05-17 11:40:41
389,microaerophile,2131,4316,1,2016-05-17 11:40:41
391,anaerobe,2133,8151,1,2016-05-17 11:40:41
392,microaerophile,2134,7718,1,2016-05-17 11:40:41
394,anaerobe,2135,15884,1,2016-05-17 11:40:41
396,anaerobe,2136,8100,1,2016-05-17 11:40:41
397,anaerobe,2137,7784,1,2016-05-17 11:40:41
399,anaerobe,2138,15877,1,2016-05-17 11:40:41
400,microaerophile,2140,16740,1,2016-05-17 11:40:41
401,microaerophile,2141,18009,1,2016-05-17 11:40:41
402,microaerophile,2145,17498,1,2016-05-17 11:40:41
403,microaerophile,2146,17499,1,2016-05-17 11:40:41
404,microaerophile,2149,17503,1,2016-05-17 11:40:41
405,microaerophile,2150,17504,1,2016-05-17 11:40:41
406,microaerophile,2152,17507,1,2016-05-17 11:40:41
407,microaerophile,2153,17508,1,2016-05-17 11:40:41
408,microaerophile,2155,17513,1,2016-05-17 11:40:41
409,microaerophile,2156,17514,1,2016-05-17 11:40:41
410,microaerophile,2167,17538,1,2016-05-17 11:40:41
411,microaerophile,2170,17544,1,2016-05-17 11:40:41
412,microaerophile,2173,17551,1,2016-05-17 11:40:41
413,microaerophile,2176,17555,1,2016-05-17 11:40:41
414,microaerophile,2179,17562,1,2016-05-17 11:40:41
415,microaerophile,2183,17569,1,2016-05-17 11:40:41
416,microaerophile,2198,17593,1,2016-05-17 11:40:41
417,microaerophile,2203,17599,1,2016-05-17 11:40:41
418,anaerobe,2223,2920,1,2016-05-17 11:40:41
419,anaerobe,2224,3717,1,2016-05-17 11:40:41
420,anaerobe,2225,3998,1,2016-05-17 11:40:41
421,anaerobe,2226,4027,1,2016-05-17 11:40:41
422,anaerobe,2227,462,1,2016-05-17 11:40:41
423,anaerobe,2228,5131,1,2016-05-17 11:40:41
424,anaerobe,2229,4722,1,2016-05-17 11:40:41
425,anaerobe,2230,5720,1,2016-05-17 11:40:41
426,anaerobe,2231,6346,1,2016-05-17 11:40:41
427,anaerobe,2232,7408,1,2016-05-17 11:40:41
428,microaerophile,2233,3256,1,2016-05-17 11:40:41
429,microaerophile,2234,6817,1,2016-05-17 11:40:41
430,anaerobe,2235,8785,1,2016-05-17 11:40:41
432,anaerobe,2236,16680,1,2016-05-17 11:40:41
433,microaerophile,2238,7458,1,2016-05-17 11:40:41
434,microaerophile,2243,7952,1,2016-05-17 11:40:41
435,microaerophile,2244,7953,1,2016-05-17 11:40:41
436,microaerophile,2245,7954,1,2016-05-17 11:40:41
437,microaerophile,2246,7955,1,2016-05-17 11:40:41
439,anaerobe,2248,6121,1,2016-05-17 11:40:41
441,anaerobe,2251,6059,1,2016-05-17 11:40:41
442,microaerophile,2268,4876,1,2016-05-17 11:40:41
443,anaerobe,2270,7157,1,2016-05-17 11:40:41
444,microaerophile,2271,16824,1,2016-05-17 11:40:41
445,anaerobe,2274,3743,1,2016-05-17 11:40:41
446,anaerobe,2275,4445,1,2016-05-17 11:40:41
447,anaerobe,2276,6039,1,2016-05-17 11:40:41
448,microaerophile,2276,6039,1,2016-05-17 11:40:41
449,facultative anaerobe,2278,6298,1,2016-05-17 11:40:41
450,microaerophile,2279,8192,1,2016-05-17 11:40:41
451,anaerobe,2280,1063,1,2016-05-17 11:40:41
452,microaerophile,2282,3503,1,2016-05-17 11:40:41
453,aerobe,2284,7708,1,2016-05-17 11:40:41
454,anaerobe,2284,7708,1,2016-05-17 11:40:41
455,anaerobe,2285,16124,1,2016-05-17 11:40:41
456,anaerobe,2286,17451,1,2016-05-17 11:40:41
457,anaerobe,2287,8236,1,2016-05-17 11:40:41
458,microaerophile,2359,5324,1,2016-05-17 11:40:41
459,aerobe,2359,5324,1,2016-05-17 11:40:41
460,anaerobe,2395,4579,1,2016-05-17 11:40:41
461,anaerobe,2396,854,1,2016-05-17 11:40:41
462,anaerobe,2397,95,1,2016-05-17 11:40:41
463,anaerobe,2398,88,1,2016-05-17 11:40:41
464,anaerobe,2399,89,1,2016-05-17 11:40:41
465,anaerobe,2400,90,1,2016-05-17 11:40:41
466,anaerobe,2401,92,1,2016-05-17 11:40:41
467,anaerobe,2402,857,1,2016-05-17 11:40:41
468,anaerobe,2403,86,1,2016-05-17 11:40:41
469,anaerobe,2404,87,1,2016-05-17 11:40:41
470,anaerobe,2405,91,1,2016-05-17 11:40:41
471,anaerobe,2406,14,1,2016-05-17 11:40:41
472,anaerobe,2407,94,1,2016-05-17 11:40:41
473,anaerobe,2408,93,1,2016-05-17 11:40:41
474,anaerobe,2409,96,1,2016-05-17 11:40:41
475,anaerobe,2410,97,1,2016-05-17 11:40:41
476,anaerobe,2411,98,1,2016-05-17 11:40:41
477,anaerobe,2412,99,1,2016-05-17 11:40:41
478,anaerobe,2416,5192,1,2016-05-17 11:40:41
479,anaerobe,2417,337,1,2016-05-17 11:40:41
480,anaerobe,2418,338,1,2016-05-17 11:40:41
481,anaerobe,2419,339,1,2016-05-17 11:40:41
482,anaerobe,2420,340,1,2016-05-17 11:40:41
483,anaerobe,2421,3599,1,2016-05-17 11:40:41
484,anaerobe,2422,3608,1,2016-05-17 11:40:41
485,anaerobe,2423,755,1,2016-05-17 11:40:41
486,anaerobe,2424,5,1,2016-05-17 11:40:41
487,anaerobe,2425,6,1,2016-05-17 11:40:41
488,anaerobe,2426,7,1,2016-05-17 11:40:41
489,anaerobe,2427,8,1,2016-05-17 11:40:41
490,anaerobe,2428,9,1,2016-05-17 11:40:41
491,anaerobe,2429,10,1,2016-05-17 11:40:41
492,anaerobe,2431,39,1,2016-05-17 11:40:41
493,anaerobe,2432,858,1,2016-05-17 11:40:41
494,anaerobe,2433,870,1,2016-05-17 11:40:41
495,anaerobe,2434,1,1,2016-05-17 11:40:41
496,anaerobe,2436,13,1,2016-05-17 11:40:41
497,anaerobe,2437,8313,1,2016-05-17 11:40:41
498,obligate anaerobe,2438,7673,1,2016-05-17 11:40:41
499,anaerobe,2439,1555,1,2016-05-17 11:40:41
500,anaerobe,2440,4194,1,2016-05-17 11:40:41
501,anaerobe,2445,45,1,2016-05-17 11:40:41
502,anaerobe,2446,46,1,2016-05-17 11:40:41
503,anaerobe,2447,372,1,2016-05-17 11:40:41
504,anaerobe,2448,869,1,2016-05-17 11:40:41
505,anaerobe,2449,827,1,2016-05-17 11:40:41
506,anaerobe,2450,868,1,2016-05-17 11:40:41
507,obligate anaerobe,2452,7631,1,2016-05-17 11:40:41
508,anaerobe,2453,1972,1,2016-05-17 11:40:41
509,anaerobe,2463,5095,1,2016-05-17 11:40:41
510,anaerobe,2464,5096,1,2016-05-17 11:40:41
511,anaerobe,2465,54,1,2016-05-17 11:40:41
512,anaerobe,2466,55,1,2016-05-17 11:40:41
513,anaerobe,2467,56,1,2016-05-17 11:40:41
514,anaerobe,2468,7870,1,2016-05-17 11:40:41
515,anaerobe,2469,1471,1,2016-05-17 11:40:41
516,anaerobe,2470,4398,1,2016-05-17 11:40:41
517,obligate anaerobe,2473,7639,1,2016-05-17 11:40:41
518,obligate anaerobe,2474,7748,1,2016-05-17 11:40:41
519,anaerobe,2475,2779,1,2016-05-17 11:40:41
520,anaerobe,2476,61,1,2016-05-17 11:40:41
521,anaerobe,2477,2146,1,2016-05-17 11:40:41
522,anaerobe,2478,60,1,2016-05-17 11:40:41
523,anaerobe,2479,52,1,2016-05-17 11:40:41
524,anaerobe,2480,53,1,2016-05-17 11:40:41
525,anaerobe,2481,2147,1,2016-05-17 11:40:41
526,anaerobe,2482,40,1,2016-05-17 11:40:41
527,anaerobe,2483,41,1,2016-05-17 11:40:41
528,anaerobe,2484,42,1,2016-05-17 11:40:41
529,anaerobe,2487,47,1,2016-05-17 11:40:41
530,anaerobe,2488,48,1,2016-05-17 11:40:41
531,anaerobe,2489,49,1,2016-05-17 11:40:41
532,anaerobe,2490,50,1,2016-05-17 11:40:41
533,anaerobe,2491,51,1,2016-05-17 11:40:41
534,obligate anaerobe,2494,8358,1,2016-05-17 11:40:41
535,anaerobe,2495,4536,1,2016-05-17 11:40:41
536,anaerobe,2496,7480,1,2016-05-17 11:40:41
537,anaerobe,2497,16419,1,2016-05-17 11:40:41
538,anaerobe,2498,16055,1,2016-05-17 11:40:41
539,anaerobe,2499,1978,1,2016-05-17 11:40:41
540,obligate anaerobe,2500,5692,1,2016-05-17 11:40:41
541,anaerobe,2501,6998,1,2016-05-17 11:40:41
542,anaerobe,2502,4354,1,2016-05-17 11:40:41
543,anaerobe,2503,7517,1,2016-05-17 11:40:41
544,anaerobe,2504,7811,1,2016-05-17 11:40:41
545,anaerobe,2505,1318,1,2016-05-17 11:40:41
546,anaerobe,2506,103,1,2016-05-17 11:40:41
547,anaerobe,2507,23,1,2016-05-17 11:40:41
548,anaerobe,2508,33,1,2016-05-17 11:40:41
549,anaerobe,2509,1464,1,2016-05-17 11:40:41
550,anaerobe,2510,1465,1,2016-05-17 11:40:41
551,anaerobe,2511,4155,1,2016-05-17 11:40:41
552,anaerobe,2512,4158,1,2016-05-17 11:40:41
553,anaerobe,2513,4160,1,2016-05-17 11:40:41
554,anaerobe,2514,6531,1,2016-05-17 11:40:41
555,anaerobe,2515,16781,1,2016-05-17 11:40:41
556,anaerobe,2516,3344,1,2016-05-17 11:40:41
