ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1156,chemolithoautotroph,2968,23086,1,2017-01-20 09:59:21
1157,chemoorganotroph,2982,23088,1,2017-01-20 09:59:21
1158,chemolithotroph,2983,23089,1,2017-01-20 09:59:21
1159,organotroph,2983,23089,1,2017-01-20 09:59:21
1160,chemoorganotroph,3022,23093,1,2017-01-20 09:59:21
1161,chemoorganotroph,3032,23095,1,2017-01-20 09:59:21
1162,chemoorganotroph,3033,23096,1,2017-01-20 09:59:21
1163,chemoorganotroph,3034,23094,1,2017-01-20 09:59:21
1164,chemoorganotroph,3035,23094,1,2017-01-20 09:59:21
1165,chemoorganotroph,3195,23185,1,2017-01-20 09:59:21
1166,heterotroph,3841,23104,1,2017-01-20 09:59:21
1167,chemoorganotroph,3901,23351,1,2017-01-20 09:59:21
1168,chemoorganotroph,3987,23372,1,2017-01-20 09:59:21
1169,chemoorganotroph,3988,23372,1,2017-01-20 09:59:21
1170,chemolithoautotroph,4032,23208,1,2017-01-20 09:59:21
1171,lithoheterotroph,4034,23206,1,2017-01-20 09:59:21
1172,lithoheterotroph,4064,23209,1,2017-01-20 09:59:21
1173,lithotroph,4065,23210,1,2017-01-20 09:59:21
1174,chemoorganoheterotroph,4167,23215,1,2017-01-20 09:59:21
1175,chemolithoautotroph,4189,23219,1,2017-01-20 09:59:21
1176,chemolithoautotroph,4190,23219,1,2017-01-20 09:59:21
1177,chemolithoautotroph,4191,23220,1,2017-01-20 09:59:21
1178,heterotroph,4192,23221,1,2017-01-20 09:59:21
1179,heterotroph,4195,23222,1,2017-01-20 09:59:21
1180,heterotroph,4196,23223,1,2017-01-20 09:59:21
1181,chemoorganoheterotroph,4199,23225,1,2017-01-20 09:59:21
1182,chemoorganoheterotroph,4200,23226,1,2017-01-20 09:59:21
1183,heterotroph,4205,23228,1,2017-01-20 09:59:21
1184,chemoorganotroph,4210,23229,1,2017-01-20 09:59:21
1185,chemoorganotroph,4238,23229,1,2017-01-20 09:59:21
1186,chemoorganotroph,4241,23231,1,2017-01-20 09:59:21
1187,chemoorganotroph,5381,23246,1,2017-01-20 09:59:21
1188,chemoorganotroph,130201,22994,1,2017-01-20 09:59:21
1189,chemolithoautotroph,133124,25176,1,2017-08-25 13:08:09
1190,heterotroph,131722,25097,1,2017-08-25 13:08:09
1191,chemoorganotroph,131722,25097,1,2017-08-25 13:08:09
1192,chemoorganotroph,24046,25239,1,2017-08-25 13:08:09
1193,heterotroph,24046,25239,1,2017-08-25 13:08:09
1194,chemoorganotroph,133137,24902,1,2017-08-25 13:08:09
1195,chemoorganoheterotroph,133133,24904,1,2017-08-25 13:08:09
1196,chemolithoautotroph,132647,24932,1,2017-08-25 13:08:09
1197,heterotroph,133158,24933,1,2017-08-25 13:08:09
1198,chemoorganoheterotroph,133159,24934,1,2017-08-25 13:08:09
1199,chemoheterotroph,132650,24961,1,2017-08-25 13:08:09
1201,heterotroph,133165,24940,1,2017-08-25 13:08:09
1202,chemoorganoheterotroph,133167,24941,1,2017-08-25 13:08:09
1203,chemoorganoheterotroph,133168,24943,1,2017-08-25 13:08:09
1204,chemoorganotroph,133172,24947,1,2017-08-25 13:08:09
1205,heterotroph,133174,24950,1,2017-08-25 13:08:09
1206,chemoorganotroph,133181,24960,1,2017-08-25 13:08:09
1207,chemoheterotroph,133006,24984,1,2017-08-25 13:08:09
1208,chemoheterotroph,133188,24984,1,2017-08-25 13:08:09
1209,heterotroph,133007,24987,1,2017-08-25 13:08:09
1210,chemoorganotroph,133197,24995,1,2017-08-25 13:08:09
1211,chemolithoautotroph,132676,25005,1,2017-08-25 13:08:09
1212,chemolithoautotroph,132677,25005,1,2017-08-25 13:08:09
1213,chemoorganotroph,2740,25020,1,2017-08-25 13:08:09
1214,chemoorganotroph,132681,25038,1,2017-08-25 13:08:09
1215,chemoorganotroph,133214,25016,1,2017-08-25 13:08:09
1216,heterotroph,131723,25097,1,2017-08-25 13:08:09
1217,chemoorganotroph,131723,25097,1,2017-08-25 13:08:09
1218,heterotroph,131724,25097,1,2017-08-25 13:08:09
1219,chemoorganotroph,131724,25097,1,2017-08-25 13:08:09
1220,chemoorganotroph,133020,25063,1,2017-08-25 13:08:09
1221,chemoorganoheterotroph,133021,25047,1,2017-08-25 13:08:09
1222,heterotroph,133023,25111,1,2017-08-25 13:08:09
1223,organoheterotroph,133266,25079,1,2017-08-25 13:08:09
1224,chemoorganoheterotroph,133028,25108,1,2017-08-25 13:08:09
1225,chemoorganotroph,132033,25075,1,2017-08-25 13:08:09
1226,organotroph,133268,25124,1,2017-08-25 13:08:09
1227,heterotroph,133030,25114,1,2017-08-25 13:08:09
1228,chemoorganotroph,133033,25069,1,2017-08-25 13:08:09
1229,chemoorganotroph,133274,25134,1,2017-08-25 13:08:09
1230,chemoorganotroph,133277,25125,1,2017-08-25 13:08:09
1231,chemoorganotroph,133279,25120,1,2017-08-25 13:08:09
1232,chemoheterotroph,133280,25119,1,2017-08-25 13:08:09
1233,heterotroph,133281,25112,1,2017-08-25 13:08:09
1234,chemoheterotroph,133283,25098,1,2017-08-25 13:08:09
1235,chemoorganotroph,133291,25088,1,2017-08-25 13:08:09
1236,chemoorganoheterotroph,133292,25084,1,2017-08-25 13:08:09
1237,chemoorganotroph,133302,25051,1,2017-08-25 13:08:09
1238,heterotroph,133308,25151,1,2017-08-25 13:08:09
1239,chemoorganotroph,133308,25151,1,2017-08-25 13:08:09
1240,heterotroph,133315,25161,1,2017-08-25 13:08:09
1241,chemolithotroph,133320,25149,1,2017-08-25 13:08:09
1242,chemoheterotroph,133330,25183,1,2017-08-25 13:08:09
1243,chemoorganotroph,133335,25172,1,2017-08-25 13:08:09
1244,chemolithoautotroph,133068,25213,1,2017-08-25 13:08:09
1245,chemoheterotroph,133340,25181,1,2017-08-25 13:08:09
1246,chemoorganotroph,133341,25202,1,2017-08-25 13:08:09
1247,chemoheterotroph,130688,25202,1,2017-08-25 13:08:09
1248,chemoorganotroph,133345,25171,1,2017-08-25 13:08:09
1249,heterotroph,133073,25209,1,2017-08-25 13:08:09
1250,chemoorganotroph,133074,25203,1,2017-08-25 13:08:09
1251,methylotroph,133349,25194,1,2017-08-25 13:08:09
1252,chemoheterotroph,133077,25205,1,2017-08-25 13:08:09
1253,heterotroph,133368,25221,1,2017-08-25 13:08:09
1254,heterotroph,133093,25270,1,2017-08-25 13:08:09
1255,heterotroph,133387,25285,1,2017-08-25 13:08:09
1256,chemoorganotroph,133405,25276,1,2017-08-25 13:08:09
1257,oligotroph,133409,25245,1,2017-08-25 13:08:09
1258,chemoheterotroph,133412,25265,1,2017-08-25 13:08:09
1259,chemoorganotroph,133112,25292,1,2017-08-25 13:08:09
1260,heterotroph,133121,25311,1,2017-08-25 13:08:09
1261,heterotroph,133122,25304,1,2017-08-25 13:08:09
1262,chemoheterotroph,140461,43193,1,2018-06-08 08:33:01
1263,chemoorganoheterotroph,140272,43207,1,2018-06-08 08:33:01
1264,chemotroph,140462,43177,1,2018-06-08 08:33:01
1265,photoheterotroph,133098,43175,1,2018-06-08 08:33:01
1266,chemoheterotroph,133098,43175,1,2018-06-08 08:33:01
1267,chemoorganotroph,140275,43190,1,2018-06-08 08:33:01
1268,chemolithoautotroph,140464,43181,1,2018-06-08 08:33:01
1269,chemoorganotroph,140468,43188,1,2018-06-08 08:33:01
1270,heterotroph,140293,43225,1,2018-06-08 08:33:01
1271,chemoorganoheterotroph,140294,43228,1,2018-06-08 08:33:01
