ID_kit_api_20NE,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20NE,modify_in_pgsql_20NE,ID_tbl_api_20NE,last_change
10528,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,17250,3022,1,2017-06-09 00:00:00,2017-06-09 12:00:04,2153.0,2019-11-20 06:22:46
10527,-,-,-,-,+,+/-,-,+/-,+,+,+,+,+,+,+,-,+/-,+/-,+/-,+/-,+,132925,24713,1,2017-03-28 00:00:00,2017-06-09 08:15:03,2152.0,2019-11-20 06:22:46
10526,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,132918,24706,1,2017-04-12 00:00:00,2017-06-08 09:05:03,2151.0,2019-11-20 06:22:46
10525,+,-,-,-,-,-,-,-,+,-,+/-,-,-,-,+,+,+,+,+,+,+,297,1075,1,2017-05-31 00:00:00,2017-06-08 07:25:03,2150.0,2019-11-20 06:22:46
10524,-,-,-,-,-,+,-,+,+,+,+,+,+,-,+,+,+/-,+,+,+,+,132990,24778,1,2017-05-31 00:00:00,2017-06-08 07:20:03,2149.0,2019-11-20 06:22:46
10523,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+/-,-,-,-,-,+,+,133097,24885,1,2017-04-12 00:00:00,2017-06-07 10:20:03,2148.0,2019-11-20 06:22:46
10522,+,+,+,-,-,+,+,+,+,-,+,+,+,+,+,+,-,+,+,-,+,255,3137,1,2017-06-02 00:00:00,2017-06-06 12:10:04,2147.0,2019-11-20 06:22:46
10521,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,-,-,-,-,-,+,132917,24705,1,2017-04-12 00:00:00,2017-05-30 15:40:03,2146.0,2019-11-20 06:22:46
10520,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,132960,24748,1,2017-04-12 00:00:00,2017-05-29 14:55:03,2145.0,2019-11-20 06:22:46
10519,+,-,-,+,-,-,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12760,572,1,2017-05-24 00:00:00,2017-05-24 14:40:04,2144.0,2019-11-20 06:22:46
10518,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,158483,65159,1,2017-05-10 00:00:00,2017-05-22 11:30:03,2143.0,2019-11-20 06:22:46
10517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,132921,24709,1,2017-03-28 00:00:00,2017-05-17 10:10:03,2142.0,2019-11-20 06:22:46
10516,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+,+,+,12901,2713,1,2017-05-12 00:00:00,2017-05-12 11:35:03,2141.0,2019-11-20 06:22:46
10515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,132954,24742,1,2017-05-12 00:00:00,2017-05-12 11:20:03,2140.0,2019-11-20 06:22:46
10514,+,-,+,-,-,+,-,-,+,-,+,+,+,+,+,-,-,+,-,-,+,17251,15793,1,2017-05-05 00:00:00,2017-05-05 11:20:03,2139.0,2019-11-20 06:22:46
10513,-,-,-,-,-,+/-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,13593,2212,1,2017-04-05 00:00:00,2017-05-05 09:45:03,2138.0,2019-11-20 06:22:46
10512,+,-,-,-,-,-,-,+,+,+,+,+,+,-,+,+,-,+,-,+/-,+,1905,12714,1,2017-03-24 00:00:00,2017-05-02 15:20:03,2136.0,2019-11-20 06:22:46
10511,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,12965,3767,1,2017-04-27 00:00:00,2017-04-27 14:55:03,2134.0,2019-11-20 06:22:46
10510,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,132980,24768,1,2017-04-12 00:00:00,2017-04-25 12:55:03,2132.0,2019-11-20 06:22:46
10509,+,-,+,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,132992,24780,1,2017-04-21 00:00:00,2017-04-21 09:00:03,2130.0,2019-11-20 06:22:46
10508,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,158304,64965,1,2017-03-28 00:00:00,2017-03-29 13:30:03,2123.0,2019-11-20 06:22:46
10507,-,-,-,-,-,+,-,+,+/-,-,-,-,-,+,-,-,-,-,-,-,+,132846,24634,1,2017-03-01 00:00:00,2017-03-29 13:25:03,2122.0,2019-11-20 06:22:46
10506,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,158304,64965,1,2017-03-28 00:00:00,2017-03-29 13:10:04,2121.0,2019-11-20 06:22:46
10505,-,-,-,-,-,-,-,+,+,+/-,+,+,-,+,+/-,-,-,+/-,+,+,+,132899,24687,1,2017-03-01 00:00:00,2017-03-29 11:05:03,2120.0,2019-11-20 06:22:46
10504,-,-,-,-,+,+,-,+,+/-,-,+/-,+,-,+,-,-,-,+,-,-,+,13548,2339,1,2017-03-15 00:00:00,2017-03-24 10:55:05,2119.0,2019-11-20 06:22:46
10503,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,132978,24766,1,2015-03-26 00:00:00,2017-03-24 09:50:04,2118.0,2019-11-20 06:22:46
10502,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,+,-,-,+,132898,24686,1,2017-02-15 00:00:00,2017-03-23 22:05:10,2117.0,2019-11-20 06:22:46
10501,+,-,-,-,+,+,+/-,+,+,+/-,+,+,+,+,-,-,-,-,-,-,+,132793,24582,1,2017-03-21 00:00:00,2017-03-23 22:05:10,2116.0,2019-11-20 06:22:46
10500,+,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,+,132760,24550,1,2017-03-21 00:00:00,2017-03-23 22:05:10,2115.0,2019-11-20 06:22:46
10499,-,-,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,+,+,-,-,5206,7242,1,2017-03-17 00:00:00,2017-03-17 11:50:05,2114.0,2019-11-20 06:22:46
10498,-,-,+,+,-,-,+,+,+,-,+,-,+,+,+,-,-,+,+,-,-,4273,81,1,2017-03-17 00:00:00,2017-03-17 11:50:05,2113.0,2019-11-20 06:22:46
10497,+,-,-,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12803,17706,1,2017-03-17 00:00:00,2017-03-17 11:50:05,2112.0,2019-11-20 06:22:46
10496,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,132983,24771,1,2017-02-17 00:00:00,2017-03-10 09:55:05,2110.0,2019-11-20 06:22:46
10495,+,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,+,-,+,17318,8123,1,2017-03-09 00:00:00,2017-03-09 11:00:05,2109.0,2019-11-20 06:22:46
10494,+,-,-,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,132948,24736,1,2017-02-15 00:00:00,2017-03-02 09:55:05,2106.0,2019-11-20 06:22:46
