ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2700,+,+,+,+,-,-,-,-,-,-,-,-,-,23080,19222,1,2011-07-19 00:00:00,2016-01-18 08:02:53,255.0,2019-11-20 06:22:49
2699,+,+,+,+,-,-,-,-,-,-,-,-,-,23081,19223,1,2011-07-19 00:00:00,2016-01-18 08:02:53,254.0,2019-11-20 06:22:49
2698,-,-,-,-,+,-,-,-,-,+/-,+/-,-,-,2100,17754,1,2011-05-30 00:00:00,2016-01-18 08:02:53,253.0,2019-11-20 06:22:49
2697,-,-,-,-,+,-,-,-,-,+,+,-,-,130149,22106,1,2011-04-14 00:00:00,2016-01-18 08:02:53,252.0,2019-11-20 06:22:49
2696,+,+,+,+,-,+,-,+,+,-,+,-,-,11717,17685,1,2011-01-21 00:00:00,2016-01-18 08:02:53,251.0,2019-11-20 06:22:49
2695,+,+,+,+,-,-,-,+,-,+,+,-,-,10513,17651,1,2010-12-21 00:00:00,2016-01-18 08:02:53,250.0,2019-11-20 06:22:49
2694,+,+,-,+/-,+,+,-,+,-,-,-,+,-,11705,17317,1,2014-06-27 00:00:00,2016-01-18 08:02:53,249.0,2019-11-20 06:22:49
2693,+,+,-,+,+,+,-,+,-,-,+,+,-,11705,17317,1,2012-04-04 00:00:00,2016-01-18 08:02:53,248.0,2019-11-20 06:22:49
2692,+,+,-,-,+,+,-,+,-,-,-,+,-,11705,17317,1,2010-10-12 00:00:00,2016-01-18 08:02:53,247.0,2019-11-20 06:22:49
2691,+,+,+,+,-,-,+,+,-,-,+,-,-,5635,17477,1,2010-10-05 00:00:00,2016-01-18 08:02:53,246.0,2019-11-20 06:22:49
2690,+,+,+,+,-,-,+,+,-,-,-,-,-,5634,17476,1,2010-10-07 00:00:00,2016-01-18 08:02:53,245.0,2019-11-20 06:22:49
2689,+,+,+/-,+/-,+,-,-,+,-,-,+,+,-,11751,17404,1,2010-08-10 00:00:00,2016-01-18 08:02:53,244.0,2019-11-20 06:22:49
2688,+,+,+,-,-,-,-,+,-,-,-,-,-,11759,17373,1,2010-09-01 00:00:00,2016-01-18 08:02:53,243.0,2019-11-20 06:22:49
2687,-,-,-,-,-,+,+,+,-,-,+,-,-,130460,21745,1,2010-05-27 00:00:00,2016-01-18 08:02:53,242.0,2019-11-20 06:22:49
2686,-,-,-,-,-,+,-,+,-,+,+,-,+,130459,21744,1,2010-05-27 00:00:00,2016-01-18 08:02:53,241.0,2019-11-20 06:22:49
2685,-,-,-,-,-,+,+,+,-,-,+,-,-,130457,21742,1,2010-05-27 00:00:00,2016-01-18 08:02:53,240.0,2019-11-20 06:22:49
2684,-,-,-,-,-,+,+,+,-,-,+,-,+,130458,21743,1,2010-05-27 00:00:00,2016-01-18 08:02:53,239.0,2019-11-20 06:22:49
2683,-,-,-,-,+,-,+,-,-,-,-,-,+,1783,17295,1,2010-06-09 00:00:00,2016-01-18 08:02:53,238.0,2019-11-20 06:22:49
2682,+,+,+,+,+/-,-,-,+/-,-,+,+,-,-,10484,17267,1,2010-04-28 00:00:00,2016-01-18 08:02:53,237.0,2019-11-20 06:22:49
2681,-,-,-,-,-,+/-,-,-,-,-,-,-,-,1642,17243,1,2010-04-19 00:00:00,2016-01-18 08:02:53,236.0,2019-11-20 06:22:49
