ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
4639,-,+,-,+,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,133060,24848,1,2016-04-22 00:00:00,2016-04-21 22:00:00,749.0,2019-11-20 06:22:47
4638,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,6559,8425,1,2016-04-06 00:00:00,2016-04-05 22:00:00,748.0,2019-11-20 06:22:47
4637,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,132189,23978,1,2016-04-04 00:00:00,2016-04-03 22:00:00,747.0,2019-11-20 06:22:47
4636,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,4907,9115,1,1990-10-19 00:00:00,2016-04-04 10:23:40,746.0,2019-11-20 06:22:47
4635,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+/-,+,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,4474,1526,1,2004-03-25 00:00:00,2016-04-04 10:23:40,743.0,2019-11-20 06:22:47
4634,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,+,-,-,+/-,+,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,4474,1526,1,2004-03-25 00:00:00,2016-04-04 10:23:40,742.0,2019-11-20 06:22:47
4633,-,+,-,-,+,+,+,+,+,+,+,+,+,+,-,+,+,-,+,+,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,4414,237,1,1859-11-24 00:00:00,2016-04-04 10:23:40,741.0,2019-11-20 06:22:47
4632,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,6570,8430,1,2016-03-17 00:00:00,2016-03-16 23:00:00,740.0,2019-11-20 06:22:47
4631,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6510,8789,1,2016-03-17 00:00:00,2016-03-16 23:00:00,739.0,2019-11-20 06:22:47
4630,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,6413,8898,1,2016-03-17 00:00:00,2016-03-16 23:00:00,738.0,2019-11-20 06:22:47
