ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
3162,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151300,55992,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3163,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,151344,56037,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3164,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,151345,56038,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151575,56282,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3166,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,151615,56323,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151624,56333,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3168,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,151645,56358,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3169,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,+,-,+,+,+,+,-,-,+,-,+,-,-,-,-,-,-,+,151704,56431,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3170,-,+,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,151714,56443,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3171,-,+,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,+,+,-,+,-,-,-,-,+,-,-,151741,56471,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3172,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151769,56502,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3173,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,151785,56520,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3174,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,151801,56554,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3175,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,151802,56555,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3176,-,-,-,-,-,-,+,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,+,+,-,-,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,151803,56556,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3177,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,151804,56557,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3178,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151805,56558,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3179,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151806,56559,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3180,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,151849,56612,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151854,56617,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3182,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,151869,56633,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3183,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,151896,56663,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3184,-,-,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,151897,56664,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151931,56705,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151937,56713,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3187,-,+,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,151953,56734,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3188,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,151973,56765,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3189,-,+,-,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,152001,56800,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3190,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,-,+,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,152002,56801,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3191,-,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,152292,57166,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3192,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,152298,57173,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3193,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,152330,57213,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3194,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,152408,57314,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3195,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,152410,57316,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3196,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,152412,57318,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3197,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,152513,57434,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152548,57472,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3199,-,+,-,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,-,-,+,+,-,152620,57585,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152631,57596,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3201,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,152641,57607,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3202,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,152656,57628,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3203,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,152679,57653,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3204,-,+,-,-,+,-,+,-,-,+,-,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,+,+,+,-,-,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,152686,57660,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3205,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,152708,57686,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3206,-,+,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,152720,57705,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152723,57708,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3208,-,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,152727,57712,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3209,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,152738,57730,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152765,57759,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3211,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152784,57783,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3212,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,152787,57786,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3213,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,152815,57821,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3214,-,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,152910,57933,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3215,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,152939,57974,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3216,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,152971,58010,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3217,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152975,58014,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3218,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152977,58016,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3219,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,2250,58055,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3220,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,153007,58057,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3221,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,153008,58058,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153009,58059,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3223,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,834,58065,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3224,-,+,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,-,-,153016,58084,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3225,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,153064,58137,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153066,58139,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3227,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,153133,58222,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3228,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,153134,58223,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3229,-,-,-,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,153135,58224,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3230,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153145,58237,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153156,58249,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3232,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,153170,58264,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3233,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,+,+,+,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,+,-,-,153178,58275,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153183,58285,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3235,-,-,-,-,+,+,+,-,-,+,+,+,+,+,-,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-,-,+,-,+,-,-,153205,58311,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3236,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,+,153208,58317,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3237,-,-,-,-,+,+,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,153228,58338,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3238,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,+,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,153259,58402,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3239,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153263,58406,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3240,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153264,58407,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3241,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153265,58408,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3242,-,+,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,153266,58409,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3243,-,+,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153267,58410,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3244,-,+,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,153270,58413,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3245,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,153276,58419,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3246,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,153280,58423,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3247,-,+,-,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,-,-,-,+,-,-,153370,58527,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3248,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153381,58538,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3249,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153382,58539,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3250,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153383,58540,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
3251,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,153384,58541,1,2019-11-19 09:57:15,2019-11-19 08:57:15,,2019-11-19 08:57:15
