ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,FK_tbl_strains_micro,manual_annotation,last_change
205,1,German classification,,,,7490,18504,,1,2016-03-22 14:24:55
206,1,German classification,,,,7491,18505,,1,2016-03-22 14:24:55
207,2,,,,,7585,18506,,1,2016-03-22 14:24:55
208,2,,,,,7583,18507,,1,2016-03-22 14:24:55
209,1,German classification,,,,7329,18508,,1,2016-03-22 14:24:55
210,1,German classification,,,,7473,18509,,1,2016-03-22 14:24:55
211,1,,,,,6298,18510,,1,2016-03-22 14:24:55
212,1,German classification,,,,7248,18512,,1,2016-03-22 14:24:55
213,1,,,,,7650,18513,,1,2016-03-22 14:24:55
214,1,Risk group,,,,18107,18514,,1,2016-03-22 14:24:55
215,1,Risk group (German classification),,,,3941,18515,,1,2016-03-22 14:24:55
216,2,Hazard group,,,,7780,18516,,1,2016-03-22 14:24:55
217,1,Risk group,,,,3913,18517,,1,2016-03-22 14:24:55
218,1,Risk group (German classification),,,,7266,18518,,1,2016-03-22 14:24:55
219,1,Risk group (German classification),,,,7468,18519,,1,2016-03-22 14:24:55
220,1,Risk group (German classification),,,,7469,18520,,1,2016-03-22 14:24:55
221,1,Hazard group,,,,7592,18521,,1,2016-03-22 14:24:55
222,1,Risk group (German classification),,,,6283,18522,,1,2016-03-22 14:24:55
223,1,Hazard group,,,,11069,18523,,1,2016-03-22 14:24:55
224,1,German classification,,,,15036,18525,,1,2016-03-22 14:24:55
225,1,German classification,,,,15387,18526,,1,2016-03-22 14:24:55
226,1,German classification,,,,15493,18527,,1,2016-03-22 14:24:55
227,1,German classification,,,,15062,18528,,1,2016-03-22 14:24:55
228,1,German classification,,,,15077,18529,,1,2016-03-22 14:24:55
229,1,German classification,,,,15211,18530,,1,2016-03-22 14:24:55
230,1,German classification,,,,15483,18531,,1,2016-03-22 14:24:55
231,1,German classification,,,,15509,18532,,1,2016-03-22 14:24:55
232,1,German classification,,,,16037,18533,,1,2016-03-22 14:24:55
233,1,German classification,,,,16136,18534,,1,2016-03-22 14:24:55
234,1,German classification,,,,15042,18535,,1,2016-03-22 14:24:55
235,1,German classification,,,,15428,18536,,1,2016-03-22 14:24:55
236,1,German classification,,,,16128,18537,,1,2016-03-22 14:24:55
237,1,German classification,,,,15140,18538,,1,2016-03-22 14:24:55
238,1,German classification,,,,15134,18539,,1,2016-03-22 14:24:55
239,1,German classification,,,,15143,18540,,1,2016-03-22 14:24:55
240,1,German classification,,,,15234,18541,,1,2016-03-22 14:24:55
241,1,German classification,,,,15005,18542,,1,2016-03-22 14:24:55
242,1,German classification,,,,15066,18543,,1,2016-03-22 14:24:55
243,1,German classification,,,,15104,18544,,1,2016-03-22 14:24:55
244,1,German classification,,,,15105,18545,,1,2016-03-22 14:24:55
245,1,German classification,,,,15113,18546,,1,2016-03-22 14:24:55
246,1,German classification,,,,15120,18547,,1,2016-03-22 14:24:55
247,1,German classification,,,,15160,18548,,1,2016-03-22 14:24:55
248,1,German classification,,,,15162,18549,,1,2016-03-22 14:24:55
249,1,German classification,,,,15342,18550,,1,2016-03-22 14:24:55
250,1,German classification,,,,15379,18551,,1,2016-03-22 14:24:55
251,1,German classification,,,,15048,18552,,1,2016-03-22 14:24:55
252,1,German classification,,,,15133,18553,,1,2016-03-22 14:24:55
253,1,German classification,,,,15254,18554,,1,2016-03-22 14:24:55
254,1,German classification,,,,15266,18555,,1,2016-03-22 14:24:55
255,1,German classification,,,,16034,18556,,1,2016-03-22 14:24:55
256,1,German classification,,,,15119,18557,,1,2016-03-22 14:24:55
257,1,German classification,,,,15006,18558,,1,2016-03-22 14:24:55
258,1,German classification,,,,15343,18559,,1,2016-03-22 14:24:55
259,1,German classification,,,,15152,18560,,1,2016-03-22 14:24:55
260,1,German classification,,,,14971,18561,,1,2016-03-22 14:24:55
261,1,German classification,,,,14883,18562,,1,2016-03-22 14:24:55
262,1,German classification,,,,16067,18563,,1,2016-03-22 14:24:55
263,1,German classification,,,,15553,18564,,1,2016-03-22 14:24:55
264,1,German classification,,,,14892,18565,,1,2016-03-22 14:24:55
265,1,German classification,,,,16926,18567,,1,2016-03-22 14:24:55
266,1,German classification,,,,16125,18569,,1,2016-03-22 14:24:55
267,1,German classification,,,,16170,18568,,1,2016-03-22 14:24:55
268,1,German classification,,,,16073,18570,,1,2016-03-22 14:24:55
269,1,German classification,,,,15070,18571,,1,2016-03-22 14:24:55
270,1,German classification,,,,16058,18573,,1,2016-03-22 14:24:55
271,1,German classification,,,,15055,18574,,1,2016-03-22 14:24:55
272,1,German classification,,,,15307,18575,,1,2016-03-22 14:24:55
273,1,German classification,,,,14933,18576,,1,2016-03-22 14:24:55
274,1,German classification,,,,16218,18577,,1,2016-03-22 14:24:55
275,1,German classification,,,,15276,18578,,1,2016-03-22 14:24:55
276,1,German classification,,,,15498,18579,,1,2016-03-22 14:24:55
277,1,German classification,,,,15411,18580,,1,2016-03-22 14:24:55
278,1,German classification,,,,15386,18581,,1,2016-03-22 14:24:55
279,1,German classification,,,,15402,18582,,1,2016-03-22 14:24:55
280,1,German classification,,,,15404,18583,,1,2016-03-22 14:24:55
281,1,German classification,,,,15392,18584,,1,2016-03-22 14:24:55
282,1,German classification,,,,15435,18585,,1,2016-03-22 14:24:55
283,1,German classification,,,,15330,18586,,1,2016-03-22 14:24:55
284,1,German classification,,,,14996,18587,,1,2016-03-22 14:24:55
285,1,German classification,,,,14903,18588,,1,2016-03-22 14:24:55
286,1,German classification,,,,15008,18589,,1,2016-03-22 14:24:55
287,1,German classification,,,,15291,18590,,1,2016-03-22 14:24:55
288,1,German classification,,,,16049,18591,,1,2016-03-22 14:24:55
289,1,German classification,,,,14904,18592,,1,2016-03-22 14:24:55
290,1,German classification,,,,15262,18593,,1,2016-03-22 14:24:55
291,1,German classification,,,,15391,18594,,1,2016-03-22 14:24:55
292,2,German classification,,,,11176,18595,,1,2016-03-22 14:24:55
293,1,German classification,,,,15268,18596,,1,2016-03-22 14:24:55
294,2,German classification,,,,10727,18597,,1,2016-03-22 14:24:55
295,1,German classification,,,,13493,18598,,1,2016-03-22 14:24:55
296,1,German classification,,,,15214,18599,,1,2016-03-22 14:24:55
297,1,German classification,,,,15333,18601,,1,2016-03-22 14:24:55
298,1,German classification,,,,16219,18602,,1,2016-03-22 14:24:55
299,1,German classification,,,,15482,18603,,1,2016-03-22 14:24:55
300,1,German classification,,,,13444,18604,,1,2016-03-22 14:24:55
301,1,German classification,,,,15129,18605,,1,2016-03-22 14:24:55
302,1,German classification,,,,15429,18606,,1,2016-03-22 14:24:55
303,1,German classification,,,,16036,18607,,1,2016-03-22 14:24:55
304,1,Hazard group,,,,11113,18608,,1,2016-03-22 14:24:55
305,1,Hazard group,,,,7601,18609,,1,2016-03-22 14:24:55
306,2,Hazard group,,,,7604,18610,,1,2016-03-22 14:24:55
307,1,Hazard group,,,,11115,18611,,1,2016-03-22 14:24:55
308,1,Hazard group,,,,7642,18619,,1,2016-03-22 14:24:55
309,1,Hazard group,,,,2354,18620,,1,2016-03-22 14:24:55
310,1,Hazard group,,,,2351,18621,,1,2016-03-22 14:24:55
311,1,Hazard group,,,,7529,18622,,1,2016-03-22 14:24:55
312,1,Hazard group,,,,7524,18623,,1,2016-03-22 14:24:55
313,1,Hazard group,,,,7571,18624,,1,2016-03-22 14:24:55
314,1,Hazard group,,,,11100,18625,,1,2016-03-22 14:24:55
315,1,German classification,,,,3124,18626,,1,2016-03-22 14:24:55
316,1,Hazard group,,,,7533,18627,,1,2016-03-22 14:24:55
317,1,Hazard group,,,,7619,18628,,1,2016-03-22 14:24:55
318,1,German classification,,,,7363,18629,,1,2016-03-22 14:24:55
319,1,Risk group (German classification),,,,17087,18633,,1,2016-03-22 14:24:55
320,1,Risk group (German classification),,,,7367,18634,,1,2016-03-22 14:24:55
321,1,Risk group (German classification),,,,7365,18635,,1,2016-03-22 14:24:55
322,1,Risk group (German classification),,,,3128,18636,,1,2016-03-22 14:24:55
323,1,Risk group (German classification),,,,3085,18637,,1,2016-03-22 14:24:55
324,1,German classification,,,,15280,18657,,1,2016-03-22 14:24:55
325,1,German classification,,,,16098,18658,,1,2016-03-22 14:24:55
326,1,German classification,,,,14939,18659,,1,2016-03-22 14:24:55
327,1,German classification,,,,15479,18660,,1,2016-03-22 14:24:55
328,1,German classification,,,,15044,18661,,1,2016-03-22 14:24:55
329,1,German classification,,,,16158,18662,,1,2016-03-22 14:24:55
330,1,German classification,,,,15426,18664,,1,2016-03-22 14:24:55
331,1,German classification,,,,15132,18665,,1,2016-03-22 14:24:55
332,1,German classification,,,,15219,18666,,1,2016-03-22 14:24:55
333,1,German classification,,,,15248,18674,,1,2016-03-22 14:24:55
334,1,German classification,,,,15338,18675,,1,2016-03-22 14:24:55
335,1,German classification,,,,15570,18677,,1,2016-03-22 14:24:55
336,1,German classification,,,,16142,18678,,1,2016-03-22 14:24:55
337,1,German classification,,,,14910,18679,,1,2016-03-22 14:24:55
338,1,German classification,,,,16056,18680,,1,2016-03-22 14:24:55
339,1,German classification,,,,15215,18681,,1,2016-03-22 14:24:55
340,1,German classification,,,,15496,18682,,1,2016-03-22 14:24:55
341,1,German classification,,,,16251,18683,,1,2016-03-22 14:24:55
342,1,German classification,,,,16177,18684,,1,2016-03-22 14:24:55
343,1,German classification,,,,16183,18685,,1,2016-03-22 14:24:55
344,1,German classification,,,,16187,18686,,1,2016-03-22 14:24:55
345,1,German classification,,,,16189,18687,,1,2016-03-22 14:24:55
346,1,German classification,,,,16188,18688,,1,2016-03-22 14:24:55
347,1,German classification,,,,16190,18689,,1,2016-03-22 14:24:55
348,1,German classification,,,,16304,18690,,1,2016-03-22 14:24:55
349,1,German classification,,,,16191,18691,,1,2016-03-22 14:24:55
350,1,German classification,,,,16193,18692,,1,2016-03-22 14:24:55
351,1,German classification,,,,16196,18693,,1,2016-03-22 14:24:55
352,1,German classification,,,,16199,18694,,1,2016-03-22 14:24:55
353,1,German classification,,,,16206,18695,,1,2016-03-22 14:24:55
354,1,German classification,,,,16186,18696,,1,2016-03-22 14:24:55
355,1,German classification,,,,16210,18697,,1,2016-03-22 14:24:55
356,1,German classification,,,,16310,18698,,1,2016-03-22 14:24:55
357,1,German classification,,,,16312,18699,,1,2016-03-22 14:24:55
358,1,German classification,,,,16313,18700,,1,2016-03-22 14:24:55
359,1,German classification,,,,15586,18701,,1,2016-03-22 14:24:55
360,1,German classification,,,,16314,18705,,1,2016-03-22 14:24:55
361,1,German classification,,,,16320,18706,,1,2016-03-22 14:24:55
362,1,German classification,,,,16323,18707,,1,2016-03-22 14:24:55
363,1,German classification,,,,16330,18710,,1,2016-03-22 14:24:55
364,1,German classification,,,,16331,18711,,1,2016-03-22 14:24:55
365,1,German classification,,,,16333,18712,,1,2016-03-22 14:24:55
366,1,German classification,,,,16335,18713,,1,2016-03-22 14:24:55
367,1,German classification,,,,16309,18714,,1,2016-03-22 14:24:55
368,1,German classification,,,,14872,18715,,1,2016-03-22 14:24:55
369,1,German classification,,,,16351,18716,,1,2016-03-22 14:24:55
370,1,German classification,,,,16352,18717,,1,2016-03-22 14:24:55
371,1,German classification,,,,16358,18718,,1,2016-03-22 14:24:55
372,1,German classification,,,,15253,18719,,1,2016-03-22 14:24:55
373,1,German classification,,,,16359,18720,,1,2016-03-22 14:24:55
374,1,German classification,,,,16364,18721,,1,2016-03-22 14:24:55
375,1,German classification,,,,16384,18722,,1,2016-03-22 14:24:55
376,1,German classification,,,,16378,18723,,1,2016-03-22 14:24:55
377,1,German classification,,,,16386,18724,,1,2016-03-22 14:24:55
378,1,German classification,,,,16403,18725,,1,2016-03-22 14:24:55
379,1,German classification,,,,16434,18728,,1,2016-03-22 14:24:55
380,1,German classification,,,,13414,18736,,1,2016-03-22 14:24:55
381,1,,,,,16589,18737,,1,2016-03-22 14:24:55
382,1,,,,,7885,18738,,1,2016-03-22 14:24:55
383,1,German classification,,,,15094,18739,,1,2016-03-22 14:24:55
384,1,Risk group (German classification),,,,3092,18740,,1,2016-03-22 14:24:55
385,1,Risk group (German classification),,,,6285,18741,,1,2016-03-22 14:24:55
386,1,Risk group (German classification),,,,7475,18745,,1,2016-03-22 14:24:55
387,1,Risk group (German classification),,,,7641,18746,,1,2016-03-22 14:24:55
