ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
1540,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,143705,47273,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1541,-,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,143827,47399,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1542,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,143936,47534,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1543,-,-,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,5367,44143,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1544,-,+,-,+,-,+,-,-,+,-,-,-,-,+,-,+,+,+,+,-,143969,47570,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1545,-,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,+,+,+,-,143992,47595,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1546,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143994,47597,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1547,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,143996,47599,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1548,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143999,47602,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1549,-,+,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,144007,47610,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1550,-,+,+,+,-,+,+,+,-,-,+,-,+,+,-,+,+,+,+,+,144182,47798,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1551,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,136330,65635,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1552,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,3125,47862,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1553,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144240,47875,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1554,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,+,+,+,+,-,144295,47949,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1555,-,+,+,+,-,+,-,-,+,-,-,-,+,+,-,+,+,+,+,-,144306,47960,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1556,-,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,144357,48026,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1557,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144369,48039,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1558,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,144369,48039,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1559,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,144371,48041,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1560,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,144480,48156,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1561,-,+,+,+,-,+,-,-,+,-,+,+,-,+,-,-,+,-,-,-,144485,48164,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1562,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144536,48217,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1563,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,144536,48217,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1564,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,144563,48244,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1565,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144568,48249,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1566,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,135579,48259,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1567,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,144577,48262,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1568,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,144590,48275,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1569,-,+,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,144741,48454,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1570,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,+,-,144871,48600,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1571,-,+,+,+,-,+,-,-,-,-,-,+,+,+,-,+,+,+,+,-,144914,48646,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1572,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,141533,44578,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1573,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,3146,44580,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1574,-,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,145002,48756,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1575,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145003,48757,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1576,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,145008,48762,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1577,-,+,-,+,-,+,-,-,-,-,+,+,+,+,-,+,+,-,+,+,145058,48821,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1578,-,+,-,+,-,+,+,+,-,-,+,+,-,-,-,+,-,+,+,-,145124,48904,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1579,-,+,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,145137,48918,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1580,-,-,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,145252,49049,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1581,-,-,-,+,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,11028,49096,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1582,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,145309,49119,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1583,-,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145342,49157,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1584,-,+,-,+,-,+,-,-,-,+,+,+,-,+,-,+,+,+,+,+,145393,49209,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1585,-,+,-,+,-,+,-,-,-,+,+,+,-,+,-,+,+,+,+,-,145395,49211,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1586,-,+,+,+,-,+,+,+,+,-,+,+,-,-,-,-,+,-,-,-,145400,49216,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1587,-,-,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,145413,49230,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1588,-,+,+,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,-,145440,49262,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1589,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145443,49275,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1590,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145473,49311,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1591,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,145476,49314,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1592,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,145521,49360,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1593,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137725,49377,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1594,-,-,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,+,+,-,145540,49386,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1595,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,145545,49393,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1596,-,+,+,+,-,+,-,+,+,-,-,+,+,+,-,+,+,+,+,-,145588,49446,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1597,-,+,+,+,-,+,-,+,+,-,+,+,+,+,-,+,+,+,+,-,145588,49446,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1598,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,145607,49466,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1599,-,-,-,+,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,7364,49476,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1600,-,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,145638,49504,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1601,-,-,+,+,-,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,145773,49657,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1602,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,145980,49889,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1603,-,+,-,+,-,+,-,-,-,-,+,+,+,+,-,+,+,+,+,-,146168,50116,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1604,-,+,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,146169,50117,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1605,-,-,+,+,-,+,+,+,-,-,+,+,+,-,-,+,+,-,-,-,146234,50214,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1606,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,+,+,+,+,+,146255,50236,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1607,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,+,+,+,-,-,146260,50242,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1608,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,146332,50332,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1609,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,5371,50543,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1610,-,-,+,+,-,+,-,+,-,-,+,+,-,+,-,+,+,+,+,-,146531,50563,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1611,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146552,50585,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1612,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,146599,50640,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1613,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,+,+,-,-,146622,50667,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1614,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,146636,50683,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1615,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,146733,50785,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1616,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,146750,50802,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1617,-,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,-,-,146817,50875,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1618,-,+,+,+,-,+,-,-,+,-,+,+,+,+,-,+,+,+,+,-,146874,50962,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1619,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146882,50971,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1620,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,146883,50972,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1621,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146936,51034,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1622,-,+,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,146941,51039,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1623,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,+,+,-,-,146994,51093,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1624,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138278,51149,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1625,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,147058,51167,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1626,-,-,-,+,-,+,+,-,-,-,+,+,-,+,-,+,+,+,+,+,147061,51170,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1627,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,147083,51204,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1628,-,+,+,+,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,-,147144,51273,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1629,-,+,+,+,-,+,-,-,-,-,+,+,+,+,-,+,+,+,+,-,147179,51312,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1630,-,+,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,+,+,-,135434,51313,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1631,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,147229,51380,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1632,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-,-,147351,51510,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1633,-,-,+,+,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,147352,51511,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1634,-,-,-,+,-,+,-,-,-,-,+,-,-,-,+,-,+,-,-,-,147353,51512,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1635,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147355,51515,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1636,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147356,51516,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1637,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,12662,51542,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1638,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,-,147410,51580,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1639,-,+,+,+,-,+,-,-,-,-,-,-,+,+,-,+,+,+,+,-,147422,51594,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1640,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,147459,51632,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1641,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,147460,51633,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1642,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,147461,51634,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1643,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147471,51647,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1644,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147477,51658,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1645,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,147528,51709,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1646,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,134417,51741,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1647,-,+,+,+,-,+,-,-,-,-,+,-,-,+,-,+,+,-,-,-,147596,51787,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1648,-,+,-,+,-,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,12624,51806,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1649,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,147616,51810,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1650,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147649,51848,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1651,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,147652,51851,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1652,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,+,-,147733,51937,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1653,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147735,51940,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1654,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147739,51944,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1655,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147755,51963,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1656,-,-,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+,-,147756,51964,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1657,-,+,+,+,-,+,-,+,-,-,+,+,+,+,-,+,-,-,-,-,147772,51980,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1658,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,147781,51989,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1659,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147783,51991,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1660,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147784,51992,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1661,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147785,51993,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1662,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,147863,52084,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1663,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147890,52114,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1664,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147907,52131,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1665,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147926,52155,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1666,-,-,+,+,-,+,-,-,-,-,+,-,-,+,-,+,+,+,+,-,147957,52187,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1667,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,147984,52214,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1668,-,-,+,+,-,+,+,-,-,-,+,-,-,+,-,+,+,+,-,-,147985,52215,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1669,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147998,52231,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1670,-,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,148022,52258,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1671,-,+,+,+,-,+,-,+,-,-,+,+,-,+,-,+,+,+,-,-,148068,52306,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1672,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148069,52307,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1673,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148084,52328,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1674,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148167,52415,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1675,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,10549,52418,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1676,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,148182,52445,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1677,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148232,52498,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1678,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148247,52513,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1679,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148248,52514,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1680,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148250,52516,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1681,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,148289,52561,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1682,-,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,148311,52593,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1683,-,+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148312,52594,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1684,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148326,52609,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1685,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148328,52611,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1686,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139551,52619,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1687,-,+,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148340,52626,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1688,-,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,148344,52630,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1689,-,+,+,-,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+,+,148382,52669,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
1690,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,148401,52689,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
