ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
46,,-,+,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,+,-,7771,18336,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
47,,+,+,+,-,+,+,+,-,-,+,-,-,-,-,+,+,-,-,-,11087,18337,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
48,,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,+,+,+,+,11081,18338,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
49,,+,+,+,+,+,-,-,-,-,+,-,+,+,-,+,+,+,+,+,11082,18339,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
50,,+,+,+,+,+,+,+,-,+,-,+,+,+,-,+,+,+,-,+,12665,18340,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
51,,-,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,-,-,-,17838,18341,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
52,,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,7505,18342,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
53,,+,+,+,-,+,+,-,-,-,+,+,-,-,+,+,+,-,-,-,1774,18343,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
54,,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,2386,18344,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
55,,+,+,+,+,+,+,+,-,-,-,+,-,-,-,+,-,-,-,-,7760,18345,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
56,,+,+,+,-,+,-,-,-,-,+,+,+,-,+,+,-,-,-,-,2387,18346,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
