ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
75,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,+,+,141634,44712,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
76,,-,+,+,+,-,-,+,+,-,-,-,-,+,-,+,+,-,-,-,-,150590,55175,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
77,,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,150706,55303,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
78,,-,+,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,150715,55312,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
79,,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,150840,55456,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
80,,-,+,+,-,+,-,+,+,-,-,+,+,+,-,-,+,-,+,+,+,150848,55464,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
81,,-,+,+,-,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,+,150872,55489,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
82,,-,+,+,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,-,-,221,44731,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
83,,-,+,+,+,-,+,+,+,+,-,+,+,+,-,+,+,-,+,-,+,141644,44734,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
84,,-,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,-,+,-,+,151152,55821,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
85,,-,+,+,-,-,+,-,-,-,-,+,+,-,-,+,-,-,-,-,+,151153,55822,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
86,,-,+,-,-,+,-,+,+,-,-,+,-,+,-,-,+,-,-,-,+,151436,56138,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
87,,-,+,+,+,+,+,+,+,-,-,+,-,+,-,-,+,-,-,+,+,151447,56149,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
88,,-,+,-,-,+,+,+,+,-,-,+,+,-,-,-,+,-,+,-,+,151487,56189,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
