ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,api_import,last_change
10514,indole,1.0,,35581.0,23788,286,23262,1,,2017-02-10 09:00:50
10515,indole,0.0,,35581.0,23790,288,23263,1,,2017-02-10 09:00:50
10516,hydrogen sulfide,0.0,,16136.0,16701,288,23263,1,,2017-02-10 09:00:50
10517,acetoin,0.0,,15688.0,23789,288,23263,1,,2017-02-10 09:00:50
10518,toluene,0.0,,17578.0,16702,295,23265,1,,2017-02-10 09:00:50
10519,indole,0.0,,35581.0,16703,295,23265,1,,2017-02-10 09:00:50
10520,indole,0.0,,35581.0,16704,322,23266,1,,2017-02-10 09:00:50
10521,hydrogen sulfide,0.0,,16136.0,16705,322,23266,1,,2017-02-10 09:00:50
10522,indole,0.0,,35581.0,16706,323,23266,1,,2017-02-10 09:00:50
10523,hydrogen sulfide,0.0,,16136.0,16707,323,23266,1,,2017-02-10 09:00:50
10524,indole,0.0,,35581.0,23792,343,23267,1,,2017-02-10 09:00:50
10525,hydrogen sulfide,0.0,,16136.0,16708,343,23267,1,,2017-02-10 09:00:50
10526,acetoin,0.0,,15688.0,23791,343,23267,1,,2017-02-10 09:00:50
10527,indole,0.0,,35581.0,16709,349,23268,1,,2017-02-10 09:00:50
10528,hydrogen sulfide,0.0,,16136.0,16710,349,23268,1,,2017-02-10 09:00:50
10529,acetoin,1.0,,15688.0,23793,349,23268,1,,2017-02-10 09:00:50
10530,indole,0.0,,35581.0,32875,355,23272,1,,2017-02-10 09:00:50
10531,hydrogen sulfide,0.0,,16136.0,19683,355,23272,1,,2017-02-10 09:00:50
10532,indole,0.0,,35581.0,16711,361,23275,1,,2017-02-10 09:00:50
10533,hydrogen sulfide,0.0,,16136.0,16712,361,23275,1,,2017-02-10 09:00:50
10534,acetoin,1.0,,15688.0,23794,361,23275,1,,2017-02-10 09:00:50
10535,indole,0.0,,35581.0,32873,365,23279,1,,2017-02-10 09:00:50
10536,indole,0.0,,35581.0,32866,377,23280,1,,2017-02-10 09:00:50
10537,indole,0.0,,35581.0,32865,378,23281,1,,2017-02-10 09:00:50
10538,indole,0.0,,35581.0,32864,379,22905,1,,2017-02-10 09:00:50
10539,acetoin,0.0,,15688.0,23795,379,22905,1,,2017-02-10 09:00:50
10540,nitrite,0.0,,16301.0,16713,382,23282,1,,2017-02-10 09:00:50
10541,indole,0.0,,35581.0,32863,382,23282,1,,2017-02-10 09:00:50
10542,acetoin,0.0,,15688.0,16714,382,23282,1,,2017-02-10 09:00:50
10543,indole,0.0,,35581.0,32862,385,23283,1,,2017-02-10 09:00:50
10544,hydrogen sulfide,0.0,,16136.0,16715,385,23283,1,,2017-02-10 09:00:50
10545,indole,0.0,,35581.0,16716,414,23285,1,,2017-02-10 09:00:50
10546,acetoin,1.0,,15688.0,23796,414,23285,1,,2017-02-10 09:00:50
10547,polyhydroxybutyrate,0.0,,53388.0,16717,437,23286,1,,2017-02-10 09:00:50
10548,indole,0.0,,35581.0,16718,437,23286,1,,2017-02-10 09:00:50
10549,hydrogen sulfide,0.0,,16136.0,16719,437,23286,1,,2017-02-10 09:00:50
10550,fluorescein,0.0,,31624.0,16720,437,23286,1,,2017-02-10 09:00:50
10551,polyhydroxybutyrate,0.0,,53388.0,16721,438,23286,1,,2017-02-10 09:00:50
10552,indole,0.0,,35581.0,16722,438,23286,1,,2017-02-10 09:00:50
10553,hydrogen sulfide,0.0,,16136.0,16723,438,23286,1,,2017-02-10 09:00:50
10554,fluorescein,0.0,,31624.0,16724,438,23286,1,,2017-02-10 09:00:50
10555,indole,0.0,,35581.0,16725,440,23287,1,,2017-02-10 09:00:50
10556,polyhydroxybutyrate,0.0,,53388.0,16726,447,23288,1,,2017-02-10 09:00:50
10557,indole,0.0,,35581.0,16727,447,23288,1,,2017-02-10 09:00:50
10558,hydrogen sulfide,0.0,,16136.0,16728,447,23288,1,,2017-02-10 09:00:50
10560,acetoin,0.0,,15688.0,23797,447,23288,1,,2017-02-10 09:00:50
10561,polyhydroxybutyrate,0.0,,53388.0,16729,449,23289,1,,2017-02-10 09:00:50
10562,indole,0.0,,35581.0,16730,450,23290,1,,2017-02-10 09:00:50
10563,polyhydroxybutyrate,0.0,,53388.0,16731,459,23292,1,,2017-02-10 09:00:50
10564,polyhydroxybutyrate,0.0,,53388.0,16732,465,23292,1,,2017-02-10 09:00:50
10565,polyhydroxybutyrate,0.0,,53388.0,16733,473,23295,1,,2017-02-10 09:00:50
10566,indole,0.0,,35581.0,23799,478,23296,1,,2017-02-10 09:00:50
10567,acetoin,0.0,,15688.0,23798,478,23296,1,,2017-02-10 09:00:50
10568,indole,0.0,,35581.0,16734,479,23297,1,,2017-02-10 09:00:50
10569,indole,0.0,,35581.0,16735,480,23297,1,,2017-02-10 09:00:50
10570,indole,0.0,,35581.0,23800,492,23125,1,,2017-02-10 09:00:50
10571,indole,0.0,,35581.0,23801,493,23126,1,,2017-02-10 09:00:50
10572,indole,0.0,,35581.0,23803,526,23131,1,,2017-02-10 09:00:50
10573,acetoin,0.0,,15688.0,23802,526,23131,1,,2017-02-10 09:00:50
10574,indole,0.0,,35581.0,23804,528,23132,1,,2017-02-10 09:00:50
10575,indole,0.0,,35581.0,23806,531,23133,1,,2017-02-10 09:00:50
10576,acetoin,1.0,,15688.0,23805,531,23133,1,,2017-02-10 09:00:50
10577,indole,0.0,,35581.0,23808,532,23134,1,,2017-02-10 09:00:50
10578,acetoin,0.0,,15688.0,23807,532,23134,1,,2017-02-10 09:00:50
10579,indole,0.0,,35581.0,23809,533,23135,1,,2017-02-10 09:00:50
10580,acetoin,0.0,,15688.0,23810,534,23136,1,,2017-02-10 09:00:50
10581,indole,0.0,,35581.0,23811,569,23137,1,,2017-02-10 09:00:50
10582,indole,0.0,,35581.0,23813,570,23359,1,,2017-02-10 09:00:50
10583,acetoin,0.0,,15688.0,23812,570,23359,1,,2017-02-10 09:00:50
10584,acetoin,0.0,,15688.0,23814,571,23359,1,,2017-02-10 09:00:50
10585,acetoin,0.0,,15688.0,37479,572,23138,1,,2017-02-10 09:00:50
10586,indole,1.0,,35581.0,37480,572,23138,1,,2017-02-10 09:00:50
10587,indole,0.0,,35581.0,37478,599,23140,1,,2017-02-10 09:00:50
10588,acetoin,0.0,,15688.0,37477,599,23140,1,,2017-02-10 09:00:50
10589,indole,0.0,,35581.0,16736,1077,23299,1,,2017-02-10 09:00:50
10590,hydrogen sulfide,0.0,,16136.0,16737,1077,23299,1,,2017-02-10 09:00:50
10591,dihydroxyacetone,0.0,,16016.0,16738,1077,23299,1,,2017-02-10 09:00:50
10592,acetoin,1.0,,15688.0,23815,1077,23299,1,,2017-02-10 09:00:50
10593,indole,0.0,,35581.0,16739,1093,23301,1,,2017-02-10 09:00:50
10594,hydrogen sulfide,0.0,,16136.0,16740,1093,23301,1,,2017-02-10 09:00:50
10595,dihydroxyacetone,0.0,,16016.0,16741,1093,23301,1,,2017-02-10 09:00:50
10596,acetoin,1.0,,15688.0,23816,1093,23301,1,,2017-02-10 09:00:50
10597,indole,0.0,,35581.0,16742,1150,23302,1,,2017-02-10 09:00:50
10598,hydrogen sulfide,0.0,,16136.0,16743,1150,23302,1,,2017-02-10 09:00:50
10599,dihydroxyacetone,0.0,,16016.0,16744,1150,23302,1,,2017-02-10 09:00:50
10600,acetoin,1.0,,15688.0,23817,1150,23302,1,,2017-02-10 09:00:50
10601,indole,0.0,,35581.0,16745,1151,23303,1,,2017-02-10 09:00:50
10602,hydrogen sulfide,0.0,,16136.0,16746,1151,23303,1,,2017-02-10 09:00:50
10603,dihydroxyacetone,0.0,,16016.0,16747,1151,23303,1,,2017-02-10 09:00:50
10604,acetoin,1.0,,15688.0,23818,1151,23303,1,,2017-02-10 09:00:50
10605,indole,0.0,,35581.0,16748,1154,23305,1,,2017-02-10 09:00:50
10606,acetoin,1.0,,15688.0,23819,1201,23306,1,,2017-02-10 09:00:50
10607,indole,0.0,,35581.0,23821,1203,23307,1,,2017-02-10 09:00:50
10608,acetoin,0.0,,15688.0,23820,1203,23307,1,,2017-02-10 09:00:50
10609,indole,0.0,,35581.0,16749,1208,23308,1,,2017-02-10 09:00:50
10610,hydrogen sulfide,0.0,,16136.0,16750,1208,23308,1,,2017-02-10 09:00:50
10611,acetoin,0.0,,15688.0,23822,1208,23308,1,,2017-02-10 09:00:50
10612,hydrogen sulfide,0.0,,16136.0,16751,1209,23309,1,,2017-02-10 09:00:50
10613,acetoin,0.0,,15688.0,16752,1209,23309,1,,2017-02-10 09:00:50
10614,indole,0.0,,35581.0,23824,1210,23310,1,,2017-02-10 09:00:50
10615,acetoin,1.0,,15688.0,23823,1210,23310,1,,2017-02-10 09:00:50
10616,indole,0.0,,35581.0,23826,1212,23311,1,,2017-02-10 09:00:50
10617,hydrogen sulfide,0.0,,16136.0,16753,1212,23311,1,,2017-02-10 09:00:50
10618,acetoin,0.0,,15688.0,23825,1212,23311,1,,2017-02-10 09:00:50
10619,indole,0.0,,35581.0,16754,1213,23312,1,,2017-02-10 09:00:50
10620,hydrogen sulfide,0.0,,16136.0,16755,1213,23312,1,,2017-02-10 09:00:50
